# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
澎湖海鮮	penghuhaixian
豆豉	douchi
火山披薩	huoshanpisa
碗脱	wantuo
屠户	tuhu
卤煮火烧	luzhuhuoshao
賽螃蟹	saipangxie
煸	bian
蘋果醬	pingguojiang
马拉瓦赫	malawahe
辣条	latiao
栽培稻	zaipeidao
無時空之戀	wushikongzhilian
餐车	canche
土豆麵筋	tudoumianjin
甜舌草素	tianshecaosu
豬肝麵	zhuganmian
沙嗲	shadie
香料酒	xiangliaojiu
鹌鹑蛋	anchundan
粗盐腌牛肉	cuyanyanniurou
意式肉腸	yishirouchang
粟米糖	sumitang
芒果糯米饭	mangguonuomifan
胡蘿蔔沙拉	huluoboshala
無花果布丁	wuhuaguobuding
銀絲卷	yinsijuan
紅麴米	hongqumi
燉蛋	dundan
生蛋拌飯	shengdanbanfan
香腸佐薯泥	xiangchangzuoshuni
熊葱	xiongcong
蔬果村的故事	shuguocundegushi
溫體肉	wentirou
料理鼠王	liaolishuwang
水晶鳳凰螺	shuijingfenghuangluo
回鍋油	huiguoyou
大廚出馬	dachuchuma
香腸和辣椒	xiangchanghelajiao
鮟鱇魚肝	ankangyugan
咖哩雞	kaliji
安吉拉捲	anjilajuan
山药泥	shanyaoni
马铃薯饼	malingshubing
美女廚房	meinvchufang
曼煎粿	manjianguo
班庫	banku
糯米紙	nuomizhi
夏威夷芋泥	xiaweiyiyuni
桑寄生茶	sangjishengcha
酸面包	suanmianbao
那仁	naren
马奶酒	manaijiu
節瓜	jiegua
德国香肠	deguoxiangchang
童子雞	tongziji
莫札特巧克力	mozhateqiaokeli
春卷	chunjuan
喼汁	jiezhi
瑞典肉丸	ruidianrouwan
加多加多	jiaduojiaduo
高沟捆蹄	gaogoukunti
小森林	xiaosenlin
腸腸搞轟趴	changchanggaohongpa
腰子	yaozi
厨房纸	chufangzhi
鮮奶油布蕾	xiannaiyoubulei
南瓜粥	nanguazhou
豆浆	doujiang
豐仁冰	fengrenbing
花椒	huajiao
燒包	shaobao
意大利面食	yidalimianshi
面筋	mianjin
椰浆饭	yejiangfan
油茶麻花	youchamahua
澳新军团饼干	aoxinjuntuanbinggan
小米	xiaomi
饮膳正要	yinshanzhengyao
炒牛奶	chaoniunai
魷魚素麵	youyusumian
泥蚶	nihan
沙拉骨	shalagu
調合油	diaoheyou
翅藻	chizao
香椿	xiangchun
甘草酸	gancaosuan
飯饌	fanzhuan
溫科托	wenketuo
食在有健康	shizaiyoujiankang
浸渍	jinzi
蝦龍糊	xialonghu
槽子糕	caozigao
上肩肉	shangjianrou
美食鳳味	meishifengwei
干貝	ganbei
饺子宴	jiaoziyan
鷓鴣粥	zheguzhou
黃豆芽	huangdouya
燒腩卷	shaonanjuan
嗦哆	suoduo
滷	lu
辣子鸡	laziji
玉米狗	yumigou
豆腐蒸淡水魚	doufuzhengdanshuiyu
鲜贝	xianbei
黄酱	huangjiang
海蘊	haiyun
新英格兰烧蛤	xinyinggelanshaoha
火腿蛋鬆餅	huotuidansongbing
姜大廚請客	jiangdachuqingke
師爺雞	shiyeji
客家酿豆腐	kejianiangdoufu
精力湯	jinglitang
滷水金錢肚	lushuijinqiandu
日本螺旋麵包	ribenluoxuanmianbao
南瓜籽	nanguazi
阿榜糕	abanggao
五香滷肉	wuxianglurou
含糖飲料	hantangyinliao
辣椒炒肉	lajiaochaorou
汤酱油	tangjiangyou
墨鱼蛋	moyudan
麦芽	maiya
菜椒	caijiao
多米诺巧克力	duominuoqiaokeli
粗粒小麥粉	culixiaomaifen
芙蓉蛋	furongdan
豬頸肉	zhujingrou
壓力鍋	yaliguo
燒珍肝	shaozhengan
侍酒師	shijiushi
蒸焗魚腸	zhengjuyuchang
哈瓦蒂芝士	hawadizhishi
蝦子柚皮	xiaziyoupi
豬肝	zhugan
费城胡椒羹	feichenghujiaogeng
油淋法	youlinfa
粉紅肉渣	fenhongrouzha
西炒飯	xichaofan
千岁饴	qiansuiyi
美鳳有約	meifengyouyue
豚汁	tunzhi
沙琪玛	shaqima
鵝肉	erou
西檸雞	xiningji
陳嵐舒	chenlanshu
巧克力師	qiaokelishi
雜拌湯	zabantang
菠菜蘸醬	bocaizhanjiang
葉永華	yeyonghua
捶鸡面	chuijimian
北海道白咖哩	beihaidaobaikali
淀粉酶	dianfenmei
鸭血粉丝汤	yaxuefensitang
副食品	fushipin
生抽	shengchou
不粘锅	bunianguo
绿米	lvmi
香腸	xiangchang
食糖法	shitangfa
大白菜	dabaicai
美食好簡單	meishihaojiandan
牛肉烧饼	niuroushaobing
集成灶	jichengzao
餐饮家	canyinjia
索艾克	suoaike
紅甜椒粉	hongtianjiaofen
海凉粉	hailiangfen
組合肉	zuherou
天池藕粉	tianchioufen
焗豆	judou
法式洋蔥湯	fashiyangcongtang
樟茶鴨	zhangchaya
蒸水蛋	zhengshuidan
墨西哥卷饼	moxigejuanbing
炸鲜奶	zhaxiannai
煮食爐	zhushilu
汤种	tangzhong
潮州粉粿	chaozhoufenguo
巧克力控	qiaokelikong
發粉	fafen
油条	youtiao
涮	shuan
枫糖	fengtang
软炸鸡肉球	ruanzhajirouqiu
酪乳	laoru
食用腦	shiyongnao
大同電鍋	datongdianguo
巴西烤肉	baxikaorou
圣诞葡萄汁	shengdanputaozhi
炒田螺	chaotianluo
以形补形	yixingbuxing
雞肉	jirou
香料烤雞咖哩	xiangliaokaojikali
布勃利克	bubolike
红桃粿	hongtaoguo
番茄沙司	fanjiashasi
叉燒餐包	chashaocanbao
雞肉配薯條	jiroupeishutiao
茶芥	chajie
舒肥	shufei
清汤	qingtang
酵粿桃	jiaoguotao
愛味男女	aiweinannv
世界烹飪大賽	shijiepengrendasai
穷孩儿三明治	qionghaiersanmingzhi
麥乳精	mairujing
拟南芥	ninanjie
侍應	shiying
芝士火鍋	zhishihuoguo
蝦仁	xiaren
烤爐	kaolu
風乾豬面頰肉	fengqianzhumianjiarou
切布雷克	qiebuleike
墨西哥牛肚湯	moxigeniudutang
拉克西酒	lakexijiu
苹果猪肉	pingguozhurou
米格利托斯	migelituosi
饲料	siliao
复合调料	fuhediaoliao
潘內托內	panneituonei
薑餅	jiangbing
放心肉	fangxinrou
欽欽	qinqin
