# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
肉类加工业	rouleijiagongye
鮮味	xianwei
鬼吹箫	guichuixiao
伊朗油炸饼	yilangyouzhabing
品客	pinke
醉雞	zuiji
八仙果	baxianguo
鸡尖	jijian
串签	chuanqian
火腿	huotui
刮魚	guayu
帕尼尼	panini
阿瑞巴	aruiba
信鸽	xinge
鹹水角	xianshuijiao
拳手	quanshou
饃饃	momo
奶黃包	naihuangbao
假肉荳蔻	jiaroudoukou
土雞	tuji
煨番薯	weifanshu
玉米糖漿	yumitangjiang
面片汤	mianpiantang
水波爐	shuibolu
康瓦爾餡餅	kangwaerxianbing
紫菜包饭	zicaibaofan
胚芽米	peiyami
酸豆角	suandoujiao
墨魚丸	moyuwan
万卡约土豆	wankayuetudou
乙酰磺胺酸钾	yixianhuangansuanjia
網油	wangyou
乌达	wuda
椰汁糕	yezhigao
干瓢	ganpiao
雜菜	zacai
食品印模	shipinyinmo
歡樂糖果屋	huanletangguowu
竹蟶科	zhuchengke
蔘雞湯	shenjitang
咖哩魚頭	kaliyutou
杉山步美	shanshanbumei
马肉	marou
罗马炸饭团	luomazhafantuan
新野板面	xinyebanmian
街頭食品	jietoushipin
蔷薇水	qiangweishui
火雞肉	huojirou
礤	ca
貓耳麵	maoermian
意式培根	yishipeigen
啄序	zhuoxu
熱烤阿拉斯加	rekaoalasijia
花生油	huashengyou
哈瓦那辣椒	hawanalajiao
反烤蘋果塔	fankaopingguota
廚房	chufang
大叶藤黄	dayetenghuang
油煎	youjian
砧板	zhenban
醬	jiang
碟	die
旋转烤肉	xuanzhuankaorou
布格麦	bugemai
薑蔥蓉	jiangcongrong
鴻福堂	hongfutang
五净肉	wujingrou
汤勺	tangshao
飛碟	feidie
馬鈴薯泥	malingshuni
水克非尔	shuikefeier
電爐	dianlu
紡錘粉	fangchuifen
醃	yan
骨汁	guzhi
水产品电击机	shuichanpindianjiji
京野菜	jingyecai
薯條堡	shutiaobao
石頭湯	shitoutang
粉紅醬	fenhongjiang
大亨堡	dahengbao
蒸三色蛋	zhengsansedan
猴脑	hounao
蝦餃	xiajiao
燒豬	shaozhu
八大碗	badawan
芭菲	bafei
準穀物	zhunguwu
芹鹽	qinyan
省藤	shengteng
神秘果蛋白	shenmiguodanbai
天趣球	tianquqiu
家禽	jiaqin
曼切戈奶酪	manqiegenailao
摩納哥飲食	monageyinshi
软糖	ruantang
斑點布丁	bandianbuding
鴨腳扎	yajiaozha
午餐	wucan
缸子肉	gangzirou
纸杯蛋糕	zhibeidangao
雀巢牛奶公司	quechaoniunaigongsi
蔣侍郎豆腐	jiangshilangdoufu
餐	can
贻贝与蚌类	yibeiyubanglei
櫻桃紅蟑螂	yingtaohongzhanglang
庚七醇	gengqichun
辣椒醬	lajiaojiang
烹飪節目	pengrenjiemu
異麥芽酮糖醇	yimaiyatongtangchun
鯖魚中毒	zhengyuzhongdu
车载电热器	chezaidianreqi
乳清	ruqing
港式西餐	gangshixican
起司堡	qisibao
馬背天使	mabeitianshi
甜醋	tiancu
玉黍螺科	yushuluoke
白水羊头	baishuiyangtou
辣椒粉	lajiaofen
非洲雞	feizhouji
蜂王漿	fengwangjiang
青酱	qingjiang
老妈宫粽球	laomagongzongqiu
酸葡萄汁	suanputaozhi
油角	youjiao
從兄弟煮	congxiongdizhu
羅比奧	luobiao
早餐冰淇淋日	zaocanbingqilinri
茶具	chaju
甜高粱	tiangaoliang
鴛鴦	yuanyang
胡桃派	hutaopai
巴伐利亚奶油	bafaliyanaiyou
雞茸	jirong
施瓦茨氏	shiwacishi
羊肉羹	yangrougeng
吸油烟机	xiyouyanji
木豆	mudou
巧克力金币	qiaokelijinbi
炸棗	zhazao
宫殿酥条	gongdiansutiao
咖哩麵	kalimian
克菲爾	kefeier
断生	duansheng
克色爾	keseer
罐裝咖啡	guanzhuangkafei
红咖喱	hongkali
油浸淡水魚	youjindanshuiyu
米布丁	mibuding
美式炸雞	meishizhaji
胡芦巴	huluba
芳提娜芝士	fangtinazhishi
克魯姆克	kelumuke
过手米线	guoshoumixian
蘸醬菜	zhanjiangcai
李美英	limeiying
萨姆巴拉	samubala
台式酸菜	taishisuancai
哈拉麵包	halamianbao
新疆菜	xinjiangcai
先農湯	xiannongtang
乌督饭	wudufan
家養火雞	jiayanghuoji
大餅包小餅	dabingbaoxiaobing
酢漿薯	cujiangshu
毒豆乾事件	dudouqianshijian
鳳眼香肉	fengyanxiangrou
泡芙	paofu
三合面	sanhemian
罌粟籽	yingsuzi
苏亚	suya
斷魂椒	duanhunjiao
客家小炒	kejiaxiaochao
香蕉船	xiangjiaochuan
油焖大虾	youmendaxia
蜂蜜	fengmi
黃金糕	huangjingao
苜蓿曲曲儿	muxuququer
蜂巢胃	fengchaowei
芝麻油	zhimayou
砂鍋餛飩雞	shaguohuntunji
拉拉集團	lalajituan
大小愛吃	daxiaoaichi
饸饹面	helemian
森永牛奶糖	senyongniunaitang
造洋飯書	zaoyangfanshu
鸡豆花	jidouhua
防溢器	fangyiqi
松肉	songrou
韩式烤五花肉	hanshikaowuhuarou
抹醬	mojiang
五更飯	wugengfan
五仁	wuren
山藥	shanyao
胎盘蛋糕	taipandangao
炸鱼薯条	zhayushutiao
煨麵	weimian
咸肉	xianrou
新奥尔良腌料	xinaoerliangyanliao
猶太菜	youtaicai
義大利煎蛋	yidalijiandan
鍋巴	guoba
多士	duoshi
糯米卷	nuomijuan
曲奇	quqi
奶粉限购令	naifenxiangouling
游離糖	youlitang
饺子	jiaozi
溫公齋煲	wengongzhaibao
豬排丼	zhupaijing
待令熟手	dailingshushou
甜菊苷	tianjugan
花旗蔘蜜	huaqishenmi
西甲硅油	xijiaguiyou
冰沙	bingsha
庫提亞	kutiya
營養酵母	yingyangjiaomu
清蒸武昌鱼	qingzhengwuchangyu
聖誕火腿	shengdanhuotui
豉汁排骨	shizhipaigu
洗肉	xirou
餡	xian
法式焗菜	fashijucai
健康好食在	jiankanghaoshizai
油爆双脆	youbaoshuangcui
滤盆	lvpen
熱布朗三明治	rebulangsanmingzhi
什锦果仁	shenjinguoren
胡蘿蔔素	huluobosu
美味蟹堡	meiweixiebao
蒙古馃子	mengguguozi
烘炒	hongchao
配方奶粉	peifangnaifen
海帶湯	haidaitang
武士的菜單	wushidecaidan
馬鈴薯泥搗具	malingshunidaoju
豆制品	douzhipin
草莓蛋糕	caomeidangao
番茄蛋湯	fanjiadantang
皮冻	pidong
炸蝦	zhaxia
太白粉	taibaifen
小野二郎	xiaoyeerlang
料理東西軍	liaolidongxijun
油香	youxiang
克拉希炒鍋	kelaxichaoguo
扁桃仁膏	biantaorengao
蛋包飯	danbaofan
美味不設防	meiweibushefang
亚尼奶酪	yaninailao
蒸汽蒸煮器	zhengqizhengzhuqi
蔓越莓醬	manyuemeijiang
白肉	bairou
天天饮食	tiantianyinshi
代餐	daican
雙子麵	shuangzimian
結蘭膠	jielanjiao
油渣	youzha
法蘭克福腸	falankefuchang
豬骨煲	zhugubao
玉米湯	yumitang
銅藻	tongzao
馬馬利加	mamalijia
达岗饭	dagangfan
中式小吃	zhongshixiaochi
杵臼	chujiu
鮑	bao
火腿蛋	huotuidan
文字燒	wenzishao
粽	zong
爱兰	ailan
加工肉類	jiagongroulei
醃黃瓜	yanhuanggua
鹹煎餅	xianjianbing
素烧鹅	sushaoe
天貝	tianbei
俾斯麦腌鱼	bisimaiyanyu
绿豆	lvdou
收汁	shouzhi
紅燒大裙翅	hongshaodaqunchi
胡卜	hubo
珍珠奶茶	zhenzhunaicha
奶油炒麵糊	naiyouchaomianhu
紙包骨	zhibaogu
烘焙	hongbei
乳糖醇	rutangchun
鳄梨酱	elijiang
參議院豆湯	canyiyuandoutang
麦芽糖醇	maiyatangchun
鷹嘴豆煎餅	yingzuidoujianbing
乾酪	qianlao
红鸡蛋	hongjidan
酱牛肉	jiangniurou
酸汤水饺	suantangshuijiao
青海苔	qinghaitai
叻沙	lesha
戊酸乙酯	wusuanyizhi
麻豆腐	madoufu
胡桃夾子	hutaojiazi
溜	liu
梅森罐	meisenguan
荷塘御厨	hetangyuchu
麦谷蛋白	maigudanbai
梨熟	lishu
法式火锅	fashihuoguo
饭勺	fanshao
麻辣烫	malatang
一年生辣椒	yinianshenglajiao
明火烹饪	minghuopengren
蛋代用品	dandaiyongpin
糖组学	tangzuxue
炊具	chuiju
软骨胶	ruangujiao
醋昆布	cukunbu
德克薩斯湯米	dekesasitangmi
鸡杂饭	jizafan
椰子蛋糕	yezidangao
高乐高	gaolegao
鹌鹑肉	anchunrou
椰子水	yezishui
茶走	chazou
錢都涮涮鍋	qiandoushuanshuanguo
加里	jiali
大麥蟲	damaichong
殺豬	shazhu
犹太飞机餐	youtaifeijican
香料贸易	xiangliaomaoyi
长江三鲜	zhangjiangsanxian
压力油炸	yaliyouzha
赤花籽	chihuazi
香蒜醬	xiangsuanjiang
猪头肉	zhutourou
玉米糁	yumisan
傅培梅時間	fupeimeishijian
奶桶烤肉	naitongkaorou
大和煮	dahezhu
蛋白脆饼	danbaicuibing
七味唐辛子	qiweitangxinzi
海盐	haiyan
聖誕布丁	shengdanbuding
细面	ximian
雞骨草	jigucao
火盆	huopen
簠	fu
炒米	chaomi
薯片	shupian
龍江煎堆	longjiangjiandui
韓式烤牛肉	hanshikaoniurou
椰棗	yezao
葡式蛋撻	pushidanta
巧克力	qiaokeli
瓢亭	piaoting
美国菜	meiguocai
煎釀鯪魚	jiannianglingyu
海鮮比薩	haixianbisa
爆肚馮	baodufeng
糖用甜菜	tangyongtiancai
溏心蛋	tangxindan
拖鞋麵包	tuoxiemianbao
可麗露	kelilu
炸香蕉	zhaxiangjiao
煎盘	jianpan
前菜	qiancai
阿林炒飯	alinchaofan
食用肝	shiyonggan
臭臭鍋	chouchouguo
大麻籽油	damaziyou
牛干巴	niuganba
食茱萸	shizhuyu
達八	daba
風琴馬鈴薯	fengqinmalingshu
方便食品	fangbianshipin
白汁肉塊	baizhiroukuai
膽肝	dangan
柱侯醬	zhuhoujiang
涮羊肉	shuanyangrou
馬拉糕	malagao
貝果	beiguo
酸豆	suandou
活造	huozao
甜甜圈	tiantianquan
玛芬	mafen
肝花雞卷	ganhuajijuan
茶食品	chashipin
可頌餅乾	kesongbingqian
煨汤	weitang
翻糖	fantang
魚湯	yutang
開年飯	kainianfan
白雲鳳爪	baiyunfengzhao
油酸乙酯	yousuanyizhi
丛林肉	conglinrou
维也纳炸牛排	weiyenazhaniupai
雞蛋麵	jidanmian
福卡恰	fukaqia
薑汁	jiangzhi
潘多酪面包	panduolaomianbao
國際調酒協會	guojidiaojiuxiehui
豆花	douhua
人造奶油	renzaonaiyou
竹昇麵	zhushengmian
腸鍋	changguo
粿汁	guozhi
龐迪	pangdi
炸魚塊	zhayukuai
意大利雜菜湯	yidalizacaitang
安城湯麵	anchengtangmian
飯蛸	fanshao
犬粮	quanliang
小汉堡	xiaohanbao
羊雜	yangza
刀克	daoke
蝴蝶酥	hudiesu
波蘭餃子	bolanjiaozi
植物固醇	zhiwuguchun
炒浇面	chaojiaomian
芭比貝爾芝士	babibeierzhishi
狗糧糖	gouliangtang
打抛饭	dapaofan
糖精	tangjing
草莓喜悦	caomeixiyue
竹筒饭	zhutongfan
塔可圖卡沙拉	taketukashala
塔格糖	tagetang
淡奶	dannai
博洛尼亚香肠	boluoniyaxiangchang
糖蕾絲	tangleisi
珍妮德爾曼	zhennideerman
大煮干丝	dazhugansi
榛果巧克力	zhenguoqiaokeli
天鹅勺	tianeshao
珍寶珠	zhenbaozhu
食用系少女	shiyongxishaonv
油豆腐	youdoufu
白河拉麵	baihelamian
素翅	suchi
布丁	buding
戀戀銅鑼燒	lianliantongluoshao
酸菜	suancai
萬聖夜蛋糕	wanshengyedangao
帕斯卡	pasika
甑	zeng
油麵	youmian
焦油色素	jiaoyousesu
蜜瓜包	miguabao
临期食品	linqishipin
爪哇麵	zhaowamian
鞑子饭	dazifan
注水肉	zhushuirou
文昌雞	wenchangji
砂锅	shaguo
寿司	shousi
食品科學	shipinkexue
水產的歷史	shuichandelishi
焙烤盘	beikaopan
凱撒沙拉	kaisashala
面糊	mianhu
卷蛋糕	juandangao
杵	chu
粮食	liangshi
土耳其烤肉	tuerqikaorou
凤爪	fengzhao
吉士粉	jishifen
烤	kao
野菊	yeju
菊粉	jufen
水煮	shuizhu
朝鲜海苔	chaoxianhaitai
避風塘炒蟹	bifengtangchaoxie
甄能煮	zhennengzhu
珍珠雞	zhenzhuji
甜蜜素	tianmisu
豬腸粉	zhuchangfen
酥肉	surou
菜谱集	caipuji
坚果	jianguo
三明治	sanmingzhi
朵玛	duoma
轉谷氨酰胺酶	zhuanguanxiananmei
徒手進食	tushoujinshi
煙肉	yanrou
義大利醬	yidalijiang
嬰兒食品	yingershipin
維希湯	weixitang
工程石	gongchengshi
雪糕月餅	xuegaoyuebing
可可粉	kekefen
德國豬肝腸	deguozhuganchang
岡村枝管藻	gangcunzhiguanzao
雞腸	jichang
金邊粉	jinbianfen
逾越节薄饼	yuyuejiebaobing
意式肉酱	yishiroujiang
小白菜	xiaobaicai
恋	lian
東北大米	dongbeidami
寡醣	guatang
粑粑	baba
善存	shancun
紅酒燉牛肉	hongjiudunniurou
蘋果起司	pingguoqisi
直布羅陀腸	zhibuluotuochang
脍卷	kuaijuan
酥	su
上海粗炒	shanghaicuchao
奶粉	naifen
植物性飲食	zhiwuxingyinshi
淮鹽	huaiyan
肉乾	rouqian
蘸醬	zhanjiang
口水雞	koushuiji
橙花水	chenghuashui
阿開木煮鹹魚	akaimuzhuxianyu
能量棒	nengliangbang
沙炒	shachao
谷物	guwu
補品	bupin
鄧有癸	dengyougui
無筋麵粉	wujinmianfen
黑豆沙	heidousha
豬腩	zhunan
糖醋鲤鱼	tangculiyu
泰式炒飯	taishichaofan
越南法國麵包	yuenanfaguomianbao
紅燒木琴魚	hongshaomuqinyu
糊尔炖	huerdun
伊頓混亂	yidunhunluan
雞湯	jitang
翻譯蒟蒻	fanyijuruo
松焦油	songjiaoyou
義大利菜	yidalicai
松饼球	songbingqiu
黑布丁	heibuding
歐式牛頭	oushiniutou
泰式炒金邊粉	taishichaojinbianfen
葛拉姆馬薩拉	gelamumasala
華堡	huabao
卵磷脂	luanlinzhi
馬德拉島蛋糕	madeladaodangao
乳糖酶	rutangmei
角煮	jiaozhu
德式炖猪脚	deshidunzhujiao
奶豆腐	naidoufu
當歸鴨	dangguiya
太爺雞	taiyeji
石二鍋	shierguo
拌	ban
热巧克力	reqiaokeli
福神漬	fushenzi
陰菜	yincai
鹽焗雞	yanjuji
鸸鹋	ermiao
新疆炒米粉	xinjiangchaomifen
冰淇淋蛋糕	bingqilindangao
醉蝦	zuixia
古希腊饮食	guxilayinshi
照燒	zhaoshao
炒粿条	chaoguotiao
即溶湯	jirongtang
馬麥醬	mamaijiang
麻辣香鍋	malaxiangguo
食用血	shiyongxue
印度蔊菜	yinduhancai
奶制品	naizhipin
芥菜豆腐魚湯	jiecaidoufuyutang
紅豆糕	hongdougao
打糕湯	dagaotang
夫妻餅	fuqibing
甘梅薯條	ganmeishutiao
美祿	meilu
腐竹	fuzhu
炸薯球	zhashuqiu
粢毛肉圆	zimaorouyuan
古斯米	gusimi
羊奶酪	yangnailao
椰撻	yeta
食神	shishen
多薩	duosa
我的蛋男情人	wodedannanqingren
鐵人料理	tierenliaoli
莊淑旂	zhuangshuqi
烤麸	kaofu
玉米炒葡萄	yumichaoputao
牡蠣濃湯	mulinongtang
杏仁奶黄馅	xingrennaihuangxian
荷葉飯	heyefan
蔡日軒	cairixuan
面包和盐	mianbaoheyan
酵母抽提物	jiaomuchoutiwu
鸵鸟	tuoniao
鹹金桔	xianjinju
轉化糖漿	zhuanhuatangjiang
皮羅什基	piluoshenji
水波蛋	shuibodan
旺卡	wangka
燒仙草	shaoxiancao
壽桃包	shoutaobao
厨房厨柜	chufangchugui
黃桃罐頭	huangtaoguantou
仙草	xiancao
永遠的壓力	yongyuandeyali
法倫香腸	falunxiangchang
龍珠	longzhu
炒碼麵	chaomamian
東藻琴乳酪館	dongzaoqinrulaoguan
程安琪	chenganqi
肉臊飯	rousaofan
卡馬	kama
酸奶	suannai
葡萄糖	putaotang
我要做廚神	woyaozuochushen
恰米強克捲	qiamiqiangkejuan
新潮烹調	xinchaopengdiao
燕窩	yanwo
魔幻廚房	mohuanchufang
鸡蛋饼	jidanbing
七輪	qilun
蝸牛食堂	woniushitang
左顯記	zuoxianji
鮮奶油	xiannaiyou
潘普什基	panpushenji
獵人燴雞	lierenhuiji
中间水分食品	zhongjianshuifenshipin
桂皮	guipi
阿富汗捲餅	afuhanjuanbing
梨海琳	lihailin
印度酥油	yindusuyou
卡雷卡雷	kaleikalei
泰國咖哩	taiguokali
牛仔骨	niuzaigu
闇鍋	anguo
味精	weijing
维也纳香肠	weiyenaxiangchang
高桌	gaozhuo
可可豆	kekedou
起雲劑	qiyunji
白醋	baicu
亞硫酸氫鈣	yaliusuanqinggai
牛筋	niujin
葡萄冰淇淋	putaobingqilin
韓式炒年糕	hanshichaoniangao
小吃蛋糕	xiaochidangao
愛歌	aige
蔬果	shuguo
挪威牛油危機	nuoweiniuyouweiji
麥芽糊精	maiyahujing
火鸡面	huojimian
山葵	shankui
薩洛	saluo
甘草甜餅	gancaotianbing
美味	meiwei
沙嗲朱律	shadiezhulv
西西里炸饭团	xixilizhafantuan
羊睪丸	yangyiwan
乔利佐	qiaolizuo
干锅	ganguo
饵块	erkuai
湘莲	xianglian
酸奶南瓜	suannainangua
陵水酸粉	lingshuisuanfen
福菜	fucai
台灣花枝丸	taiwanhuazhiwan
瑪撒拉	masala
奶泡器	naipaoqi
代食品	daishipin
方糖	fangtang
雪里蕻	xuelihong
去腥	quxing
食用冰塊	shiyongbingkuai
薯條	shutiao
培根蛋餡餅	peigendanxianbing
褡裢火烧	dalianhuoshao
剁椒	duojiao
束砂	shusha
夏威夷披萨	xiaweiyipisa
肋排	lepai
帕尔玛火腿	paermahuotui
雞腿	jitui
奶酪凝块	nailaoningkuai
绿啤	lvpi
鱟科	houke
奶茶聯盟	naichalianmeng
果乾	guoqian
鱼子酱	yuzijiang
紅油抄手	hongyouchaoshou
袋鼠肉	daishurou
光饼	guangbing
剁椒鱼头	duojiaoyutou
大蒜麵包結	dasuanmianbaojie
松子	songzi
冷凍乾燥	lengdongqianzao
御手洗团子	yushouxituanzi
四川保寧醋	sichuanbaoningcu
肥媽老友記	feimalaoyouji
冬督爾瑪	dongduerma
馬來式竹筒飯	malaishizhutongfan
撈魚生	laoyusheng
鹹酥雞	xiansuji
活食	huoshi
油蔥酥	youcongsu
蜆蚧醬	xianjiejiang
豉椒炒蜆	shijiaochaoxian
炸甜麵團	zhatianmiantuan
對開式烤盤	duikaishikaopan
煎饼	jianbing
食街	shijie
辣死你妈传人	lasinimachuanren
非非	feifei
糧食自給率	liangshizigeilv
阿威罗软蛋	aweiluoruandan
齋滷味	zhailuwei
根茎类蔬菜	genjingleishucai
开瓶器	kaipingqi
中東菜	zhongdongcai
煨	wei
王牌大主廚	wangpaidazhuchu
蔬菜脆片	shucaicuipian
燒酒雞	shaojiuji
鳳眼餃	fengyanjiao
免翁牛柳	mianwengniuliu
麵食	mianshi
漢堡排	hanbaopai
切玛	qiema
平飼	pingsi
食物搭配學	shiwudapeixue
蠣包	libao
一粒鐘真人蘇	yilizhongzhenrensu
榆皮麵	yupimian
上海燻蛋	shanghaixundan
大豆蛋白	dadoudanbai
周打蜆湯	zhoudaxiantang
烫伤	tangshang
蔡林记	cailinji
德芙	defu
椰汁鸡汤	yezhijitang
阿亞卡	ayaka
白花鬼针草	baihuaguizhencao
椒鹽鮮魷	jiaoyanxianyou
法式鹹派	fashixianpai
辣根	lagen
魚粉	yufen
水飴	shuiyi
酸汤鱼	suantangyu
小圆面包	xiaoyuanmianbao
糧食權力	liangshiquanli
茶碗蒸	chawanzheng
番茄糊	fanjiahu
乳酸正丁酯	rusuanzhengdingzhi
英式瑪芬	yingshimafen
黄粉虫	huangfenchong
炖	dun
紅糟	hongzao
融合菜	ronghecai
青箭	qingjian
罌粟籽油	yingsuziyou
莫臥兒菜	mowoercai
梳打餅	shudabing
印度脆餅	yinducuibing
美式咖啡	meishikafei
爆香	baoxiang
豆瓣醬	doubanjiang
草蒿脑	caohaonao
香腸捲	xiangchangjuan
獵物	liewu
燕燕	yanyan
鲁宾三明治	lubinsanmingzhi
水粿	shuiguo
萨尔萨酱	saersajiang
开锅	kaiguo
顶级厨师	dingjichushi
廚具	chuju
活寶食品	huobaoshipin
冰淇淋	bingqilin
炸荷花	zhahehua
菲力	feili
五香豆	wuxiangdou
哥拉奇	gelaqi
可颂甜甜圈	kesongtiantianquan
斐希蕉	feixijiao
冬瓜盅	dongguazhong
莫納甜	monatian
卡拉胶	kalajiao
毛豆泥	maodouni
豬包毯	zhubaotan
波塔加	botajia
酪蛋白	laodanbai
腌肉干	yanrougan
酹粉	leifen
菱角汤	lingjiaotang
煲仔麵	baozaimian
二酸甘油酯	ersuanganyouzhi
螃蟹蘸酱	pangxiezhanjiang
黃砂糖	huangshatang
飛翔入手	feixiangrushou
片儿川	pianerchuan
炸肉餅	zharoubing
烹饪	pengren
凉菜	liangcai
奄列	yanlie
泡菜炒飯	paocaichaofan
鑊氣	huoqi
雞排飯	jipaifan
豬肉粉	zhuroufen
丹霞苹果	danxiapingguo
精萃浓缩	jingcuinongsuo
食品營養	shipinyingyang
醒酒器	xingjiuqi
中式烤串	zhongshikaochuan
椰子鸡	yeziji
醃海雀	yanhaique
培根冰淇淋	peigenbingqilin
狼牙土豆	langyatudou
貝碧嘉	beibijia
調酒師	diaojiushi
上喜撰	shangxizhuan
烙馍	laomo
斑球	banqiu
果丹皮	guodanpi
培植肉	peizhirou
麥西恩捲餅	maixienjuanbing
神廚	shenchu
葡萄糖酸亚铁	putaotangsuanyatie
排骨	paigu
砂囊	shanang
越南泡菜	yuenanpaocai
人参鸡汤	rencanjitang
薩莫薩	samosa
武漢炒麵	wuhanchaomian
宿根栽培	sugenzaipei
库尔菲	kuerfei
月子餐	yuezican
路殺美食	lushameishi
伊朗碎肉烤串	yilangsuiroukaochuan
分子食物	fenzishiwu
拉瓦什	lawashen
米漢堡	mihanbao
椰絲糯米糕	yesinuomigao
蕪菁甘藍	wujingganlan
蒙古奶食品	menggunaishipin
檸檬咖啡	ningmengkafei
土耳其飯	tuerqifan
糖醋排骨	tangcupaigu
蘋果派	pingguopai
安成宰	anchengzai
