# 泰深输入法专业词库 — 动物
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
丝棉木后丽盲蝽	simianmuhoulimangchun
丝棉木幽木虱	simianmuyoumushi
丝棉木金星尺蛾	simianmujinxingchie
丝背冠鳞单棘鲀	sibeiguanlindanjitun
丝路龙	silulong
丝鳍英格单棘鲀	siqiyinggedanjitun
丝鳍鱚科	siqixike
两叉千孔珊瑚	liangchaqiankongshanhu
两室反颚茧蜂	liangshifanejianfeng
两性动物	liangxingdongwu
两手拟触丝水母	liangshounichusishuimu
两板贝属	liangbanbeishu
两栖爬行动物	liangqipaxingdongwu
两栖犀	liangqixi
两点前锹甲	liangdianqianqiaojia
两线铅笔	liangxianqianbi
严重分割	yanzhongfenge
丫纹楔角蝉	yawenxiejiaochan
中东白色盲蝎子	zhongdongbaisemangxiezi
中东织锦芋螺	zhongdongzhijinyuluo
中东金蝎	zhongdongjinxie
中东黇鹿	zhongdongtianlu
中亚红鹿	zhongyahonglu
中亚草盲蝽	zhongyacaomangchun
中亚高冠变色龙	zhongyagaoguanbianselong
中介冠舟蛾	zhongjieguanzhoue
中介眉眼蝶	zhongjiemeiyandie
中介蝮	zhongjiefu
中仓鼠属	zhongcangshushu
中伏尔加湖鱥	zhongfuerjiahugui
中位巨膝蛛	zhongweijuxizhu
中侏罗世劳氏灵龙	zhongzhuluoshilaoshilinglong
中凹鸟翼裳凤蝶	zhongaoniaoyishangfengdie
中加马门溪龙	zhongjiamamenxilong
中北矛角蝉	zhongbeimaojiaochan
中北美毛翅燕	zhongbeimeimaochiyan
中医穴位名	zhongyixueweiming
中华九刺鱼	zhonghuajiuciyu
中华亚宽鞘茧蜂	zhonghuayakuanqiaojianfeng
中华仙影海葵	zhonghuaxianyinghaikui
中华仿五角蟹	zhonghuafangwujiaoxie
中华优剑螽	zhonghuayoujianzhong
中华伪露齿螺	zhonghuaweiluchiluo
中华侏罗兽	zhonghuazhuluoshou
中华侧带小公鱼	zhonghuacedaixiaogongyu
中华光尾鲨	zhonghuaguangweisha
中华关公蟹	zhonghuaguangongxie
中华内滴虫	zhonghuaneidichong
中华凤头燕鸥	zhonghuafengtouyanou
中华分支睾吸虫	zhonghuafenzhigaoxichong
