# 泰深输入法专业词库 — 计算机/IT
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
互联网新闻	hulianwangxinwen
互联网时代	hulianwangshidai
互联网架构	hulianwangjiagou
互联网科技	hulianwangkeji
互联网编程	hulianwangbiancheng
互联网营销	hulianwangyingxiao
互联网资讯	hulianwangzixun
互联网金融	hulianwangjinrong
互联网项目	hulianwangxiangmu
井字棋	jingziqi
交互图	jiaohutu
交互式处理	jiaohushichuli
交互式电视	jiaohushidianshi
交互式语言	jiaohushiyuyan
交互设备	jiaohushebei
交互设计师	jiaohushejishi
交叉存储器	jiaochacunchuqi
交叉存取	jiaochacunqu
交叉工具链	jiaochagongjulian
交叉引用	jiaochayinyong
交叉搜索	jiaochasousuo
交叉概率	jiaochagailv
交叉算子	jiaochasuanzi
交叉编译	jiaochabianyi
交叉编译器	jiaochabianyiqi
交叉编译环境	jiaochabianyihuanjing
交叉连接	jiaochalianjie
交叉验证	jiaochayanzheng
交换元素	jiaohuanyuansu
交换技术	jiaohuanjishu
交换排序	jiaohuanpaixu
交换码	jiaohuanma
交换芯片	jiaohuanxinpian
交换虚电路	jiaohuanxudianlu
交易处理	jiaoyichuli
交错路径	jiaocuolujing
产业互联网	chanyehulianwang
产业生态链	chanyeshengtailian
产品业务	chanpinyewu
产品人	chanpinren
产品分析	chanpinfenxi
产品市场	chanpinshichang
产品应用	chanpinyingyong
产品数据管理	chanpinshujuguanli
产品文档	chanpinwendang
产品测试	chanpinceshi
产品研发管理	chanpinyanfaguanli
产品经理	chanpinjingli
产品评论	chanpinpinglun
产品运营	chanpinyunying
产生式规则	chanshengshiguize
享元模式	xiangyuanmoshi
人体行为识别	rentixingweishibie
人力资源管理	renliziyuanguanli
人员定位	renyuandingwei
人工智能语言	rengongzhinengyuyan
人工测试	rengongceshi
人工神经元	rengongshenjingyuan
人工管理阶段	rengongguanlijieduan
人工约束	rengongyueshu
人工语言	rengongyuyan
人形机器人	renxingjiqiren
人月神话	renyueshenhua
人机界面设计	renjijiemiansheji
人脸对齐	renlianduiqi
人脸检测	renlianjiance
今日头条	jinritoutiao
介质故障	jiezhiguzhang
介质转换	jiezhizhuanhuan
从备份恢复	congbeifenhuifu
从头读历史	congtoudulishi
从站	congzhan
仓储配送	cangchupeisong
仓库管理系统	cangkuguanlixitong
付费电视	fufeidianshi
代价函数	daijiahanshu
代数分析	daishufenxi
代理传值	dailichuanzhi
代理方法	dailifangfa
代理模式	dailimoshi
代理类	daililei
代理脚本	dailijiaoben
代理设计模式	dailishejimoshi
代码仓库	daimacangku
代码优化技巧	daimayouhuajiqiao
代码健壮性	daimajianzhuangxing
代码分享	daimafenxiang
代码分析	daimafenxi
代码区	daimaqu
代码块	daimakuai
代码备份	daimabeifen
代码大全	daimadaquan
代码实例	daimashili
代码实现	daimashixian
代码工具	daimagongju
代码工具类	daimagongjulei
代码布局	daimabuju
代码托管	daimatuoguan
代码技巧	daimajiqiao
代码技术	daimajishu
代码提示	daimatishi
代码整洁	daimazhengjie
代码整理	daimazhengli
代码格式化	daimageshihua
代码检查	daimajiancha
代码模板	daimamuban
代码注释	daimazhushi
代码测试	daimaceshi
代码片	daimapian
代码片段	daimapianduan
代码片段库	daimapianduanku
代码生成器	daimashengchengqi
代码生成程序	daimashengchengchengxu
代码示例	daimashili
代码签名	daimaqianming
代码管理	daimaguanli
代码管理工具	daimaguanligongju
代码类	daimalei
代码结构	daimajiegou
代码统计	daimatongji
代码编写	daimabianxie
代码编辑器	daimabianjiqi
代码能力	daimanengli
代码自动补全	daimazidongbuquan
代码行数	daimaxingshu
代码补全	daimabuquan
代码表	daimabiao
代码覆盖率	daimafugailv
代码规范	daimaguifan
代码记录	daimajilu
代码设计	daimasheji
代码评审	daimapingshen
代码调试	daimatiaoshi
代码质量	daimazhiliang
代码走查	daimazoucha
代码转换器	daimazhuanhuanqi
代码重用	daimazhongyong
代码阅读	daimayuedu
代码隐藏文件	daimayincangwenjian
代码隐藏类	daimayincanglei
代码高亮	daimagaoliang
令牌传递	lingpaichuandi
令牌传递协议	lingpaichuandixieyi
令牌总线	lingpaizongxian
令牌总线网	lingpaizongxianwang
令牌环网	lingpaihuanwang
以图搜图	yitusoutu
以行为为中心	yixingweiweizhongxin
任务交换	renwujiaohuan
任务分担	renwufendan
任务协调	renwuxietiao
任务启动	renwuqidong
任务图	renwutu
任务处理	renwuchuli
任务控制块	renwukongzhikuai
任务描述符	renwumiaoshufu
任务栈	renwuzhan
任务框架	renwukuangjia
任务池	renwuchi
任务管理	renwuguanli
任务终止	renwuzhongzhi
任务计划	renwujihua
任务调度程序	renwudiaoduchengxu
任务迁移	renwuqianyi
任务队列	renwuduilie
任务集	renwuji
任意多边形	renyiduobianxing
仿函数	fanghanshu
仿微信	fangweixin
仿新浪微博	fangxinlangweibo
仿真程序	fangzhenchengxu
仿真终端	fangzhenzhongduan
企业信息化	qiyexinxihua
企业信息安全	qiyexinxianquan
企业号	qiyehao
企业地图开发	qiyeditukaifa
企业培训	qiyepeixun
企业安全	qiyeanquan
企业客户	qiyekehu
企业对企业	qiyeduiqiye
企业开发	qiyekaifa
企业服务	qiyefuwu
企业架构	qiyejiagou
企业模型	qiyemoxing
企业流程管理	qiyeliuchengguanli
企业版	qiyeban
企业管理	qiyeguanli
企业级应用	qiyejiyingyong
企业级框架	qiyejikuangjia
企业网	qiyewang
企业证书	qiyezhengshu
企业账号	qiyezhanghao
企业资源规划	qiyeziyuanguihua
企业项目	qiyexiangmu
休眠方式	xiumianfangshi
休眠队列	xiumianduilie
休闲娱乐	xiuxianyule
众包	zhongbao
优云软件	youyunruanjian
优先数	youxianshu
优先权队列	youxianquanduilie
优先级中断	youxianjizhongduan
优先级反转	youxianjifanzhuan
优先级控制	youxianjikongzhi
优先级表	youxianjibiao
优先级调度	youxianjidiaodu
优先级调整	youxianjitiaozheng
优先级选择	youxianjixuanze
优先级队列	youxianjiduilie
优先队列	youxianduilie
优化技巧	youhuajiqiao
优化操作	youhuacaozuo
优化理论	youhualilun
优化算法	youhuasuanfa
优化问题	youhuawenti
优秀程序员	youxiuchengxuyuan
会场安排问题	huichanganpaiwenti
会声会影	huishenghuiying
会议系统	huiyixitong
会议连接	huiyilianjie
会话密钥	huihuamiyao
会话技术	huihuajishu
会话状态	huihuazhuangtai
会话管理	huihuaguanli
传值参数	chuanzhicanshu
传参数	chuancanshu
传引用	chuanyinyong
传播误差	chuanbowucha
传智播客	chuanzhiboke
传真服务	chuanzhenfuwu
传真服务器	chuanzhenfuwuqi
传真软件	chuanzhenruanjian
传统文化	chuantongwenhua
传统编程语言	chuantongbianchengyuyan
传统网络	chuantongwangluo
传统蓝牙	chuantonglanya
传统语法	chuantongyufa
传输协议	chuanshuxieyi
传输延迟	chuanshuyanchi
传输损耗	chuanshusunhao
传输错误	chuanshucuowu
传递函数依赖	chuandihanshuyilai
传递参数	chuandicanshu
传递对象	chuandiduixiang
传递闭包	chuandibibao
伪像	weixiang
