# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
生物機器人	shengwujiqiren
线段树	xianduanshu
就地执行	jiudizhixing
高光荣	gaoguangrong
汉明距离	hanmingjuli
標記	biaoji
霍夫曼编码	huofumanbianma
指令式編程	zhilingshibiancheng
记录	jilu
雨课堂	yuketang
软件需求说明	ruanjianxuqiushuoming
設定運算子	shedingyunsuanzi
梅宏	meihong
机器人宠物	jiqirenchongwu
純態	chuntai
开发者工具	kaifazhegongju
智能代理	zhinengdaili
面向对象设计	mianxiangduixiangsheji
高光	gaoguang
树莓派	shumeipai
超级用户	chaojiyonghu
计算符号学	jisuanfuhaoxue
量子退相干	liangzituixianggan
字体光栅化	zitiguangzhahua
通用網路物件	tongyongwangluwujian
腾讯平板管家	tengxunpingbanguanjia
貝爾曼擬譜法	beiermannipufa
輪詢	lunxun
数值相对论	shuzhixiangduilun
代碼冗餘	daimarongyu
字段	ziduan
递归数据类型	diguishujuleixing
上帝对象	shangdiduixiang
難自禁	nanzijin
有限體積法	youxiantijifa
效用最大化	xiaoyongzuidahua
特徵蔓延	tezhengmanyan
乘法	chengfa
质量效应	zhiliangxiaoying
小波壓縮	xiaoboyasuo
符号式编程	fuhaoshibiancheng
正确性	zhengquexing
字體簿	zitibu
網景	wangjing
格洛纳斯系统	geluonasixitong
細胞自動機	xibaozidongji
链	lian
自由表	ziyoubiao
指紋掃描器	zhiwensaomiaoqi
冗余校验	rongyuxiaoyan
软件配置管理	ruanjianpeizhiguanli
边界节点法	bianjiejiedianfa
車載資訊系統	chezaizixunxitong
死程式碼	sichengshima
计算解剖学	jisuanjiepouxue
可扩展性	kekuozhanxing
编程训练营	bianchengxunlianying
電源重啟	dianyuanzhongqi
物理處理器	wulichuliqi
静态库	jingtaiku
漏洞	loudong
功能主義	gongnengzhuyi
熔岩流	rongyanliu
集體智慧	jitizhihui
闽政通	minzhengtong
显示器	xianshiqi
卡韓求和算法	kahanqiuhesuanfa
头等函数	toudenghanshu
程序员	chengxuyuan
多路分支	duolufenzhi
唠叨软件	laodaoruanjian
头文件	touwenjian
坦納圖	tannatu
广义表	guangyibiao
資訊組織	zixunzuzhi
飞行模式	feixingmoshi
自动完成	zidongwancheng
半經典物理學	banjingdianwulixue
競賽樹	jingsaishu
