# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
人工智能安全	rengongzhinenganquan
聯芯科技	lianxinkeji
成對關鍵字	chengduiguanjianzi
后置条件	houzhitiaojian
文件系统权限	wenjianxitongquanxian
匈牙利命名法	xiongyalimingmingfa
极限编程	jixianbiancheng
计算化学	jisuanhuaxue
自動資料收集	zidongziliaoshouji
量子密碼學	liangzimimaxue
赝势	yanshi
道德风险	daodefengxian
计算数论	jisuanshulun
查找表	chazhaobiao
無人水面載具	wurenshuimianzaiju
帕德近似	padejinshi
大象流	daxiangliu
看門狗計時器	kanmengoujishiqi
通用圖靈機	tongyongtulingji
专家系统	zhuanjiaxitong
音频编解码器	yinpinbianjiemaqi
购物车软件	gouwucheruanjian
双子姐妹	shuangzijiemei
打孔卡	dakongka
平坦擬譜法	pingtannipufa
空運行	kongyunxing
型別安全	xingbieanquan
自動櫃員機	zidongguiyuanji
统一诊断服务	tongyizhenduanfuwu
卷积神经网络	juanjishenjingwangluo
位操作	weicaozuo
雪花算法	xuehuasuanfa
介面	jiemian
内万林纳奖	neiwanlinnajiang
离散化	lisanhua
微軟研究院	weiruanyanjiuyuan
實例	shili
多态	duotai
维数灾难	weishuzainan
水平集方法	shuipingjifangfa
智能程序	zhinengchengxu
协议	xieyi
深伪技术	shenweijishu
软件外包	ruanjianwaibao
张丽霞	zhanglixia
超立方体连接	chaolifangtilianjie
元对象	yuanduixiang
控制流圖	kongzhiliutu
極高階語言	jigaojieyuyan
量子信息科学	liangzixinxikexue
工具鏈	gongjulian
全息玫瑰碎片	quanximeiguisuipian
頂點	dingdian
智能规划	zhinengguihua
碰撞偵測	pengzhuangzhence
截擊無人機	jiejiwurenji
注册机	zhuceji
数字视频特技	shuzishipinteji
丛京生	congjingsheng
積木世界	jimushijie
關聯	guanlian
基於原則設計	jiyuyuanzesheji
软件开发	ruanjiankaifa
大规模并行	daguimobingxing
社会认知优化	shehuirenzhiyouhua
元对象机制	yuanduixiangjizhi
奇偶檢驗矩陣	qioujianyanjuzhen
封閉平臺	fengbipingtai
显式拥塞通知	xianshiyongsaitongzhi
依赖反转原则	yilaifanzhuanyuanze
正则文法	zhengzewenfa
李蔡彥	licaiyan
木蘭	mulan
無人機探空	wurenjitankong
同像性	tongxiangxing
適定性問題	shidingxingwenti
初等函数	chudenghanshu
微程序	weichengxu
拉丁方陣	ladingfangzhen
多功能显示器	duogongnengxianshiqi
資料結構	ziliaojiegou
条件数	tiaojianshu
可重入	kezhongru
类	lei
集值函数	jizhihanshu
不可否認	bukefouren
计算理论	jisuanlilun
量子信息	liangzixinxi
委员会设计	weiyuanhuisheji
可检索性	kejiansuoxing
愛料理	ailiaoli
低秩近似	dizhijinshi
帧校验序列	zhenxiaoyanxulie
寶石卡片	baoshikapian
相对熵	xiangduishang
人形機器人	renxingjiqiren
貝肯斯坦上限	beikensitanshangxian
軟件版本編號	ruanjianbanbenbianhao
確認訊息	querenxunxi
