# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
聯邦衛生部	lianbangweishengbu
人工淚液	rengongleiye
替沙仑赛	tishalunsai
氟乙酸氟乙酯	fuyisuanfuyizhi
瑞拉特利單抗	ruilatelidankang
後遺症	houyizheng
臨床醫學	linchuangyixue
上交叉綜合症	shangjiaochazonghezheng
壓抑記憶	yayijiyi
韦洛利单抗	weiluolidankang
去大脑强直	qudanaoqiangzhi
鑷子	niezi
肋骨唱片	leguchangpian
僵人综合征	jiangrenzonghezheng
群体免疫	quntimianyi
六腑	liufu
腹部冲击	fubuchongji
早產	zaochan
蚓部	yinbu
小陰唇	xiaoyinchun
始基子宫	shijizigong
地龙	dilong
哺乳困難	burukunnan
邁妥林	maituolin
秘密懷孕	mimihuaiyun
踝肱指数	huaigongzhishu
貝爾氏麻痹症	beiershimabizheng
酮咯酸	tonggesuan
枉死	wangsi
坏疽	huaiju
營養不良	yingyangbuliang
软腭	ruane
木乃伊	munaiyi
维尔纳综合征	weiernazonghezheng
体液平衡	tiyepingheng
大魚際肌	dayujiji
血清型	xueqingxing
视网膜脱离	shiwangmotuoli
医学史	yixueshi
生物传感器	shengwuchuanganqi
志賀桿菌病	zhiheganjunbing
福替沙韦	futishawei
新化学实体	xinhuaxueshiti
体外排精	tiwaipaijing
貓叫症候群	maojiaozhenghouqun
巨人症	jurenzheng
健保真要命	jianbaozhenyaoming
人工颅骨变形	rengonglugubianxing
敘事醫學	xushiyixue
转基因动物	zhuanjiyindongwu
肌肉記憶	jiroujiyi
莱姆病	laimubing
药物发现	yaowufaxian
再摄取强化剂	zaishequqianghuaji
腺癌	xianai
逆剥	nibo
慢鼻渊	manbiyuan
呼吸衰竭	huxishuaijie
肋間神經阻滯	lejianshenjingzuzhi
抗藥性	kangyaoxing
效標效度	xiaobiaoxiaodu
药学	yaoxue
認知	renzhi
滑動關節	huadongguanjie
种子扩大培养	zhongzikuodapeiyang
方劑列表	fangjiliebiao
癥瘕	zhengjia
無情都市	wuqingdoushi
氘代药物	daodaiyaowu
八虚	baxu
饮膳正要	yinshanzhengyao
膀胱阴道瘘	bangguangyindaolou
队列效应	duiliexiaoying
神经多样性	shenjingduoyangxing
膜层	moceng
殘胃癌	canweiai
牙體解剖學	yatijiepouxue
隱形牙齒矯正	yinxingyachijiaozheng
氨	an
特務迷城	tewumicheng
夜遺尿	yeyiniao
五台山医院	wutaishanyiyuan
惡性轉化	exingzhuanhua
礼来公司	lilaigongsi
蒼白	cangbai
脉经	maijing
賽博格	saiboge
王秀雲	wangxiuyun
房中术	fangzhongshu
尸体现象	shitixianxiang
職能治療	zhinengzhiliao
柳韩洋行	liuhanyangxing
馬立克病毒屬	malikebingdushu
刘德荣	liuderong
三苯醋錫	sanbencuxi
旁分泌	pangfenmi
環境雌激素	huanjingcijisu
藥物不當移轉	yaowubudangyizhuan
高血糖	gaoxuetang
乳腺生長	ruxianshengzhang
肌肉注射	jirouzhushe
獨眼畸形	duyanjixing
辐辏	fucou
倉廩散	canglinsan
日本血液学会	ribenxueyexuehui
医学寄生虫学	yixuejishengchongxue
龜頭包皮炎	guitoubaopiyan
丁香医生	dingxiangyisheng
古德爾氏徵象	gudeershizhengxiang
箭毒	jiandu
布拉格定律	bulagedinglv
上皮内瘤变	shangpineiliubian
电子处方	dianzichufang
挫折	cuozhe
藥愛	yaoai
微創手術	weichuangshoushu
十一酸诺龙	shiyisuannuolong
乙酸汞	yisuangong
創造性想像	chuangzaoxingxiangxiang
腎病	shenbing
风险比	fengxianbi
生物活性	shengwuhuoxing
平壤醫學大學	pingrangyixuedaxue
二丙酸美雄醇	erbingsuanmeixiongchun
生物標記	shengwubiaoji
朱裕壁	zhuyubi
特充装置	techongzhuangzhi
瑞司美替罗	ruisimeitiluo
內視鏡檢	neishijingjian
鎂鐵閃石	meitieshanshi
人體大奇航	rentidaqihang
脊髓炎	jisuiyan
蓋普丹	gaipudan
怀疑	huaiyi
神經再生導管	shenjingzaishengdaoguan
生物農藥	shengwunongyao
迷糊動物醫生	mihudongwuyisheng
激痛點	jitongdian
微生物学	weishengwuxue
小動脈	xiaodongmai
酩酊天使	mingdingtianshi
古羅馬醫學	guluomayixue
病媒控制	bingmeikongzhi
人体生理学	rentishenglixue
表现度	biaoxiandu
麦氏点	maishidian
医学学位	yixuexuewei
昏迷指數	hunmizhishu
救薑刑警	jiujiangxingjing
泌尿外科	miniaowaike
死亡教育	siwangjiaoyu
双氢麦角考宁	shuangqingmaijiaokaoning
乳糜泻	rumixie
膠質細胞增生	jiaozhixibaozengsheng
医学超声检查	yixuechaoshengjiancha
头部移植	toubuyizhi
脊椎病變	jichuibingbian
五行	wuxing
龜頭球	guitouqiu
局部地區滅絕	jubudiqumiejue
天閹	tianyan
丁酸睾酮	dingsuangaotong
結腸炎	jiechangyan
卒中	zuzhong
最大血药浓度	zuidaxueyaonongdu
免疫豁免	mianyihuomian
脊椎炎	jichuiyan
肺	fei
琥珀胆碱	hupodanjian
桐人傳奇	tongrenchuanqi
感光层	ganguangceng
萎缩性阴道炎	weisuoxingyindaoyan
脊髓損傷	jisuisunshang
齋戒	zhaijie
光動力療法	guangdongliliaofa
頭部穿孔	toubuchuankong
敷料	fuliao
矮壮素	aizhuangsu
血基質	xuejizhi
染色体工程	ransetigongcheng
尾身茂	weishenmao
殡葬艺术	binzangyishu
血细胞	xuexibao
寄生雙胞胎	jishengshuangbaotai
肌内效贴	jineixiaotie
洗胃	xiwei
總有驕陽	zongyoujiaoyang
病毒	bingdu
麻醉科醫師	mazuikeyishi
顏面神經	yanmianshenjing
都哈杂志	douhazazhi
附睾	fugao
大麻劇吐症	damajutuzheng
家畜胚胎学	jiachupeitaixue
生殖健康	shengzhijiankang
相火	xianghuo
瀕死研究	binsiyanjiu
龍發堂	longfatang
性网络	xingwangluo
喉	hou
睫狀神經節	jiezhuangshenjingjie
生理学	shenglixue
破案神手	poanshenshou
二尖瓣脫垂	erjianbantuochui
枢椎	shuchui
蝶腭動脈	dieedongmai
小兒科	xiaoerke
玻尿酸	boniaosuan
前庭神经	qiantingshenjing
肉垫	roudian
排卵痛	pailuantong
波吲洛尔	boyinluoer
苦行	kuxing
組織學術語	zuzhixueshuyu
鼻胃管	biweiguan
三氯乙烯	sanlvyixi
亡命天涯	wangmingtianya
老花	laohua
替代性創傷	tidaixingchuangshang
比托特罗	bituoteluo
瑞扎布鲁替尼	ruizhabulutini
瓦尔堡假说	waerbaojiashuo
知情同意	zhiqingtongyi
挨餓	aie
帕拉塞尔苏斯	palasaiersusi
葛森療法	gesenliaofa
衰老	shuailao
反精神醫學	fanjingshenyixue
達那唑	danazuo
立陶宛衛生部	litaowanweishengbu
放射免疫分析	fangshemianyifenxi
趋化因子	quhuayinzi
氯醛甜菜碱	lvquantiancaijian
加減葳蕤湯	jiajianweiruitang
克氏综合征	keshizonghezheng
疾病修饰疗法	jibingxiushiliaofa
天賜良醫	tianciliangyi
氧療	yangliao
法拉盛医院	falashengyiyuan
天生妙手	tianshengmiaoshou
钝性创伤	dunxingchuangshang
醫學家	yixuejia
單挫林	dancuolin
曲美替尼	qumeitini
异丙帕酯	yibingpazhi
內出血	neichuxue
會厭炎	huiyanyan
蝙蝠侠与罗宾	bianfuxiayuluobin
尿路動力學	niaoludonglixue
烯啶虫胺	xidingchongan
多關節炎	duoguanjieyan
標本	biaoben
阿折地平	azhediping
低溫治療	diwenzhiliao
泛性主义	fanxingzhuyi
卵子冷凍貯藏	luanzilengdongzhucang
產後出血	chanhouchuxue
屍蠟	shila
前庭大腺炎	qiantingdaxianyan
放射治療	fangshezhiliao
閉孔突	bikongtu
畸形秀	jixingxiu
陰蒂頭	yinditou
内环境	neihuanjing
灭鼠剂	mieshuji
釋放調節劑	shifangdiaojieji
血小板无力症	xuexiaobanwulizheng
公娼制度	gongchangzhidu
药效团	yaoxiaotuan
苏肇伉	suzhaokang
細胞毒性	xibaoduxing
非黏性敷料	feinianxingfuliao
甲状腺炎	jiazhuangxianyan
水俁病	shuiyubing
子痈	ziyong
氰化钾	qinghuajia
遇溺	yuni
鎖骨骨折	suoguguzhe
老人醫學	laorenyixue
黑三角	heisanjiao
细菌发电	xijunfadian
洛咸頓醫院	luoxiandunyiyuan
裂谷熱	liegure
血液學	xueyexue
鸚鵡熱	yingwure
生殖腺	shengzhixian
亮菌甲素	liangjunjiasu
耳廓	erkuo
德度司他	dedusita
野性之聲	yexingzhisheng
血庫	xueku
皇家內陸醫院	huangjianeiluyiyuan
龐貝氏病	pangbeishibing
李约瑟研究所	liyueseyanjiusuo
水肿	shuizhong
免疫原	mianyiyuan
醫濟部	yijibu
逆行性失憶症	nixingxingshiyizheng
神經外科	shenjingwaike
触觉缺失	chujuequeshi
氯化氰	lvhuaqing
中国防痨协会	zhongguofanglaoxiehui
口蹄疫	koutiyi
楓糖尿症	fengtangniaozheng
藥害愛滋事件	yaohaiaizishijian
热稳定性	rewendingxing
富流感	fuliugan
親愛的房客	qinaidefangke
氧化偶氮甲烷	yanghuaoudanjiawan
徒手肌力測試	tushoujiliceshi
莫罗氏反射	moluoshifanshe
可待因	kedaiyin
宫颈举痛	gongjingjutong
被试者	beishizhe
言語治療	yanyuzhiliao
人體冷凍技術	rentilengdongjishu
中和抗体	zhonghekangti
靶向给药	baxianggeiyao
骨架化	gujiahua
鼻塞	bise
子宫腔	zigongqiang
邵逸夫獎	shaoyifujiang
氰化氢	qinghuaqing
減肥手術	jianfeishoushu
尿袋	niaodai
杜弗氏散	dufushisan
四日市哮喘	sirishixiaochuan
人為疾患	renweijihuan
海豹肢症	haibaozhizheng
氯氧化锑	lvyanghuati
臨床路徑	linchuanglujing
六自由度	liuziyoudu
休閒治療	xiuxianzhiliao
臼井甕男	jiujingwengnan
阿育吠陀	ayufeituo
兒童獻祭	ertongxianji
夜食症	yeshizheng
脊柱後凸	jizhuhoutu
嗅覺受器	xiujueshouqi
死亡聖神	siwangshengshen
假性宫缩	jiaxinggongsuo
科里奧利效應	keliaolixiaoying
呼吸音	huxiyin
痘苗病毒	doumiaobingdu
冰浴	bingyu
骨盆	gupen
烏克蘭衛生部	wukelanweishengbu
燻蒸	xunzheng
疾病	jibing
下鼻甲	xiabijia
疫苗接種	yimiaojiezhong
爱康国宾	aikangguobin
馬凡氏症候群	mafanshizhenghouqun
过敏	guomin
咪達唑侖	midazuolun
冠狀動脈疾病	guanzhuangdongmaijibing
藥用腎上腺素	yaoyongshenshangxiansu
卡巴納醫院	kabanayiyuan
肿瘤基因组学	zhongliujiyinzuxue
逆向藥理學	nixiangyaolixue
實習醫師	shixiyishi
軟墊病室	ruandianbingshi
苗医学	miaoyixue
硫氧洛尔	liuyangluoer
敌百虫	dibaichong
免疫耐受	mianyinaishou
鉤端螺旋體病	gouduanluoxuantibing
夾板	jiaban
暑湿	shushi
石仁愛	shirenai
補品	bupin
中医男科学	zhongyinankexue
寰樞椎結核	huanshuchuijiehe
斯日敖道	siriaodao
植入性胎盤	zhiruxingtaipan
產科出血	chankechuxue
腹外疝	fuwaishan
水杨酸雌二醇	shuiyangsuancierchun
疾病管理廳	jibingguanliting
陰性反應	yinxingfanying
凍傷	dongshang
关节置换	guanjiezhihuan
体液免疫	tiyemianyi
吴玉章	wuyuzhang
强直静止	qiangzhijingzhi
发病率	fabinglv
上帝已死	shangdiyisi
飛現象	feixianxiang
別闖陰陽界	biechuangyinyangjie
施扬	shiyang
緊急昏迷指數	jinjihunmizhishu
熱帶醫學	redaiyixue
极性表面积	jixingbiaomianji
于朦朧之死	yumenglongzhisi
骨质增生	guzhizengsheng
前体药物	qiantiyaowu
主訴	zhusu
生物医疗废物	shengwuyiliaofeiwu
熱衰竭	reshuaijie
生物濃縮性	shengwunongsuoxing
軟骨炎	ruanguyan
非索罗定	feisuoluoding
甲上皮	jiashangpi
以同治同	yitongzhitong
察布查尔病	chabuchaerbing
壞疽性膿皮症	huaijuxingnongpizheng
終末的後宮	zhongmodehougong
退修會	tuixiuhui
先天性障碍	xiantianxingzhangai
智齿	zhichi
噬菌體治療	shijuntizhiliao
反应原性	fanyingyuanxing
通用记录法	tongyongjilufa
萊克多巴胺	laikeduobaan
聲道	shengdao
牛痘病	niudoubing
流行病列表	liuxingbingliebiao
基士堤医院	jishidiyiyuan
生物信息学	shengwuxinxixue
前瞻性研究	qianzhanxingyanjiu
腓肠神经	feichangshenjing
拉沙病毒	lashabingdu
原坑	yuankeng
性壓抑	xingyayi
愛滋病追蟲者	aizibingzhuichongzhe
上消化道出血	shangxiaohuadaochuxue
乙拌磷	yibanlin
咀嚼	jujue
美布他明	meibutaming
吉法酯	jifazhi
肺浸潤	feijinrun
快速抗原检测	kuaisukangyuanjiance
活體組織檢查	huotizuzhijiancha
裝具	zhuangju
胸腔醫學	xiongqiangyixue
干细胞疗法	ganxibaoliaofa
紗布	shabu
五禽戏	wuqinxi
興奮性毒性	xingfenxingduxing
罗哌卡因	luopaikayin
右位心	youweixin
株落失能	zhuluoshineng
靈性	lingxing
病毒性肠胃炎	bingduxingchangweiyan
运动损伤	yundongsunshang
妊娠多形疹	renshenduoxingzhen
怪病醫拉姆尼	guaibingyilamuni
大水镬医院	dashuihuoyiyuan
麻风病	mafengbing
懶惰	landuo
蕾特氏症	leiteshizheng
傷口	shangkou
风险因素	fengxianyinsu
智能生物材料	zhinengshengwucailiao
幽门	youmen
毒海浮生	duhaifusheng
低氘水	didaoshui
氯代西布曲明	lvdaixibuquming
二甲硝咪唑	erjiaxiaomizuo
汉方医学	hanfangyixue
伴隨式診斷	bansuishizhenduan
脈輪	mailun
舉腿試驗	jutuishiyan
白痴	baichi
結核菌素	jiehejunsu
遺傳毒性	yichuanduxing
尿道球腺	niaodaoqiuxian
殺蟲劑	shachongji
癌症免疫疗法	aizhengmianyiliaofa
醫藥分家	yiyaofenjia
牙齿交痈	yachijiaoyong
怪醫黑傑克	guaiyiheijieke
医院骑士团	yiyuanqishituan
安全性行為	anquanxingxingwei
前額骨	qianegu
栓剂	shuanji
急性应激反应	jixingyingjifanying
乳房初長	rufangchuzhang
药物类别	yaowuleibie
多酚抗氧化劑	duofenkangyanghuaji
前列腺痛	qianliexiantong
懸浮固體	xuanfuguti
牙鑽	yazuan
內分泌干擾物	neifenmiganraowu
乳房重建	rufangzhongjian
鼻腔異物	biqiangyiwu
死因裁判法庭	siyincaipanfating
溫諾平	wennuoping
科恩綜合症	keenzonghezheng
生物化学	shengwuhuaxue
邰正宵	taizhengxiao
乳果糖	ruguotang
防禦性醫療	fangyuxingyiliao
感染力	ganranli
国际护士节	guojihushijie
颧弓	quangong
三座山測試	sanzuoshanceshi
睫状前动脉	jiezhuangqiandongmai
撕脱性骨折	situoxingguzhe
恆齒	hengchi
血清学	xueqingxue
关节镜	guanjiejing
乙胺嘧啶	yianmiding
行为绝望模型	xingweijuewangmoxing
经学	jingxue
浸潤	jinrun
空氣殺人	kongqisharen
禁止死亡	jinzhisiwang
體外震波	tiwaizhenbo
基因治療	jiyinzhiliao
头孢呋辛酯	toubaofuxinzhi
衝動購物症	chongdonggouwuzheng
溫脾湯	wenpitang
准分子激光	zhunfenzijiguang
依托咪酯	yituomizhi
坐式生活型態	zuoshishenghuoxingtai
性冲动	xingchongdong
程延	chengyan
勒福氏截骨術	leifushijiegushu
保健福祉部	baojianfuzhibu
坐牛	zuoniu
手術切口	shoushuqiekou
酶工程	meigongcheng
体制心理治疗	tizhixinlizhiliao
患者	huanzhe
疫痢	yili
尾氣泵	weiqibeng
功能余气量	gongnengyuqiliang
血吸虫	xuexichong
參拜	canbai
腸道外營養	changdaowaiyingyang
股动脉压迫器	gudongmaiyapoqi
致死量	zhisiliang
血管脂肪瘤	xueguanzhifangliu
下巴整形手術	xiabazhengxingshoushu
幽灵宇航员	youlingyuhangyuan
心理學家謬誤	xinlixuejiamiuwu
诺氟沙星	nuofushaxing
卡巴氧	kabayang
醋羟丁酸	cuqiangdingsuan
时间洞察力	shijiandongchali
胡桃夹综合征	hutaojiazonghezheng
分布性休克	fenbuxingxiuke
眶後骨	kuanghougu
毛细血管	maoxixueguan
替身醫療	tishenyiliao
自殺預防	zishayufang
丙酸诺龙	bingsuannuolong
代謝症候群	daixiezhenghouqun
胶原性纤维瘤	jiaoyuanxingxianweiliu
副交感神经	fujiaoganshenjing
水疱	shuipao
慢性病	manxingbing
無手足畸形	wushouzujixing
手腳搖動	shoujiaoyaodong
劫命救護	jiemingjiuhu
艾司氯胺酮	aisilvantong
耳毒性	erduxing
腎	shen
孔雀石綠	kongqueshilv
露龈笑	lukenxiao
肯迪	kendi
先朝君主遺孀	xianchaojunzhuyishuang
唯意志論	weiyizhilun
医用昆虫学	yiyongkunchongxue
個人中心治療	gerenzhongxinzhiliao
系統藥理學	xitongyaolixue
唑拉西泮	zuolaxipan
救護車	jiuhuche
植物病理學	zhiwubinglixue
重症肌無力	zhongzhengjiwuli
氟氫可體松	fuqingketisong
吸入器	xiruqi
貓抓板	maozhuaban
庫興氏症候群	kuxingshizhenghouqun
洛索洛芬	luosuoluofen
聽覺生理	tingjueshengli
焦磷酸四乙酯	jiaolinsuansiyizhi
下背痛	xiabeitong
心脏移植	xinzangyizhi
腎虛	shenxu
貝林妥歐單抗	beilintuooudankang
化膿性汗腺炎	huanongxinghanxianyan
紅藍絲帶	honglansidai
粪便检查	fenbianjiancha
腹骨	fugu
反覆流產	fanfuliuchan
肌肉颤搐	jirouchanchu
最大尿流率	zuidaniaoliulv
口呼吸	kouhuxi
科學超電磁砲	kexuechaodiancipao
光黄素	guanghuangsu
心血管內科	xinxueguanneike
王群光	wangqunguang
伊马替尼	yimatini
牙龈病	yakenbing
莫德纳	modena
三伏贴	sanfutie
中医基础理论	zhongyijichulilun
火邪	huoxie
韦加宁	weijianing
氯硝柳胺	lvxiaoliuan
擴散磁振造影	kuosancizhenzaoying
斐洛克特底	feiluoketedi
双点医院	shuangdianyiyuan
利德爾綜合症	lideerzonghezheng
水分置換療法	shuifenzhihuanliaofa
汞中毒	gongzhongdu
化学合成药物	huaxuehechengyaowu
高齡孕產婦	gaolingyunchanfu
福巴替尼	fubatini
東涌健康中心	dongyongjiankangzhongxin
零风险偏误	lingfengxianpianwu
疲劳性骨折	pilaoxingguzhe
二乙酸雌二醇	eryisuancierchun
臨終異象	linzhongyixiang
遺精	yijing
經痛	jingtong
神經內科	shenjingneike
人间兵器	renjianbingqi
早搏	zaobo
頻尿症	pinniaozheng
搖椅底狀腳	yaoyidizhuangjiao
雷弗氏病	leifushibing
亞伯氏症	yaboshizheng
海洛因	hailuoyin
郎心如鐵	langxinrutie
保健物理	baojianwuli
巴特氏症候群	bateshizhenghouqun
气闸舱	qizhacang
壞血病	huaixuebing
生物工程学	shengwugongchengxue
白血球	baixueqiu
七損八益	qisunbayi
骨腫瘤	guzhongliu
蜂毒	fengdu
生日效應	shengrixiaoying
胶筋法	jiaojinfa
獸醫管理局	shouyiguanliju
小津安二郎	xiaojinanerlang
闻诊	wenzhen
漱口水	shukoushui
空腸	kongchang
心學	xinxue
妊娠期	renshenqi
胸廓	xiongkuo
蓝色空间	lansekongjian
不良反应	buliangfanying
人造牙冠	renzaoyaguan
神經重症學	shenjingzhongzhengxue
臟器逆位	zangqiniwei
奉子不成婚	fengzibuchenghun
口腔癌	kouqiangai
足病学	zubingxue
新生儿科	xinshengerke
戊巴比妥	wubabituo
神经节细胞层	shenjingjiexibaoceng
戈德华特守则	gedehuateshouze
佩托悖论	peituobeilun
磺胺多辛	huanganduoxin
烟雾病	yanwubing
胎膜早破	taimozaopo
前庭耳蝸神經	qiantingerwoshenjing
家庭計畫	jiatingjihua
陈邦贤	chenbangxian
去穩定化	quwendinghua
丙戊酰胺	bingwuxianan
社會性懈怠	shehuixingxiedai
经前综合症	jingqianzonghezheng
二重感染	erzhongganran
分诊	fenzhen
宿主转换	suzhuzhuanhuan
福沙那韦	fushanawei
滕皋军	tenggaojun
慕被殺癖	mubeishapi
乳房攝影術	rufangsheyingshu
髕前滑囊炎	binqianhuanangyan
卡门氏症候群	kamenshizhenghouqun
蒙醫學	mengyixue
眼科学	yankexue
援物比类	yuanwubilei
串聯性投藥	chuanlianxingtouyao
陸仲安	luzhongan
肌膜	jimo
祷告	daogao
免疫佐剂	mianyizuoji
咯血	kaxie
胰岛	yidao
過勞死	guolaosi
四號驗屍室	sihaoyanshishi
族群控制	zuqunkongzhi
製氧機	zhiyangji
廁所飯	cesuofan
努南氏症候群	nunanshizhenghouqun
全身放射治療	quanshenfangshezhiliao
肋骨骨折	leguguzhe
一过性头晕	yiguoxingtouyun
潰瘍	kuiyang
呼吸治疗师	huxizhiliaoshi
百草枯	baicaoku
解剖變異	jiepoubianyi
血氧饱和度	xueyangbaohedu
艾灸	aijiu
間皮瘤	jianpiliu
组织相容性	zuzhixiangrongxing
那孩子的孩子	nahaizidehaizi
宿便	subian
世界高血壓日	shijiegaoxueyari
三氟乙咪酯	sanfuyimizhi
骨頭侵蝕	gutouqinshi
健康快車	jiankangkuaiche
口腔衛生師	kouqiangweishengshi
激光	jiguang
梦想触手可及	mengxiangchushoukeji
压力性损伤	yalixingsunshang
芬克洛酸	fenkeluosuan
方剂学	fangjixue
鏡頭恐懼	jingtoukongju
口腔医学	kouqiangyixue
關節骨	guanjiegu
免疫	mianyi
頸托	jingtuo
苹果醋	pingguocu
医圣	yisheng
家庭醫生	jiatingyisheng
高碳酸血症	gaotansuanxuezheng
新生儿感染	xinshengerganran
情牽百子櫃	qingqianbaizigui
纤维化	xianweihua
阳起石	yangqishi
瑞普替尼	ruiputini
發紺	fagan
釜山行	fushanxing
江本勝	jiangbensheng
尿素氮	niaosudan
磺胺马宗	huanganmazong
搖擺床	yaobaichuang
醫患關係	yihuanguanxi
腺病毒感染	xianbingduganran
體液	tiye
菲爾紹三要素	feiershaosanyaosu
腦電描記術	naodianmiaojishu
早晚功課經	zaowangongkejing
心肺停止	xinfeitingzhi
信号检测理论	xinhaojiancelilun
泄殖腔外翻	xiezhiqiangwaifan
公共衛生期刊	gonggongweishengqikan
弗氏佐劑	fushizuoji
太陰病	taiyinbing
治療指數	zhiliaozhishu
传染	chuanran
精神障碍歧视	jingshenzhangaiqishi
生理盐水	shengliyanshui
莫仑太尔	moluntaier
拉頂氏徵象	ladingshizhengxiang
性腺初育	xingxianchuyu
美國免費診所	meiguomianfeizhensuo
异种移植	yizhongyizhi
角膜切割器	jiaomoqiegeqi
理性行為理論	lixingxingweililun
勞厄方程式	laoefangchengshi
苏州口腔医院	suzhoukouqiangyiyuan
正中矢狀面	zhengzhongshizhuangmian
变化盲视	bianhuamangshi
瘤胃臌氣	liuweiguqi
腿毛	tuimao
狄奎凡氏症	dikuifanshizheng
布拉格尖峰	bulagejianfeng
炒飯症候群	chaofanzhenghouqun
可酵解食物	kejiaojieshiwu
萎缩性胃炎	weisuoxingweiyan
皮內注射	pineizhushe
證據等級	zhengjudengji
阿哌奥诺基	apaiaonuoji
妥瑞氏症	tuoruishizheng
贺建奎	hejiankui
冥想	mingxiang
神经性胃炎	shenjingxingweiyan
镇痛药	zhentongyao
哇洛凡	waluofan
空气净化器	kongqijinghuaqi
外展神經	waizhanshenjing
瞳孔放大	tongkongfangda
健康全書	jiankangquanshu
心率	xinlv
膀胱镜	bangguangjing
血管攝影	xueguansheying
崔玖	cuijiu
转基因作物	zhuanjiyinzuowu
埃博拉病毒屬	aibolabingdushu
中医药学	zhongyiyaoxue
真空采血管	zhenkongcaixueguan
电子病历	dianzibingli
健康管理系統	jiankangguanlixitong
碘奥酮	dianaotong
耳漏	erlou
瞩日	zhuri
探肛	tangang
乳腺纤维囊变	ruxianxianweinangbian
牙外伤	yawaishang
聯合縮小軍	lianhesuoxiaojun
机会性感染	jihuixingganran
牙痈	yayong
腫瘤腎臟學	zhongliushenzangxue
深静脉血栓	shenjingmaixueshuan
擔架	danjia
烯二炔	xiergui
肩袖	jianxiu
啞	ya
心血管檢查	xinxueguanjiancha
柠檬酸铁铵	ningmengsuantiean
癌前病变	aiqianbingbian
異物氣道阻塞	yiwuqidaozusai
戀屍癖事例	lianshipishili
外显率	waixianlv
中国药学会	zhongguoyaoxuehui
腕隧道症候群	wansuidaozhenghouqun
過敏原測試	guominyuanceshi
汞撒利	gongsali
万孚生物	wanfushengwu
萘普生铜	naipushengtong
脊柱裂	jizhulie
反安慰劑	fananweiji
癌症篩查	aizhengshaicha
冠状病毒科	guanzhuangbingduke
医疗器械	yiliaoqixie
單株抗體治療	danzhukangtizhiliao
良性肿瘤	liangxingzhongliu
葛蘭素史克	gelansushike
强直性脊柱炎	qiangzhixingjizhuyan
颞下颌关节	niexiaheguanjie
五運六氣	wuyunliuqi
公共衛生法	gonggongweishengfa
基督科學	jidukexue
前庭裂	qiantinglie
氣管切開術	qiguanqiekaishu
尸冷	shileng
圓寂	yuanji
二氟化氧	erfuhuayang
舒展桿	shuzhangan
神经发生	shenjingfasheng
短指症	duanzhizheng
癸酸诺龙	guisuannuolong
血清素综合症	xueqingsuzonghezheng
外科学	waikexue
新孢霉素	xinbaomeisu
誇大	kuada
血管	xueguan
洗冤集录	xiyuanjilu
细胞焦亡	xibaojiaowang
骨折	guzhe
瑜伽	yujia
咽周间隙	yanzhoujianxi
併蹠骨	bingzhigu
伍贻经	wuyijing
膠耳	jiaoer
替莫唑胺	timozuoan
食物過敏	shiwuguomin
分心	fenxin
冰按摩	binganmo
醫心方	yixinfang
雙面畸胎	shuangmianjitai
著色性乾皮症	zhusexingqianpizheng
低磷酸酯酶症	dilinsuanzhimeizheng
卵巢旁体	luanchaopangti
運動處方	yundongchufang
黑变病	heibianbing
烯丙醇	xibingchun
来氟米特	laifumite
嘉諾撒醫院	jianuosayiyuan
香港體檢	xianggangtijian
造瘘术	zaoloushu
人工晶状体	rengongjingzhuangti
功能醫學	gongnengyixue
副作用	fuzuoyong
多尿症	duoniaozheng
外科口罩	waikekouzhao
死亡回忆	siwanghuiyi
自利性偏差	zilixingpiancha
凋亡诱导因子	diaowangyoudaoyinzi
幽門螺桿菌	youmenluoganjun
腦皮層電圖	naopicengdiantu
木馏油	muliuyou
精神病理學	jingshenbinglixue
辨证论治	bianzhenglunzhi
磺胺甲基嘧啶	huanganjiajimiding
拔牙术	bayashu
医学光声成像	yixueguangshengchengxiang
桑拿	sangna
單關節炎	danguanjieyan
急性肝衰竭	jixingganshuaijie
物質濫用	wuzhilanyong
神经眼科学	shenjingyankexue
基本救命術	jibenjiumingshu
苟亞博	gouyabo
创伤外科	chuangshangwaike
事件相关电位	shijianxiangguandianwei
放鬆技巧	fangsongjiqiao
胚胎工程	peitaigongcheng
骨骺	guhou
白鼻症	baibizheng
懈怠症	xiedaizheng
牛肉牛乳因子	niurouniuruyinzi
班布特罗	banbuteluo
膀胱腸瘻管	bangguangchanglouguan
硫酸亚铊	liusuanyata
乳房囊腫	rufangnangzhong
胃切除術	weiqiechushu
副耳	fuer
布卢姆综合征	bulumuzonghezheng
伴行静脉	banxingjingmai
阴道成形术	yindaochengxingshu
贾宗超	jiazongchao
睾丸癌	gaowanai
豬緊迫症候群	zhujinpozhenghouqun
洞角	dongjiao
笑死	xiaosi
照會精神醫學	zhaohuijingshenyixue
丙型肝炎	bingxingganyan
注射器	zhusheqi
胸腔外科學	xiongqiangwaikexue
胸腺	xiongxian
氣壓性牙痛	qiyaxingyatong
血汗症	xuehanzheng
死亡丧钟	siwangsangzhong
中富控股	zhongfukonggu
胎糞	taifen
氯气	lvqi
猴子咬傷	houziyaoshang
張力亢進	zhanglikangjin
斑蝥酸	banmaosuan
皮膚擴張紋	pifukuozhangwen
