# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
端容眼科診所	duanrongyankezhensuo
小青龙汤	xiaoqinglongtang
英國醫學期刊	yingguoyixueqikan
肋膜黏連術	lemonianlianshu
基因组编辑	jiyinzubianji
神經義肢	shenjingyizhi
病毒培養	bingdupeiyang
心律調節器	xinlvdiaojieqi
倾向评分匹配	qingxiangpingfenpipei
乳癌	ruai
口罩實名制	kouzhaoshimingzhi
罗定市中医院	luodingshizhongyiyuan
倫琴	lunqin
胸段	xiongduan
私立醫院	siliyiyuan
霍奇金淋巴瘤	huoqijinlinbaliu
肌肉發炎	jiroufayan
排尿	painiao
震顫性譫妄	zhenchanxingzhanwang
氰化镉	qinghuage
冷療	lengliao
地漿水	dijiangshui
细胞重组	xibaozhongzu
脈	mai
疼痛	tengtong
蛋白尿	danbainiao
黏液性囊腺瘤	nianyexingnangxianliu
平行纖維	pingxingxianwei
美沙酮	meishatong
雷姆	leimu
席胜魔	xishengmo
鐮孢菌屬	lianbaojunshu
醫學影像	yixueyingxiang
症狀和徵候	zhengzhuanghezhenghou
中国解剖学会	zhongguojiepouxuehui
献血	xianxie
腸胃穿孔	changweichuankong
疫痿	yiwei
醫療	yiliao
罹患率	lihuanlv
西乃山醫院	xinaishanyiyuan
腸毒素	changdusu
给药途径	geiyaotujing
朴正熙遇刺案	puzhengxiyucian
视野测量	shiyeceliang
血管狭窄	xueguanxiazhai
彼拉提斯	bilatisi
腺和上皮肿瘤	xianheshangpizhongliu
庸醫	yongyi
有效劑量	youxiaojiliang
泰妙菌素	taimiaojunsu
老化防護	laohuafanghu
产前出血	chanqianchuxue
乳頭分泌物	rutoufenmiwu
磺胺培林	huanganpeilin
乙硫酰丙喹	yiliuxianbingkui
年龄角色	nianlingjiaose
殺生物劑	shashengwuji
葡萄胎	putaotai
基因重配	jiyinzhongpei
东莞仁康医院	dongguanrenkangyiyuan
孕马尿	yunmaniao
老人照護	laorenzhaohu
鲨烯	shaxi
蛇咬傷	sheyaoshang
陽明病	yangmingbing
赫力昂	heliang
庚酸雌二醇	gengsuancierchun
師徒	shitu
臟腑	zangfu
免疫組織化學	mianyizuzhihuaxue
尺骨	chigu
股內側肌	guneiceji
