# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
恶魔的证明	emodezhengming
瑣碎論	suosuilun
大学问	daxuewen
葛梯尔问题	getierwenti
高雅	gaoya
肮脏美学	angzangmeixue
觀點主義	guandianzhuyi
演绎推理	yanyituili
社会建构主义	shehuijiangouzhuyi
卡巴拉	kabala
服氣	fuqi
哲學諮商	zhexuezishang
中國種族主義	zhongguozhongzuzhuyi
科學的階級	kexuedejieji
抽象化	chouxianghua
美学	meixue
反神论	fanshenlun
道义逻辑	daoyiluoji
說服性定義	shuofuxingdingyi
西洛錫安問題	xiluoxianwenti
宗教誓言	zongjiaoshiyan
存在與時間	cunzaiyushijian
負所得稅	fusuodeshui
君主主義	junzhuzhuyi
可理解性	kelijiexing
西西弗神话	xixifushenhua
宗教信仰哲學	zongjiaoxinyangzhexue
城市广场	chengshiguangchang
文藝復興美學	wenyifuxingmeixue
后后现代主义	houhouxiandaizhuyi
嵇康	jikang
成功	chenggong
風水	fengshui
忠實	zhongshi
互相矛盾	huxiangmaodun
物质一元论	wuzhiyiyuanlun
奇奇怪怪	qiqiguaiguai
京都學派	jingdouxuepai
血统论	xuetonglun
基督教哲学	jidujiaozhexue
政治哲学	zhengzhizhexue
宗教语言问题	zongjiaoyuyanwenti
醫學倫理學	yixuelunlixue
无限倒退	wuxiandaotui
建構	jiangou
波菲利之树	bofeilizhishu
文化图式理论	wenhuatushililun
二元對立	eryuanduili
辟穀	pigu
意识	yishi
演化美學	yanhuameixue
扬弃	yangqi
生命哲學	shengmingzhexue
整體藝術	zhengtiyishu
太陽神與酒神	taiyangshenyujiushen
國王圖書館	guowangtushuguan
荒诞主义	huangdanzhuyi
消极自由	xiaojiziyou
範疇錯誤	fanchoucuowu
业瑜伽	yeyuga
形上學	xingshangxue
可证伪性	kezhengweixing
反消費主義	fanxiaofeizhuyi
东方危机	dongfangweiji
致死的疾病	zhisidejibing
自愿主义	ziyuanzhuyi
理性	lixing
熊伟	xiongwei
權力菁英	quanlijingying
啟示	qishi
诸众	zhuzhong
法律哲学	falvzhexue
非锡安主义	feixianzhuyi
唯名論	weiminglun
广延物	guangyanwu
生物自然主义	shengwuziranzhuyi
近代哲學	jindaizhexue
公共意志	gonggongyizhi
数论颂	shulunsong
責備	zebei
涌现	yongxian
新古典主義	xingudianzhuyi
蘇丹主義	sudanzhuyi
傅立叶主义	fuliyezhuyi
李斯	lisi
上界和下界	shangjiehexiajie
撒嬌	sajiao
關係美學	guanximeixue
宇宙主义	yuzhouzhuyi
安全困境	anquankunjing
語義三角	yuyisanjiao
醜的歷史	choudelishi
四句	siju
政道與治道	zhengdaoyuzhidao
人性論	renxinglun
文武	wenwu
饿死野兽	esiyeshou
庇隆主义	bilongzhuyi
意志	yizhi
城市权	chengshiquan
三花聚頂	sanhuajuding
菲力帕斯篇	feilipasipian
觀念論	guannianlun
慣習	guanxi
自主	zizhu
伊比鳩魯學派	yibijiuluxuepai
為什麼我是我	weishenmewoshiwo
风俗论	fengsulun
時下哲學	shixiazhexue
虎溪三笑	huxisanxiao
自然神论	ziranshenlun
真理融貫論	zhenlirongguanlun
二十四缘	ershisiyuan
人身保護令	renshenbaohuling
纵横家	zonghengjia
數學倫理學	shuxuelunlixue
多重草稿模型	duozhongcaogaomoxing
福特制	futezhi
古埃及哲学	guaijizhexue
美國哲學學會	meiguozhexuexuehui
參考	cankao
自然辩证法	ziranbianzhengfa
背叛	beipan
逃避	taobi
独立	duli
认识逻辑	renshiluoji
偶然的必要性	ourandebiyaoxing
物理对象	wuliduixiang
无矛盾律	wumaodunlv
光学	guangxue
自然美學	ziranmeixue
纳粹毛主义	nacuimaozhuyi
談談方法	tantanfangfa
对佛教的批判	duifujiaodepipan
忠贞	zhongzhen
规律	guilv
厄庇諾米斯篇	ebinuomisipian
現代性	xiandaixing
公共领域	gonggonglingyu
结构	jiegou
踏影而行	tayingerxing
外延	waiyan
科學實在論	kexueshizailun
後現代性	houxiandaixing
神國	shenguo
电影哲学	dianyingzhexue
三聖廟	sanshengmiao
公德	gongde
社会事实	shehuishishi
操作定义	caozuodingyi
美国哲学协会	meiguozhexuexiehui
哲学怀疑论	zhexuehuaiyilun
新都市主義	xindoushizhuyi
問覡	wenxi
经济主义	jingjizhuyi
政治系統理論	zhengzhixitonglilun
科学社会主义	kexueshehuizhuyi
有趣数字悖论	youqushuzibeilun
魔術光	moshuguang
西藏问题	xicangwenti
数学原理	shuxueyuanli
实证主义	shizhengzhuyi
謬誤列表	miuwuliebiao
愛之工	aizhigong
不害	buhai
意向性	yixiangxing
全球公民意識	quanqiugongminyishi
笛卡尔循环	dikaerxunhuan
德摩根定律	demogendinglv
抽象对象理论	chouxiangduixianglilun
孔廟列表	kongmiaoliebiao
哲學年鑑	zhexuenianjian
全称实例化	quanchengshilihua
哲學分析	zhexuefenxi
物活论	wuhuolun
美的歷史	meidelishi
智慧	zhihui
法治	fazhi
囚徒困境	qiutukunjing
批判理論	pipanlilun
人民主权	renminzhuquan
互不侵犯原則	hubuqinfanyuanze
時間問題	shijianwenti
雙帝問題	shuangdiwenti
理性無知	lixingwuzhi
印度哲学	yinduzhexue
中世紀哲學	zhongshijizhexue
家族相似性	jiazuxiangshixing
黄老道	huanglaodao
族群認同理論	zuqunrentonglilun
認知革命	renzhigeming
单义性	danyixing
自由思想	ziyousixiang
全球主義	quanqiuzhuyi
公理	gongli
谎言	huangyan
德國古典美學	deguogudianmeixue
绝对	juedui
欧洲价值观	ouzhoujiazhiguan
面包与自由	mianbaoyuziyou
中国哲学	zhongguozhexue
盲人摸象	mangrenmoxiang
下反对关系	xiafanduiguanxi
哲学评论	zhexuepinglun
集體行動問題	jitixingdongwenti
活动空间	huodongkongjian
先验唯心论	xianyanweixinlun
以色列去死	yiseliequsi
美德	meide
舉證責任	juzhengzeren
创造论与科学	chuangzaolunyukexue
中智学	zhongzhixue
圣经与同性恋	shengjingyutongxinglian
反軍國主義	fanjunguozhuyi
理智	lizhi
数学哲学	shuxuezhexue
神視角	shenshijiao
可通约性	ketongyuexing
唯心主義	weixinzhuyi
結構主義	jiegouzhuyi
新存在	xincunzai
民主邦联主义	minzhubanglianzhuyi
孤证不立	guzhengbuli
阻礙主義	zuaizhuyi
第二性	dierxing
有限政府	youxianzhengfu
网络伦理	wangluolunli
宪政化	xianzhenghua
基督教的本质	jidujiaodebenzhi
自然神学	ziranshenxue
希帕蒂娅	xipadiya
所罗门的审判	suoluomendeshenpan
浙东学派	zhedongxuepai
经典逻辑	jingdianluoji
游叙弗伦困境	youxufulunkunjing
三教合流	sanjiaoheliu
反俄狄浦斯	fanedipusi
相容论	xiangronglun
湧現論	yongxianlun
二律背反	erlvbeifan
笛卡儿主义	dikaerzhuyi
本体论	bentilun
語言與言語	yuyanyuyanyu
多數人暴政	duoshurenbaozheng
有機體說	youjitishuo
日常語言哲學	richangyuyanzhexue
奥卡姆剃刀	aokamutidao
廉恥	lianchi
反出生主義	fanchushengzhuyi
唯我論	weiwolun
後錫安主義	houxianzhuyi
晁错	chaocuo
世界的永恆	shijiedeyongheng
旅行者困境	lvxingzhekunjing
分而治之	fenerzhizhi
探索	tansuo
一望而知	yiwangerzhi
塔西佗陷阱	taxituoxianjing
牟钟鉴	mouzhongjian
廢除工作	feichugongzuo
良知	liangzhi
迷因	miyin
符號論美學	fuhaolunmeixue
解释力	jieshili
批判性思维	pipanxingsiwei
白马非马	baimafeima
