# 泰深输入法专业词库 — 饮食
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
乳扇饺	rushanjiao
乳膳萨其马	rushansaqima
乳茶	rucha
乳酪大会	rulaodahui
乳酪蒸虾仁	rulaozhengxiaren
乳酪蛋糕	rulaodangao
乳酸乙酯	rusuanyizhi
乳酸菌饮料	rusuanjunyinliao
乳酸钠	rusuanna
乳酸链球菌素	rusuanlianqiujunsu
乳铁蛋白	rutiedanbai
乳鸽瓤猪肚	rugerangzhudu
乾县挂面	qianxianguamian
乾县豆腐脑	qianxiandoufunao
乾县锅盔	qianxianguokui
乾坤蒸狗	qiankunzhenggou
乾州豆腐脑	qianzhoudoufunao
乾州锅盔	qianzhouguokui
乾州鸡面	qianzhoujimian
乾果四品	qianguosipin
事事平安	shishipingan
二丁基羟基甲苯	erdingjiqiangjijiaben
二仙居碗坨	erxianjuwantuo
二仙烧羊肉	erxianshaoyangrou
二块粑炒火腿	erkuaibachaohuotui
二姐兔丁	erjietuding
二氢香豆素	erqingxiangdousu
二氯苯氧乙酸	erlvbenyangyisuan
二甲基聚硅氧烷	erjiajijuguiyangwan
二甲基苄基原醇	erjiajibianjiyuanchun
云南咖啡	yunnankafei
云南回饼	yunnanhuibing
云南春卷	yunnanchunjuan
云南油茶	yunnanyoucha
云娜水果捞	yunnashuiguolao
云托八鲜	yuntuobaxian
云梦鱼面	yunmengyumian
云河段霄	yunheduanxiao
云片鸽蛋	yunpiangedan
云猪手	yunzhushou
云耳西芹炒肉片	yunerxiqinchaoroupian
云腿	yuntui
云腿奶糖	yuntuinaitang
云腿月饼	yuntuiyuebing
云腿罐头	yuntuiguantou
云腿豆焖饭	yuntuidoumenfan
云针	yunzhen
云长玉浆饺	yunzhangyujiangjiao
五一饭店	wuyifandian
五丁鱼圆	wudingyuyuan
五丝洋粉	wusiyangfen
五丝菜卷	wusicaijuan
五仁包	wurenbao
五仁酥	wurensu
五加皮酒	wujiapijiu
五华尊	wuhuazun
五味明虾片	wuweimingxiapian
五味沙糕	wuweishagao
五味煎蟹	wuweijianxie
五味白肉	wuweibairou
五味花枝	wuweihuazhi
五味香糕	wuweixianggao
五城茶干	wuchengchagan
五夫醉鸡	wufuzuiji
五寨猪黑肉炖粉	wuzhaizhuheiroudunfen
五山池	wushanchi
五彩抄手	wucaichaoshou
五彩炒蛇丝	wucaichaoshesi
五彩炒驼峰	wucaichaotuofeng
五彩牛肉丝	wucainiurousi
五彩球	wucaiqiu
五彩虾松	wucaixiasong
五彩蟹盒	wucaixiehe
五彩雪花扇贝	wucaixuehuashanbei
五指山茶	wuzhishancha
五更肠旺	wugengchangwang
五果汤	wuguotang
五柳全鱼	wuliuquanyu
五柳鱼	wuliuyu
五柳鱼丝	wuliuyusi
五柳鲜鱼	wuliuxianyu
五白糕	wubaigao
五盖山米茶	wugaishanmicha
五神饮	wushenyin
五色沙拉	wuseshala
五花肉炒豆腐泡菜	wuhuarouchaodoufupaocai
五芳斋粽子	wufangzhaizongzi
五通桥叶儿耙	wutongqiaoyeerba
五香仔鸽	wuxiangzaige
五香兔头	wuxiangtutou
五香干丝	wuxianggansi
五香杏仁	wuxiangxingren
五香松花蛋	wuxiangsonghuadan
五香熟芥	wuxiangshujie
五香牛筋斗	wuxiangniujindou
五香牛肉	wuxiangniurou
五香牛肉松	wuxiangniurousong
五香狗肉	wuxianggourou
五香甜沫	wuxiangtianmo
五香羊肉	wuxiangyangrou
五香脆皮鸡	wuxiangcuipiji
五香腰果	wuxiangyaoguo
五香花生	wuxianghuasheng
五香苦瓜	wuxiangkugua
五香茶叶蛋	wuxiangchayedan
五香豆腐干	wuxiangdoufugan
五香辣味牛肉干	wuxianglaweiniurougan
五香酥饼	wuxiangsubing
五香酱肉	wuxiangjiangrou
五香酱驴肉	wuxiangjianglvrou
五香酱鸡	wuxiangjiangji
五香麻糕	wuxiangmagao
井冈山烟笋烧肉	jinggangshanyansunshaorou
井岗翠绿	jinggangcuilv
亚洲辣牛肉和葡萄	yazhoulaniurouheputao
亚硒酸钠	yaxisuanna
亚硝酸钾	yaxiaosuanjia
亚铁氰化钠	yatieqinghuana
亚麻籽胶	yamazijiao
亨氏骨髓蔬菜泥	hengshigusuishucaini
京东馅饼	jingdongxianbing
京冬菜	jingdongcai
京式月饼	jingshiyuebing
京酱肉丝	jingjiangrousi
京酱风肉	jingjiangfengrou
亮蓝铝色淀	lianglanlvsedian
人参枣汁	renshenzaozhi
人参枸杞酒	renshengouqijiu
人参核桃仁粥	renshenhetaorenzhou
人参鸡肉汤	renshenjiroutang
人蔘鸡	renshenji
什大酥烧饼	shendasushaobing
什锦一品锅	shijinyipinguo
什锦丁儿	shijindinger
什锦人参果	shijinrenshenguo
什锦冬瓜帽	shijindongguamao
什锦凉米线	shijinliangmixian
什锦南糖	shijinnantang
什锦多维玉米面粥	shijinduoweiyumimianzhou
什锦套肠儿	shijintaochanger
什锦暖锅	shijinnuanguo
什锦果冻	shijinguodong
什锦水果羔	shijinshuiguogao
什锦水果羹	shijinshuiguogeng
什锦点心	shijindianxin
什锦烩面	shijinhuimian
什锦烩饭	shijinhuifan
什锦田鸡油	shijintianjiyou
什锦糕	shijingao
什锦素菜包	shijinsucaibao
什锦花篮	shijinhualan
什锦苏盘儿	shijinsupaner
什锦葛仙米	shijingexianmi
什锦蛋卷	shijindanjuan
什锦蜂窝豆腐	shijinfengwodoufu
什锦豆腐	shijindoufu
什锦豆腐汤	shijindoufutang
什锦豆腐煲	shijindoufubao
什锦豆腐脑	shijindoufunao
什锦锅子	shijinguozi
什锦锅巴	shijinguoba
什锦麦片	shijinmaipian
什锦麦胚饼	shijinmaipeibing
什锦麻花	shijinmahua
什香菜	shenxiangcai
仁寿芝麻糕	renshouzhimagao
仁用杏	renyongxing
今朝缘	jinzhaoyuan
介休贯馅糖	jiexiuguanxiantang
仔凉粉	zailiangfen
仔姜牛肉	zaijiangniurou
仙人掌茶	xianrenzhangcha
仙城束沙	xianchengshusha
仙度氏咖啡	xiandushikafei
仙源食品	xianyuanshipin
仙鹤望金桥	xianhewangjinqiao
仙鹤鲍鱼	xianhebaoyu
代县麻片	daixianmapian
代县黄酒	daixianhuangjiu
代黄杏	daihuangxing
仪征雀脯菜	yizhengquepucai
仲丁胺	zhongdingan
仲夏野莓	zhongxiayemei
仲夏野莓冰淇淋	zhongxiayemeibingqilin
仲景羊肉汤	zhongjingyangroutang
仿膳饭庄	fangshanfanzhuang
仿膳饽饽	fangshanbobo
伊府面	yifumian
伊斯兰烧饼	yisilanshaobing
伊牛	yiniu
伍仁酥	wurensu
伍佑糖麻花	wuyoutangmahua
伏岭玫瑰酥	fulingmeiguisu
会友发包子	huiyoufabaozi
伤心凉粉	shangxinliangfen
伦教糕	lunjiaogao
伯丁罕	bodinghan
伯爵茶	bojuecha
伯顿	bodun
低亚硫酸钠	diyaliusuanna
低筋面粉	dijinmianfen
低糖蜜饯	ditangmijian
低聚果糖	dijuguotang
低脂芝士蛋糕	dizhizhishidangao
低醇啤酒	dichunpijiu
何首乌山鸡	heshouwushanji
何首乌粉	heshouwufen
余姚瀑布茶	yuyaopubucha
佛公饼	fugongbing
佛山柱侯酱	foshanzhuhoujiang
佛山盲公饼	foshanmanggongbing
佛手三丝	foshousansi
佛手包	foshoubao
佛手广肚	foshouguangdu
佛手排骨	foshoupaigu
佛手海参	foshouhaishen
佛手酥	foshousu
佛手金卷	foshoujinjuan
佛豆柠檬枇	fudouningmengpi
佤族鼠食	wazushushi
侉炖羊肉	kuadunyangrou
侗乡腌鱼	dongxiangyanyu
依幼鱼丸	yiyouyuwan
便宜坊	pianyifang
俄式咖啡	eshikafei
俄罗斯菜	eluosicai
