# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
刘弘毅	liuhongyi
刘弘章	liuhongzhang
刘彘	liuzhi
刘彧	liuyu
刘彻	liuche
刘征	liuzheng
刘循	liuxun
刘德谦	liudeqian
刘志	liuzhi
刘忻	liuxin
刘恂	liuxun
刘恕	liushu
刘恢	liuhui
刘悦	liuyue
刘愫	liusu
刘懋	liumao
刘懋功	liumaogong
刘承宗	liuchengzong
刘攽	liuban
刘放	liufang
刘敏	liumin
刘敞	liuchang
刘文	liuwen
刘文华	liuwenhua
刘文哲	liuwenzhe
刘文彬	liuwenbin
刘文敏	liuwenmin
刘文斌	liuwenbin
刘文浩	liuwenhao
刘文璞	liuwenpu
刘文雄	liuwenxiong
刘方	liufang
刘日新	liurixin
刘旺枝	liuwangzhi
刘旻	liumin
刘星	liuxing
刘星炜	liuxingwei
刘春生	liuchunsheng
刘春雷	liuchunlei
刘昱	liuyu
刘晔	liuye
刘晟	liucheng
刘晨	liuchen
刘曜	liuyao
刘朴	liupu
刘权之	liuquanzhi
刘杉	liushan
刘杰	liujie
刘枚	liumei
刘桂五	liuguiwu
刘桂霞	liuguixia
刘桢	liuzhen
刘榛	liuzhen
刘欢	liuhuan
刘欣	liuxin
刘歆	liuxin
刘正山	liuzhengshan
刘殿中	liudianzhong
刘毓	liuyu
刘毓中	liuyuzhong
刘毓崧	liuyusong
刘永	liuyong
刘永治	liuyongzhi
刘永济	liuyongji
刘永锡	liuyongxi
刘治中	liuzhizhong
刘泰	liutai
刘洪	liuhong
刘海涛	liuhaitao
刘涛	liutao
刘淼	liumiao
刘清扬	liuqingyang
刘澄	liucheng
刘灼	liuzhuo
刘炜	liuwei
刘炜华	liuweihua
刘炟	liuda
刘炯	liujiong
刘炳	liubing
刘烨	liuye
刘焉	liuyan
刘熙	liuxi
刘熙载	liuxizai
刘爵	liujue
刘猛	liumeng
刘献廷	liuxianting
刘玄	liuxuan
刘玉新	liuyuxin
刘玉浦	liuyupu
刘玉章	liuyuzhang
刘玢	liubin
刘珊玲	liushanling
刘珏	liujue
刘珝	liuxu
刘理	liuli
刘琦	liuqi
刘琨	liukun
刘琬	liuwan
刘琮	liucong
刘琰	liuyan
刘琼	liuqiong
刘瑜	liuyu
刘瑶	liuyao
刘璇	liuxuan
刘璈	liuao
刘璋	liuzhang
刘璘	liulin
刘璞	liupu
刘瓒	liuzan
刘畴西	liuchouxi
刘盈	liuying
刘瞻	liuzhan
刘磊	liulei
刘祜	liuhu
刘秀	liuxiu
刘积仁	liujiren
刘穆	liumu
刘端阳	liuduanyang
刘粲	liucan
刘素萍	liusuping
刘繇	liuyao
刘纯燕	liuchunyan
刘纶	liulun
刘绍南	liushaonan
刘缵	liuzuan
刘聪	liucong
刘肇	liuzhao
刘胜	liusheng
刘致	liuzhi
刘艾	liuai
刘节	liujie
刘芳菲	liufangfei
刘苌	liuchang
刘范	liufan
刘菁	liujing
刘蓓	liubei
刘藻	liuzao
刘虞	liuyu
刘蜕	liutui
刘衎	liukan
刘衡	liuheng
刘诗	liushi
刘询	liuxun
刘谌	liuchen
刘豫	liuyu
刘豹	liubao
刘贤	liuxian
刘起	liuqi
刘超	liuchao
刘辩	liubian
刘达	liuda
刘迎	liuying
刘迎建	liuyingjian
刘运生	liuyunsheng
刘道一	liudaoyi
刘鄂	liue
刘銮	liuluan
刘鋹	liuchang
刘鑫	liuxin
刘钧	liujun
刘铨	liuquan
刘铮	liuzheng
刘锋	liufeng
刘锜	liuqi
刘锡	liuxi
刘锡玲	liuxiling
刘锴	liukai
刘长佑	liuzhangyou
刘陶	liutao
刘隆	liulong
刘隐	liuyin
