# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
杨缵绪	yangzuanxu
杨翰	yanghan
杨联升	yangliansheng
杨致和	yangzhihe
杨致远	yangzhiyuan
杨芳灿	yangfangcan
杨虎山	yanghushan
杨讷	yangne
杨谦	yangqian
杨赓笙	yanggengsheng
杨辉	yanghui
杨过	yangguo
杨重远	yangzhongyuan
杨钟羲	yangzhongxi
杨铎	yangduo
杨铨	yangquan
杨锋	yangfeng
杨锡绂	yangxifu
杨锴	yangkai
杨镐	yanggao
杨阳	yangyang
杨险峰	yangxianfeng
杨雅筑	yangyazhu
杨雍建	yangyongjian
杨雪	yangxue
杨霁云	yangjiyun
杨震	yangzhen
杨韵	yangyun
杨颐	yangyi
杨鸣	yangming
杨鸿玺	yanghongxi
杰克伦敦	jiekelundun
杰拉尔德	jielaerde
松下奈绪	songxianaixu
松井玲奈	songjinglingnai
松任谷由实	songrenguyoushi
松坂庆子	songbanqingzi
松尾铃木	songweilingmu
松山健一	songshanjianyi
松山千春	songshanqianchun
松岛菜菜子	songdaocaicaizi
松平健	songpingjian
松年	songnian
松本友	songbenyou
松本大	songbenda
松本明子	songbenmingzi
松本晃彦	songbenhuangyan
松本梨香	songbenlixiang
松本清张	songbenqingzhang
松本零士	songbenlingshi
松浦亚弥	songpuyami
松田翔太	songtianxiangtai
松田龙平	songtianlongping
松重丰	songzhongfeng
松野	songye
松雪	songxue
松雪泰子	songxuetaizi
板垣退助	banyuantuizhu
板野友美	banyeyoumei
林为洲	linweizhou
林之夏	linzhixia
林云铭	linyunming
林伯桐	linbotong
林佩琴	linpeiqin
林佳龙	linjialong
林佶	linji
林侗	lindong
林俊宪	linjunxian
林兆华	linzhaohua
林凤华	linfenghua
林勇	linyong
林原惠美	linyuanhuimei
林君桦	linjunhua
林启桢	linqizhen
林国桢	linguozhen
林圣贤	linshengxian
林圭	lingui
林奴儿	linnuer
林子冲	linzichong
林宗庆	linzongqing
林寿图	linshoutu
林尧英	linyaoying
林尹民	linyinmin
林岫	linxiu
林峰	linfeng
林希逸	linxiyi
林幼春	linyouchun
林广发	linguangfa
林庚白	lingengbai
林建宏	linjianhong
林彦峰	linyanfeng
林彬	linbin
林志杰	linzhijie
林思进	linsijin
林文俊	linwenjun
林文卿	linwenqing
林文察	linwencha
林文英	linwenying
林时	linshi
林明军	linmingjun
林春山	linchunshan
林有麟	linyoulin
林朝华	linchaohua
林朝崧	linchaosong
林朝栋	linchaodong
林枝春	linzhichun
林柏生	linbaisheng
林格	linge
林模	linmo
林永裕	linyongyu
林泉生	linquansheng
林泳	linyong
林湘萍	linxiangping
林瀚	linhan
林熊祥	linxiongxiang
林爽	linshuang
林献堂	linxiantang
林獬	linxie
林珊珊	linshanshan
林琼	linqiong
林申	linshen
林白水	linbaishui
林益世	linyishi
林直勉	linzhimian
林祖密	linzumi
林秀贞	linxiuzhen
林竹	linzhu
林纪	linji
林维源	linweiyuan
林美惠	linmeihui
林美秀	linmeixiu
林育南	linyunan
林育容	linyurong
林育英	linyuying
林艺	linyi
林节	linjie
林英灿	linyingcan
林莉	linli
林蒲封	linpufeng
林蓝	linlan
林蔚	linwei
林虑	linlv
林衡	linheng
林豪	linhao
林进春	linjinchun
林逋	linbu
林野	linye
林针	linzhen
林钧	linjun
林顶立	lindingli
林魁	linkui
林鹤年	linhenian
林黛	lindai
林龙	linlong
枚乘	meicheng
柄本明	bingbenming
柏人	bairen
柏原收史	baiyuanshoushi
柏景伟	baijingwei
柏木由纪	baimuyouji
柏杨	baiyang
柏谦	baiqian
柏辉章	baihuizhang
柏邦妮	baibangni
柔石	roushi
柚木提娜	youmutina
查升	chasheng
查可欣	chakexin
查嗣瑮	chasili
查旭	chaxu
查礼	chali
柯劭忞	keshaomin
柯南	kenan
柯奇士	keqishi
柯岩	keyan
柯平	keping
柯怡	keyi
柯有伦	keyoulun
柯灵	keling
柯琴	keqin
柯立芝	kelizhi
柯罗连科	keluolianke
柯蓝	kelan
柯赐海	kecihai
柯铁	ketie
柳信美	liuxinmei
柳开	liukai
柳敏	liumin
柳比西奇	liubixiqi
柳真	liuzhen
柳贯	liuguan
柳隐	liuyin
柴崎幸	chaiqixing
柴桑	chaisang
柴绍炳	chaishaobing
柴荣	chairong
柴进	chaijin
柴门文	chaimenwen
柴静	chaijing
柿原彻也	shiyuancheye
树木希林	shumuxilin
树里	shuli
栗原小卷	liyuanxiaojuan
栗原惠	liyuanhui
栗山千明	lishanqianming
栗毓美	liyumei
根岸季衣	genanjiyi
根本博	genbenbo
格列奇科	gelieqike
格尔凡德	geerfande
格里森姆	gelisenmu
栾斌	luanbin
栾璞	luanpu
桂太郎	guitailang
桂王	guiwang
桂良	guiliang
桂萼	guie
桂衡	guiheng
桂馥	guifu
桃井晴子	taojingqingzi
桃井望	taojingwang
桃井薰	taojingxun
桃城武	taochengwu
桃香	taoxiang
桐原亮司	tongyuanliangsi
桐谷美玲	tonggumeiling
桑兰	sanglan
桑弧	sanghu
桑德	sangde
桑悦	sangyue
桑戴克	sangdaike
桑门	sangmen
桑雪	sangxue
桓彝	huanyi
桓温	huanwen
桓范	huanfan
桓谭	huantan
桓阶	huanjie
桥口隆志	qiaokoulongzhi
桥本丽香	qiaobenlixiang
桥本昌二	qiaobenchanger
桥本爱	qiaobenai
桥本雄二郎	qiaobenxiongerlang
梁乃鹏	liangnaipeng
梁九图	liangjiutu
梁佳	liangjia
梁储	liangchu
梁兴	liangxing
梁兴初	liangxingchu
梁军	liangjun
梁刚	lianggang
梁华盛	lianghuasheng
梁发芾	liangfafei
梁周翰	liangzhouhan
梁国治	liangguozhi
梁国雄	liangguoxiong
梁天	liangtian
梁宗岱	liangzongdai
梁宰豪	liangzaihao
梁宽	liangkuan
梁寅	liangyin
梁寒操	lianghancao
梁希	liangxi
梁希贤	liangxixian
梁廷楠	liangtingnan
梁思礼	liangsili
梁文博	liangwenbo
梁文斌	liangwenbin
梁文道	liangwendao
梁斌	liangbin
梁枢	liangshu
梁柏台	liangbaitai
梁楷	liangkai
梁永斌	liangyongbin
梁洛施	liangluoshi
梁洪	lianghong
梁淑贞	liangshuzhen
梁溪	liangxi
梁熙	liangxi
梁玉珍	liangyuzhen
梁玉绳	liangyusheng
梁琦	liangqi
梁瑛	liangying
梁璐	lianglu
梁甫	liangfu
梁立柱	lianglizhu
梁章钜	liangzhangju
梁紫	liangzi
梁绍壬	liangshaoren
梁群	liangqun
梁耀汉	liangyaohan
梁芷珊	liangzhishan
梁蔼如	liangairu
梁诚	liangcheng
梁邹	liangzou
梁靖琪	liangjingqi
梁静	liangjing
梁鹤年	lianghenian
梁麟	lianglin
梁鼎芬	liangdingfen
梅启照	meiqizhao
梅哲	meizhe
梅婷	meiting
梅宫安娜	meigonganna
梅巧龄	meiqiaoling
梅希文	meixiwen
梅德	meide
梅成栋	meichengdong
梅洁	meijie
梅清	meiqing
梅瑴成	meijuecheng
梅田彩佳	meitiancaijia
梅益	meiyi
梅英杰	meiyingjie
梅茵	meiyin
梅达沃	meidawo
梅阿查	meiacha
梅雨田	meiyutian
梅鼎祚	meidingzuo
梦麟	menglin
梵隆	fanlong
梶浦由记	weipuyouji
棉棉	mianmian
棋哥	qige
棒球英豪	bangqiuyinghao
森久保祥太郎	senjiubaoxiangtailang
森光子	senguangzi
森山未来	senshanweilai
森本龙太郎	senbenlongtailang
森村诚一	sencunchengyi
森次晃嗣	sencihuangsi
森理世	senlishi
森田美位子	sentianmeiweizi
森田芳光	sentianfangguang
森高千里	sengaoqianli
植村花菜	zhicunhuacai
椎名	chuiming
椎名桔平	chuimingjuping
楚宣王	chuxuanwang
楚简王	chujianwang
楚考烈王	chukaoliewang
楚肃王	chusuwang
楚顷襄王	chuqingxiangwang
楠桂	nangui
楼村	loucun
楼烦	loufan
楼玄	louxuan
榎本	jiaben
榎本武扬	jiabenwuyang
槐里	huaili
槙原敬之	dianyuanjingzhi
樊彬	fanbin
樊志松	fanzhisong
樊能	fanneng
樊钟秀	fanzhongxiu
樗里疾	chuliji
横山由依	hengshanyouyi
横山裕	hengshanyu
横川	hengchuan
樱井幸子	yingjingxingzi
樱井翔	yingjingxiang
樱井莉亚	yingjingliya
樱子	yingzi
樱庭奈奈美	yingtingnainaimei
樱桃子	yingtaozi
橘未稀	juweixi
檀自新	tanzixin
欧普拉	oupula
欧汉声	ouhansheng
欧阳勋	ouyangxun
欧阳婵娟	ouyangchanjuan
欧阳章	ouyangzhang
欧阳贞	ouyangzhen
欧阳钦	ouyangqin
欧阳静茹	ouyangjingru
欧震	ouzhen
止中	zhizhong
步阐	buchan
武乙	wuyi
武云	wuyun
武井咲	wujingxiao
武亿	wuyi
武伯英	wuboying
武兹	wuzi
武内英树	wuneiyingshu
武卫强	wuweiqiang
武原	wuyuan
武后	wuhou
武士敏	wushimin
武子	wuzi
武安国	wuanguo
武帝	wudi
武庭麟	wutinglin
武德	wude
武成	wucheng
武泉	wuquan
武田信玄	wutianxinxuan
武肃王	wusuwang
武藤美幸	wutengmeixing
武衡	wuheng
武训	wuxun
武陵郡	wulingjun
段伯宇	duanboyu
段光清	duanguangqing
段坚	duanjian
段大章	duandazhang
段婷	duanting
段嵘	duanrong
段暄	duanxuan
段珪	duangui
段琦	duanqi
段芝贵	duanzhigui
段誉	duanyu
段随	duansui
段颎	duanjiong
殷兆镛	yinzhaoyong
殷勇	yinyong
殷化行	yinhuaxing
殷善	yinshan
殷奎	yinkui
殷悦	yinyue
殷桃	yintao
殷海洁	yinhaijie
殷纯	yinchun
殷罡	yingang
殷震	yinzhen
比嘉爱未	bijiaaiwei
比干	bigan
毕慧	bihui
毕星海	bixinghai
毕本	biben
毕涵	bihan
毕然	biran
毕熙东	bixidong
毕琛	bichen
毕磊	bilei
毕锐	birui
毗陵	piling
毛利元就	maoliyuanjiu
毛利辉元	maolihuiyuan
毛宁	maoning
毛岱钧	maodaijun
毛志成	maozhicheng
毛怀	maohuai
毛扆	maoyi
毛承基	maochengji
毛晋	maojin
毛森	maosen
毛江森	maojiangsen
毛澄	maocheng
毛玠	maojie
毛瑞斯莫	maoruisimo
毛良	maoliang
毛际可	maojike
毛鸿宾	maohongbin
水原希子	shuiyuanxizi
水岛宏	shuidaohong
水岛裕	shuidaoyu
水户黄门	shuihuhuangmen
水木一郎	shuimuyilang
水木茂	shuimumao
水树奈奈	shuishunainai
水菜丽	shuicaili
水谷丰	shuigufeng
水野	shuiye
水野亚美	shuiyeyamei
水野真纪	shuiyezhenji
水野美纪	shuiyemeiji
永井大	yongjingda
永井豪	yongjinghao
永作博美	yongzuobomei
永山绚斗	yongshanxuandou
永山耕三	yongshangengsan
永忠	yongzhong
永昌郡	yongchangjun
永正	yongzheng
永濑正敏	yonglaizhengmin
永珊	yongshan
永琴	yongqin
永穆	yongmu
永贵	yonggui
汉中郡	hanzhongjun
汉光武帝刘秀	hanguangwudiliuxiu
汉冲帝	hanchongdi
汉娜	hanna
汉安	hanan
汉少帝	hanshaodi
汉文帝刘恒	hanwendiliuheng
汉质帝	hanzhidi
汉高祖刘邦	hangaozuliubang
汝阴	ruyin
江东伟	jiangdongwei
江云龙	jiangyunlong
江以达	jiangyida
江国香织	jiangguoxiangzhi
江大来	jiangdalai
江姐	jiangjie
江孔殷	jiangkongyin
江守彻	jiangshouche
江尊	jiangzun
江总	jiangzong
江恂	jiangxun
江户川乱步	jianghuchuanluanbu
江春炎	jiangchunyan
江春霖	jiangchunlin
江昱	jiangyu
江枫	jiangfeng
江柏	jiangbai
江柏青	jiangbaiqing
江标	jiangbiao
江桂	jianggui
江欣荣	jiangxinrong
江泽熙	jiangzexi
江涛	jiangtao
江淹	jiangyan
江炯	jiangjiong
江玉	jiangyu
江珠	jiangzhu
江珩	jianghang
江盈科	jiangyingke
江秋	jiangqiu
江立	jiangli
江胜	jiangsheng
江腾一	jiangtengyi
江蓉	jiangrong
江采	jiangcai
江铸久	jiangzhujiu
江鸣久	jiangmingjiu
池内博之	chineibozhi
池墨	chimo
池珍熙	chizhenxi
池田理代子	chitianlidaizi
池胁千鹤	chixieqianhe
池莉	chili
汤一介	tangyijie
汤世澍	tangshishu
汤光启	tangguangqi
汤加丽	tangjiali
汤卓光	tangzhuoguang
汤哲	tangzhe
汤圆成	tangyuancheng
汤子敬	tangzijing
汤宾	tangbin
汤尔和	tangerhe
汤川学	tangchuanxue
汤慧	tanghui
汤斌	tangbin
汤汉	tanghan
汤涤	tangdi
汤玮	tangwei
汤苏阳	tangsuyang
汤贻汾	tangyifen
汪一龙	wangyilong
汪云生	wangyunsheng
汪元亨	wangyuanheng
汪光华	wangguanghua
汪初	wangchu
汪后来	wanghoulai
汪喜孙	wangxisun
汪士龙	wangshilong
汪大钧	wangdajun
汪峰	wangfeng
汪庆	wangqing
汪康年	wangkangnian
汪廷珍	wangtingzhen
汪廷讷	wangtingne
汪律本	wanglvben
汪德耀	wangdeyao
汪敬	wangjing
汪文柏	wangwenbai
汪文溥	wangwenpu
汪昂	wangang
汪昉	wangfang
汪昭	wangzhao
汪昱	wangyu
汪晓波	wangxiaobo
汪曙	wangshu
汪机	wangji
汪栋	wangdong
汪棣	wangdi
汪森	wangsen
汪沁	wangqin
汪沆	wanghang
汪波	wangbo
汪洪度	wanghongdu
汪洵	wangxun
汪浩	wanghao
汪涵	wanghan
汪淇	wangqi
汪溶	wangrong
汪灏	wanghao
汪炳文	wangbingwen
汪然	wangran
汪珂玉	wangkeyu
汪琥	wanghu
汪琬	wangwan
汪璐	wanglu
汪由敦	wangyoudun
汪皓	wanghao
汪直	wangzhi
汪端	wangduan
汪答应	wangdaying
汪篯	wangjian
汪继培	wangjipei
汪舸	wangge
汪芬	wangfen
汪辉	wanghui
汪辉祖	wanghuizu
汪近圣	wangjinsheng
汪连	wanglian
汪铎	wangduo
汪震	wangzhen
汪霖	wanglin
汪鸣銮	wangmingluan
汪鸿志	wanghongzhi
汪龙	wanglong
沃丁	woding
沃甲	wojia
沈不负	shenbufu
沈业富	shenyefu
沈中阳	shenzhongyang
沈之问	shenzhiwen
沈伯俊	shenbojun
沈冰	shenbing
沈凌	shenling
沈初	shenchu
沈前	shenqian
沈卫	shenwei
沈发藻	shenfazao
沈史	shenshi
沈右	shenyou
沈周	shenzhou
沈善登	shenshandeng
沈培艺	shenpeiyi
沈大成	shendacheng
沈宏非	shenhongfei
沈宗翰	shenzonghan
沈宗骞	shenzongqian
沈容	shenrong
沈富雄	shenfuxiong
沈寿	shenshou
沈岸登	shenandeng
沈峻	shenjun
沈广	shenguang
沈建宏	shenjianhong
沈彤	shentong
沈彩	shencai
沈心	shenxin
沈性	shenxing
沈恒	shenheng
沈恩孚	shenenfu
沈恺	shenkai
沈惠	shenhui
沈懋德	shenmaode
沈括	shenkuo
沈挺	shenting
沈捷	shenjie
沈文婷	shenwenting
沈时	shenshi
沈昂	shenang
沈昆	shenkun
沈星	shenxing
沈景修	shenjingxiu
沈朝初	shenchaochu
沈比利	shenbili
沈浮	shenfu
沈涵	shenhan
沈淮	shenhuai
沈清瑞	shenqingrui
沈源	shenyuan
沈潜	shenqian
沈潮	shenchao
沈瀚	shenhan
沈炎	shenyan
沈炼	shenlian
沈熙	shenxi
沈玲	shenling
沈琼	shenqiong
沈瑜庆	shenyuqing
沈瑞清	shenruiqing
沈璇	shenxuan
沈璐	shenlu
沈瓒	shenzan
沈畅	shenchang
沈白	shenbai
沈真	shenzhen
沈硕	shenshuo
沈祖德	shenzude
沈立	shenli
沈维鐈	shenweiqiao
沈翼	shenyi
沈肇年	shenzhaonian
沈育	shenyu
沈英	shenying
沈荃	shenquan
沈荣庆	shenrongqing
沈莉	shenli
沈虹	shenhong
沈诚	shencheng
沈辽	shenliao
沈进	shenjin
沈遇	shenyu
沈遴奇	shenlinqi
沈铨	shenquan
沈颢	shenhao
沈鲤	shenli
沈鸿	shenhong
沈鸿烈	shenhonglie
沈鼎	shending
沐琮	mucong
沙我	shawo
沙明	shaming
沙汀	shating
沙羡	shaxian
沙耶	shaye
沙陵	shaling
沙雪	shaxue
沟口健二	goukoujianer
沟端淳平	gouduanchunping
沧月	cangyue
沮渠无讳	juquwuhui
沮渠牧犍	juqumujian
沮渠蒙逊	juqumengxun
河上肇	heshangzhao
河亶甲	hedanjia
河内郡	heneijun
河口恭吾	hekougongwu
河村隆	hecunlong
河村隆一	hecunlongyi
河莉秀	helixiu
河间国	hejianguo
泉谷茂	quangumao
泉陵	quanling
法显	faxian
法桢	fazhen
法正	fazheng
法聚	faju
法良	faliang
法若真	faruozhen
法藏	facang
波佐	bozuo
波多野结衣	boduoyejieyi
波普	bopu
泥阳	niyang
泫氏	xuanshi
泰森	taisen
泷廉太郎	longliantailang
泷田洋二郎	longtianyangerlang
泽口靖子	zekoujingzi
泽尻绘里香	zekaohuilixiang
泽村一树	zecunyishu
泽田研二	zetianyaner
洁尘	jiechen
洛兵	luobing
洛塔尔	luotaer
洛芙	luofu
津川雅彦	jinchuanyayan
洪亮吉	hongliangji
洪仁	hongren
洪兰友	honglanyou
洪声	hongsheng
洪天贵福	hongtianguifu
洪如	hongru
洪建平	hongjianping
洪晃	honghuang
洪智	hongzhi
洪波	hongbo
洪深	hongshen
洪渊	hongyuan
洪行	hongxing
洪迈	hongmai
洪钢	honggang
洼冢洋介	wazhongyangjie
浅田真央	qiantianzhenyang
浅野优子	qianyeyouzi
浅野忠信	qianyezhongxin
浅野温子	qianyewenzi
浅野真澄	qianyezhencheng
济北国	jibeiguo
济北王	jibeiwang
济阴	jiyin
浚仪	junyi
浦大邦	pudabang
浦泽	puze
浦泽直树	puzezhishu
浦远	puyuan
浪兄	langxiong
浪川大辅	langchuandafu
浮克	fuke
浮阳	fuyang
海兰珠	hailanzhu
海升	haisheng
海容天天	hairongtiantian
海怀	haihuai
海清	haiqing
海西公	haixigong
海鸣威	haimingwei
涂凌	tuling
涂瀛	tuying
涂紫凝	tuzining
涅克拉索夫	niekelasuofu
涅阳	nieyang
涿郡	zhuojun
淑仪	shuyi
淑妃	shufei
淑容	shurong
淑惠妃	shuhuifei
淡路	danlu
淮阳王	huaiyangwang
深作欣二	shenzuoxiner
深津绘里	shenjinhuili
深游	shenyou
淳君	chunjun
清太祖努尔哈赤	qingtaizunuerhachi
清文宗	qingwenzong
清春	qingchun
清水崇	qingshuichong
清穆宗	qingmuzong
渡哲也	duzheye
渡濑悠宇	dulaiyouyu
渡边博子	dubianbozi
渡边美奈	dubianmeinai
渡边谦	dubianqian
渡边麻友	dubianmayou
渡部笃郎	dubudulang
渥巴锡	wobaxi
渥美清	womeiqing
温世霖	wenshilin
温子升	wenzisheng
温岚	wenlan
温斯莱特	wensilaite
温汝能	wenruneng
温汝适	wenrushi
温汝遂	wenrusui
温特哈尔特	wentehaerte
温玉成	wenyucheng
温王	wenwang
温雯	wenwen
游弥坚	youmijian
游本嘉	youbenjia
湖衣姬	huyiji
湛若水	zhanruoshui
滕久寿	tengjiushou
滕弘	tenghong
滕矢初	tengshichu
滕胤	tengyin
满宠	manchong
满岛光	mandaoguang
漆侠	qixia
漆琪生	qiqisheng
漆道征	qidaozheng
漠璇	moxuan
潘世恩	panshien
潘举	panju
潘仪君	panyijun
潘伯鹰	panboying
潘允端	panyunduan
潘兴	panxing
潘凤	panfeng
潘和	panhe
潘坤	pankun
潘奕隽	panyijuan
潘婕	panjie
潘媛	panyuan
潘府	panfu
潘德舆	pandeyu
潘恭寿	pangongshou
潘慈康	pancikang
潘振波	panzhenbo
潘昌猷	panchangyou
潘春生	panchunsheng
潘永贵	panyonggui
潘泉	panquan
潘漠子	panmozi
潘濬	panjun
潘燕辉	panyanhui
潘玉良	panyuliang
潘琳	panlin
潘璋	panzhang
潘相	panxiang
潘眉	panmei
潘祖荫	panzuyin
潘菽	panshu
潘虹	panhong
潘西凤	panxifeng
潘遂	pansui
潘遵祁	panzunqi
潘铎	panduo
潘锡恩	panxien
潘锦	panjin
潘隐	panyin
潘飞声	panfeisheng
潘鼎	panding
潘龄皋	panlinggao
濑濑敬久	lailaijingjiu
灞水	bashui
灵帝	lingdi
炎亚纶	yanyalun
烈祖	liezu
焦建成	jiaojiancheng
焦文龙	jiaowenlong
焦波	jiaobo
焦炳	jiaobing
焦立坤	jiaolikun
焦竑	jiaohong
熊严	xiongyan
熊仁荣	xiongrenrong
熊伯齐	xiongboqi
熊伯龙	xiongbolong
熊侣	xionglv
熊勇	xiongyong
熊向晖	xiongxianghui
熊均	xiongjun
熊大木	xiongdamu
熊川	xiongchuan
熊心	xiongxin
熊怡	xiongyi
熊文	xiongwen
熊晖	xionghui
熊景星	xiongjingxing
熊梦祥	xiongmengxiang
熊横	xiongheng
熊珍	xiongzhen
熊琪	xiongqi
熊田曜子	xiongtianyaozi
熊秉坤	xiongbingkun
熊笑三	xiongxiaosan
熊绎	xiongyi
熊艳	xiongyan
熊超	xiongchao
熊过	xiongguo
熊迪	xiongdi
熊通	xiongtong
熊锐	xiongrui
熊霜	xiongshuang
熙宗	xizong
熙平	xiping
燕子李三	yanzilisan
燕青	yanqing
爰书	yuanshu
爱彩	aicai
爱梨	aili
爱玲	ailing
爱田由	aitianyou
爱野美奈子	aiyemeinaizi
牂牁郡	zangkejun
片冈鹤太郎	pianganghetailang
片山阳加	pianshanyangjia
牛田洋	niutianyang
牛皋	niugao
牛莉	niuli
牛运震	niuyunzhen
牛鉴	niujian
牛青峰	niuqingfeng
牧守	mushou
牧正	muzheng
牧野杉菜	muyeshancai
牧野由依	muyeyouyi
特伟	tewei
特勒骠	teleibiao
特拉梅尔	telameier
狄膺	diying
狄道	didao
狄青	diqing
狄龙	dilong
猫街	maojie
献文帝	xianwendi
玄彬	xuanbin
玄德	xuande
玄烨	xuanye
玉恒	yuheng
玉木宏	yumuhong
玉贵人	yuguiren
王一宁	wangyining
王一峰	wangyifeng
王一鹏	wangyipeng
王万顺	wangwanshun
王与	wangyu
王世发	wangshifa
王世宇	wangshiyu
王世德	wangshide
王世懋	wangshimao
王世永	wangshiyong
王世琛	wangshichen
王世相	wangshixiang
王世芬	wangshifen
王世茂	wangshimao
王世雄	wangshixiong
王丙	wangbing
王业	wangye
王东亮	wangdongliang
王中阳	wangzhongyang
王丹	wangdan
王丽达	wanglida
王乃征	wangnaizheng
王之佐	wangzhizuo
王之政	wangzhizheng
王买	wangmai
王亚彬	wangyabin
王亚楠	wangyanan
王亚樵	wangyaqiao
王亚欧	wangyaou
王亦民	wangyimin
王仁堪	wangrenkan
王仁龙	wangrenlong
王仲元	wangzhongyuan
王仲铭	wangzhongming
王任叔	wangrenshu
王伉	wangkang
王会汾	wanghuifen
王伟	wangwei
王伯臣	wangbochen
王佑	wangyou
王作华	wangzuohua
王作楫	wangzuoji
王佩兰	wangpeilan
王佳一	wangjiayi
王佳宇	wangjiayu
王修	wangxiu
王偁	wangcheng
王允	wangyun
王允恭	wangyungong
王元	wangyuan
王元亮	wangyuanliang
王元勋	wangyuanxun
王元启	wangyuanqi
王元淑	wangyuanshu
王兆相	wangzhaoxiang
王兆祥	wangzhaoxiang
王克俭	wangkejian
王六生	wangliusheng
王兴家	wangxingjia
王兴尧	wangxingyao
王兵	wangbing
王冈	wanggang
王冉	wangran
王冕	wangmian
王军军	wangjunjun
王冠军	wangguanjun
王凡夫	wangfanfu
王凤仪	wangfengyi
王凤娴	wangfengxian
王凤山	wangfengshan
王凤岗	wangfenggang
王凤梧	wangfengwu
王凤翔	wangfengxiang
王凯泰	wangkaitai
王则	wangze
王刚	wanggang
王初桐	wangchutong
王剑岳	wangjianyue
王力	wangli
王劲修	wangjinxiu
王劼	wangjie
王勇峰	wangyongfeng
王勋	wangxun
王匡	wangkuang
王华生	wanghuasheng
王博	wangbo
王又曾	wangyouceng
王友亮	wangyouliang
王友石	wangyoushi
王双	wangshuang
王吉武	wangjiwu
王同愈	wangtongyu
王同辉	wangtonghui
王向明	wangxiangming
王含	wanghan
王启	wangqi
王和顺	wangheshun
王啸坤	wangxiaokun
王嗣奭	wangsishi
王嘉福	wangjiafu
王嘉良	wangjialiang
王国刚	wangguogang
王国安	wangguoan
王国宾	wangguobin
王国敏	wangguomin
王国斌	wangguobin
王坚	wangjian
王垠	wangyin
王域	wangyu
王基	wangji
王士元	wangshiyuan
王士禄	wangshilu
王士雄	wangshixiong
王士雯	wangshiwen
王复	wangfu
王复元	wangfuyuan
王大伟	wangdawei
王太岳	wangtaiyue
王奇	wangqi
王妍	wangyan
王姝	wangshu
王姬	wangji
王姮	wangheng
王威	wangwei
王婧	wangjing
王嫱	wangqiang
王子鸣	wangziming
王子鹏	wangzipeng
王学兵	wangxuebing
王学浩	wangxuehao
王孺童	wangrutong
王宁	wangning
王守恂	wangshouxun
王守才	wangshoucai
王宏亮	wanghongliang
王宏坤	wanghongkun
王宏撰	wanghongzhuan
王宏祚	wanghongzuo
王宗山	wangzongshan
王宗炎	wangzongyan
王定	wangding
王定安	wangdingan
王宜胜	wangyisheng
王宝仁	wangbaoren
王宠	wangchong
王家楫	wangjiaji
王寂	wangji
王寿年	wangshounian
王封	wangfeng
王小列	wangxiaolie
王小星	wangxiaoxing
王少磊	wangshaolei
王尔琢	wangerzuo
王尧	wangyao
王履	wanglv
王履端	wanglvduan
王岩	wangyan
王岱	wangdai
王岳	wangyue
王岷	wangmin
王峻	wangjun
王崇德	wangchongde
王嵎生	wangyusheng
王川	wangchuan
王左	wangzuo
王巩	wanggong
王希廉	wangxilian
王广心	wangguangxin
王庆云	wangqingyun
王庆麟	wangqinglin
王应华	wangyinghua
王康弘	wangkanghong
王延钧	wangyanjun
王廷魁	wangtingkui
王建	wangjian
王建宏	wangjianhong
王建忠	wangjianzhong
王建章	wangjianzhang
王式丹	wangshidan
王弥	wangmi
王弼	wangbi
王彤	wangtong
王彰	wangzhang
王征	wangzheng
王得臣	wangdechen
王德标	wangdebiao
王德瑛	wangdeying
王徽	wanghui
王心一	wangxinyi
王心凌	wangxinling
王心刚	wangxingang
王必	wangbi
王忠	wangzhong
王忠诚	wangzhongcheng
王念祖	wangnianzu
王思任	wangsiren
王思思	wangsisi
王思懿	wangsiyi
王怡	wangyi
王恕	wangshu
王恽	wangyun
王愫	wangsu
王慧	wanghui
王懋功	wangmaogong
王懿德	wangyide
王戎	wangrong
王成家	wangchengjia
王承烈	wangchenglie
王拯	wangzheng
王持	wangchi
王振辉	wangzhenhui
王掞	wangshan
王敏	wangmin
王敏刚	wangmingang
王敏川	wangminchuan
王敏生	wangminsheng
王敏超	wangminchao
王敬铭	wangjingming
王文思	wangwensi
王文洁	wangwenjie
王文琳	wangwenlin
王文禄	wangwenlu
王文雄	wangwenxiong
王方	wangfang
王方正	wangfangzheng
王旭	wangxu
王旭烽	wangxufeng
王昌	wangchang
王昱婷	wangyuting
王昶	wangchang
王晋	wangjin
王晓倩	wangxiaoqian
王晓华	wangxiaohua
王晓鲁	wangxiaolu
王晔	wangye
王景和	wangjinghe
王晶	wangjing
王智	wangzhi
王智新	wangzhixin
王曦	wangxi
王有仁	wangyouren
王朔	wangshuo
王朗	wanglang
王杰	wangjie
王柏心	wangbaixin
王栋	wangdong
王树谷	wangshugu
王桂元	wangguiyuan
王梓	wangzi
王梦兰	wangmenglan
王植	wangzhi
王楷	wangkai
王概	wanggai
王樵	wangqiao
王檄	wangxi
王欣	wangxin
王欣如	wangxinru
王正敏	wangzhengmin
王步青	wangbuqing
王毅	wangyi
王毓曾	wangyuceng
王毓麟	wangyulin
王永旭	wangyongxu
王永积	wangyongji
王汝璧	wangrubi
王沅	wangyuan
王沈	wangshen
王泮	wangpan
王泰林	wangtailin
王洛	wangluo
