# 泰深输入法专业词库 — 财经金融
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一德	yide
北旅	beilv
北海银行	beihaiyinhang
北海集团	beihaijituan
北满特钢	beimantegang
北玻股份	beibogufen
北矿	beikuang
北辰实业	beichenshiye
北陆药业	beiluyaoye
区域型	quyuxing
半年期	bannianqi
华丰集团	huafengjituan
华仁药业	huarenyaoye
华力创通	hualichuangtong
华北制药	huabeizhiyao
华北银行	huabeiyinhang
华升股份	huashenggufen
华商产业	huashangchanye
华商银行	huashangyinhang
华塑	huasu
华夏通	huaxiatong
华天酒店	huatianjiudian
华孚色纺	huafusefang
华安宏利	huaanhongli
华安宝利	huaanbaoli
华安富利	huaanfuli
华昌化工	huachanghuagong
华昌达	huachangda
华海药业	huahaiyaoye
华润置地	huarunzhidi
华润锦华	huarunjinhua
华盛达	huashengda
华神集团	huashenjituan
华联综超	hualianzongchao
华芳纺织	huafangfangzhi
华菱钢铁	hualinggangtie
华融资产管理公司	huarongzichanguanligongsi
华讯	huaxun
华资实业	huazishiye
华远地产	huayuandichan
华银电力	huayindianli
华阳科技	huayangkeji
华陶	huatao
华靖	huajing
华鼎	huading
华鼎锦纶	huadingjinlun
华龙集团	hualongjituan
协会章程	xiehuizhangcheng
卓尔发展	zhuoerfazhan
卓悦控股	zhuoyuekonggu
卓越理财	zhuoyuelicai
单币	danbi
单币卡	danbika
卖空者	maikongzhe
卖超	maichao
南京新港	nanjingxingang
南京新百	nanjingxinbai
南京银行	nanjingyinhang
南化	nanhua
南华期货	nanhuaqihuo
南华集团	nanhuajituan
南博网	nanbowang
南国置业	nanguozhiye
南天信息	nantianxinxi
南山铝业	nanshanlvye
南开戈德	nankaigede
南控	nankong
南方公司	nanfanggongsi
南方航空	nanfanghangkong
南油物业	nanyouwuye
南玻集团	nanbojituan
南百	nanbai
南网	nanwang
南证	nanzheng
南通科技	nantongkeji
南顺	nanshun
博信	boxin
博耳电力	boerdianli
博软	boruan
博通	botong
卡中心	kazhongxin
卡包	kabao
卡夫食品	kafushipin
卡样	kayang
卡种	kazhong
卧龙地产	wolongdichan
厦工股份	shagonggufen
厦门厦工	xiamenshagong
厦门国贸	xiamenguomao
厦门国际银行	xiamenguojiyinhang
厦门路桥	xiamenluqiao
厦门钨业	xiamenwuye
参保率	canbaolv
友达光电	youdaguangdian
友邦华泰	youbanghuatai
友阿股份	youagufen
双币	shuangbi
双币卡	shuangbika
双平	shuangping
双底	shuangdi
双箭股份	shuangjiangufen
双账户	shuangzhanghu
双赔	shuangpei
反馈单	fankuidan
发卡银行	faqiayinhang
发展战略	fazhanzhanlve
发展规划	fazhanguihua
发票管理办法	fapiaoguanlibanfa
发票领购本	fapiaolinggouben
发票领购簿	fapiaolinggoubu
发行方案	faxingfangan
受关注	shouguanzhu
受损者	shousunzhe
受理人	shouliren
口令卡	koulingka
古汉集团	guhanjituan
古越龙山	guyuelongshan
台积电	taijidian
合作协议	hezuoxieyi
合兴集团	hexingjituan
合富辉煌	hefuhuihuang
合并资产负债表	hebingzichanfuzhaibiao
合肥三洋	hefeisanyang
合肥百货	hefeibaihuo
合臣	hechen
吉利汽车	jiliqiche
吉峰农机	jifengnongji
吉恩镍业	jiennieye
吉林化工	jilinhuagong
吉林化纤	jilinhuaxian
吉林森工	jilinsengong
吉林炭素	jilintansu
吉纸	jizhi
吉诺尔	jinuoer
同洲电子	tongzhoudianzi
同济堂	tongjitang
启明信息	qimingxinxi
员工持股计划	yuangongchigujihua
和而泰	heertai
咨询公司	zixungongsi
咨询报告	zixunbaogao
哈动力	hadongli
哈慈	haci
哈投股份	hatougufen
哈特佛	hatefu
哈药股份	hayaogufen
哈里伯顿	halibodun
哈飞航空	hafeihangkong
哈高科	hagaoke
唐山港	tangshangang
唐陶	tangtao
售尽	shoujin
售汇	shouhui
商业周刊	shangyezhoukan
商业银行法	shangyeyinhangfa
商务周刊	shangwuzhoukan
商品市场	shangpinshichang
商品期货	shangpinqihuo
商界评论	shangjiepinglun
商网	shangwang
商通卡	shangtongka
嘉实	jiashi
嘉实恒生	jiashihengsheng
嘉瑞	jiarui
四创	sichuang
四川圣达	sichuanshengda
四川湖山	sichuanhushan
四川电器	sichuandianqi
四川经济日报	sichuanjingjiribao
四方达	sifangda
四洲集团	sizhoujituan
四维图新	siweituxin
回天胶业	huitianjiaoye
回次	huici
团办	tuanban
固额	gue
国信证券	guoxinzhengquan
国富强债	guofuqiangzhai
国投瑞银	guotouruiyin
国星光电	guoxingguangdian
国民银行	guominyinhang
国泰上证	guotaishangzheng
国泰双利	guotaishuangli
国泰纳指	guotainazhi
国泰进取	guotaijinqu
国泰金牛	guotaijinniu
国泰金马	guotaijinma
国泰金鹏	guotaijinpeng
国泰金鹰	guotaijinying
国泰金鹿	guotaijinlu
国泰金鼎	guotaijinding
国泰金龙	guotaijinlong
国海富兰克林	guohaifulankelin
国瓷	guoci
国电南瑞	guodiannanrui
国电南自	guodiannanzi
国研网	guoyanwang
国祥	guoxiang
国统股份	guotonggufen
国网	guowang
国美电器	guomeidianqi
国联信托	guolianxintuo
国联安双禧	guoliananshuangxi
国通	guotong
国阳新能	guoyangxinneng
国际上	guojishang
国际商务	guojishangwu
国际商报	guojishangbao
国际大厦	guojidasha
国际结算	guojijiesuan
国际融资	guojirongzi
国际视野	guojishiye
国际金融市场	guojijinrongshichang
国际银行	guojiyinhang
圣莱达	shenglaida
圣阳股份	shengyanggufen
在线咨询	zaixianzixun
地量	diliang
坏账率	huaizhanglv
城投	chengtou
城投控股	chengtoukonggu
基金合同	jijinhetong
基金委员会	jijinweiyuanhui
塑料钞	suliaochao
增值税普通发票	zengzhishuiputongfapiao
增资额	zengzie
士兰微	shilanwei
壹传媒	yichuanmei
备付金	beifujin
备用费	beiyongfei
复旦复华	fudanfuhua
夏新	xiaxin
外国投资法	waiguotouzifa
外国直接投资	waiguozhijietouzi
外国银行	waiguoyinhang
