# 泰深输入法专业词库 — meteorology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
平流层	pingliuceng
海軍乙事件	haijunyishijian
地球能量收支	diqiunengliangshouzhi
高氣壓	gaoqiya
波楼	bolou
缺氧事件	queyangshijian
相當溫度	xiangdangwendu
對流可用位能	duiliukeyongweineng
酷热指数	kurezhishu
云	yun
蒸氣壓	zhengqiya
資源回收	ziyuanhuishou
太陽路徑	taiyanglujing
西南季風	xinanjifeng
微下擊暴流	weixiajibaoliu
火烧云	huoshaoyun
空间科学	kongjiankexue
鳳梨特快車	fenglitekuaiche
颱風密瑞兒	taifengmiruier
海面温度	haimianwendu
薄霧	baowu
高山苔原	gaoshantaiyuan
天气尺度	tianqichidu
個人氣象站	gerenqixiangzhan
藍菌門	lanjunmen
天氣瓶	tianqiping
秋老虎	qiulaohu
熱壓力指數	reyalizhishu
成层状高积云	chengcengzhuanggaojiyun
气旋	qixuan
最大持续风速	zuidachixufengsu
烟道气	yandaoqi
旋衡风	xuanhengfeng
霧季	wuji
湍流层顶	tuanliucengding
聖嬰現象	shengyingxianxiang
碘化银	dianhuayin
露点	ludian
切變線	qiebianxian
天氣諺語	tianqiyanyu
云滴有效半径	yundiyouxiaobanjing
风玫瑰图	fengmeiguitu
台风俱乐部	taifengjulebu
低排放區	dipaifangqu
热带季风气候	redaijifengqihou
大氣結冰	daqijiebing
化学需氧量	huaxuexuyangliang
颱風瓊安	taifengqiongan
环境化学	huanjinghuaxue
重力波	zhonglibo
雷擊傷	leijishang
大氣光學	daqiguangxue
乾線	qianxian
季节性抑郁症	jijiexingyiyuzheng
对流层	duiliuceng
颱風瑪娃	taifengmawa
藥物污染	yaowuwuran
航空氣象資料	hangkongqixiangziliao
垃圾焚烧	lajifenshao
农用化学品	nongyonghuaxuepin
雪飑	xuebiao
高熱	gaore
黑冰	heibing
布羅肯奇景	buluokenqijing
梅雨	meiyu
气象雷达	qixiangleida
风速计	fengsuji
颱風委員會	taifengweiyuanhui
臭氧层	chouyangceng
卷积云	juanjiyun
罗斯贝数	luosibeishu
乳状云	ruzhuangyun
秃积雨云	tujiyuyun
低层大气	dicengdaqi
熱平衡	repingheng
大湖效應	dahuxiaoying
电分析法	dianfenxifa
杭州气候	hangzhouqihou
秦滅魏之戰	qinmieweizhizhan
颱風納爾遜	taifengnaerxun
上升气流	shangshengqiliu
滚轴状层积云	gunzhouzhuangcengjiyun
新地島效應	xindidaoxiaoying
史蒂夫	shidifu
體感預報	tiganyubao
颶風大衛	jufengdawei
天气预报	tianqiyubao
鬃积雨云	zongjiyuyun
氟烷	fuwan
祈雨	qiyu
水情预警信号	shuiqingyujingxinhao
卡塔通博闪电	katatongboshandian
辐辏状云	fucouzhuangyun
雙核低氣壓	shuanghediqiya
蒸發散	zhengfasan
凌汛	lingxun
七月流火	qiyueliuhuo
水天現象	shuitianxianxiang
暴露評估	baolupinggu
荚状高积云	jiazhuanggaojiyun
江淮氣旋	jianghuaiqixuan
泡點	paodian
应用气象学	yingyongqixiangxue
風季	fengji
滚轴状高积云	gunzhouzhuanggaojiyun
綠閃光	lvshanguang
子午工程	ziwugongcheng
都卜勒雷達	douboleileida
高速氣流	gaosuqiliu
经验温标	jingyanwenbiao
泰國氣象局	taiguoqixiangju
下降風	xiajiangfeng
卡門線	kamenxian
阵风卷	zhenfengjuan
地外漩渦	diwaixuanwo
陸龍捲	lulongjuan
風寒指數	fenghanzhishu
中积云	zhongjiyun
科里奥利力	keliaolili
极地东风带	jididongfengdai
爆發性旋生	baofaxingxuansheng
無形颮	wuxingbiao
多诺拉事件	duonuolashijian
陈德亮	chendeliang
高山輝	gaoshanhui
海洋熱浪	haiyangrelang
虛擬地球	xunidiqiu
新加坡氣象局	xinjiapoqixiangju
对流雨	duiliuyu
反气旋	fanqixuan
斜溫圖	xiewentu
低气压	diqiya
亮度溫度	liangduwendu
輻射強迫	fusheqiangpo
盘古大模型	pangudamoxing
對流過沖	duiliuguochong
陰天	yintian
切断低压	qieduandiya
蘭金溫標	lanjinwenbiao
颱風凱倫	taifengkailun
室內空氣品質	shineikongqipinzhi
熱暴流	rebaoliu
颶風弗洛伊德	jufengfuluoyide
大白斑	dabaiban
光柱	guangzhu
颱風奧菲莉	taifengaofeili
电离层	dianliceng
驟雨	zhouyu
濟南號空難	jinanhaokongnan
大氣潮	daqichao
特內里費空難	teneilifeikongnan
通风井	tongfengjing
颱風安珀	taifenganpo
雷殛	leiji
马斯河谷事件	masihegushijian
相當位溫	xiangdangweiwen
極風	jifeng
降水量	jiangshuiliang
十一月的魔女	shiyiyuedemonv
極端天氣	jiduantianqi
雨量计	yuliangji
冷却定律	lengquedinglv
颱風布賴恩	taifengbulaien
鞍型場	anxingchang
草露寶光	caolubaoguang
国家气象中心	guojiaqixiangzhongxin
冰雾	bingwu
北美高壓	beimeigaoya
國家颶風中心	guojiajufengzhongxin
亞熱帶氣旋	yaredaiqixuan
皇冠閃光	huangguanshanguang
日本海側氣候	ribenhaiceqihou
測濕學	ceshixue
下擊暴流	xiajibaoliu
外滩信号台	waitanxinhaotai
上海市气象局	shanghaishiqixiangju
压强	yaqiang
颱風盧碧	taifenglubi
反照率	fanzhaolv
西風帶	xifengdai
生物放大作用	shengwufangdazuoyong
晴天	qingtian
汽車排放標準	qichepaifangbiaozhun
盛行风	shengxingfeng
大氣環流	daqihuanliu
西北季風	xibeijifeng
平衡流	pinghengliu
豌豆汤雾	wandoutangwu
氣象海嘯	qixianghaixiao
干旱	ganhan
季节性滞后	jijiexingzhihou
自由流	ziyouliu
日照時數	rizhaoshishu
雨幡	yufan
馬德堡半球	madebaobanqiu
天氣圖	tianqitu
盐尘暴	yanchenbao
太陽輻射	taiyangfushe
中尺度氣象學	zhongchiduqixiangxue
大暗斑	daanban
雪面波纹	xuemianbowen
颱風伊文	taifengyiwen
季風亞洲	jifengyazhou
氣旋安娜托爾	qixuanannatuoer
波义耳温度	boyierwendu
季风	jifeng
霰	xian
風向袋	fengxiangdai
热浪	relang
大紅斑	dahongban
堡状卷云	baozhuangjuanyun
梯度风	tidufeng
熱帶風暴苗柏	redaifengbaomiaobai
奈尔温度	naierwendu
氣象新聞公司	qixiangxinwengongsi
国家气候中心	guojiaqihouzhongxin
蘑菇雲	moguyun
亚里士多德	yalishiduode
亞歷山大帶	yalishandadai
小暗斑	xiaoanban
體感溫度	tiganwendu
雲量	yunliang
氣棚	qipeng
拉普兰登	lapulandeng
云物理学	yunwulixue
积雨云	jiyuyun
大氣熱力學	daqirelixue
地影	diying
薄幕层云	baomucengyun
国际标准大气	guojibiaozhundaqi
霜	shuang
動物從天而降	dongwucongtianerjiang
熱帶氣旋	redaiqixuan
蔽光云	biguangyun
法国气象局	faguoqixiangju
對流抑制能	duiliuyizhineng
颱風艾貝	taifengaibei
最大风速半径	zuidafengsubanjing
城市氣候	chengshiqihou
冻雨	dongyu
印度气象局	yinduqixiangju
白曚天	baimengtian
阿富汗气象局	afuhanqixiangju
水分解	shuifenjie
磁层	ciceng
惯性风	guanxingfeng
绿岛效应	lvdaoxiaoying
位势高度	weishigaodu
意大利面图	yidalimiantu
溫標	wenbiao
空天飞机	kongtianfeiji
共伴效應	gongbanxiaoying
氯氟烃	lvfuting
航空航天	hangkonghangtian
气象水文局	qixiangshuiwenju
风向标	fengxiangbiao
潮土油	chaotuyou
人體溫度	rentiwendu
中國霧霾事件	zhongguowumaishijian
太陽輻照度	taiyangfuzhaodu
颱風巴特	taifengbate
冰暴	bingbao
通用数据格式	tongyongshujugeshi
球状闪电	qiuzhuangshandian
东亚季风	dongyajifeng
艾克納函數	aikenahanshu
庫爾特氣象站	kuerteqixiangzhan
乱卷云	luanjuanyun
氣象大學校	qixiangdaxuexiao
水蒸气	shuizhengqi
氣象局	qixiangju
自由對流高度	ziyouduiliugaodu
地表逕流	dibiaojingliu
刺狀急流	cizhuangjiliu
国际气象节	guojiqixiangjie
背风波	beifengbo
複雜蜃景	fuzashenjing
气象导航	qixiangdaohang
生長季	shengzhangji
颱風眼鏡蛇	taifengyanjingshe
降水类型	jiangshuileixing
堡状卷积云	baozhuangjuanjiyun
等雨線	dengyuxian
世界气象组织	shijieqixiangzuzhi
