# 泰深输入法专业词库 — 地名
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
三合山	sanheshan
三合庄	sanhezhuang
三合庄园	sanhezhuangyuan
三合店	sanhedian
三合村委会	sanhecunweihui
三合村村委会	sanhecuncunweihui
三合街	sanhejie
三吴	sanwu
三吴村	sanwucun
三和	sanhe
三和学院	sanhexueyuan
三和小区	sanhexiaoqu
三和开发区	sanhekaifaqu
三善桥	sanshanqiao
三嘉乡	sanjiaxiang
三围村	sanweicun
三圣	sansheng
三圣寺	sanshengsi
三圣庙	sanshengmiao
三圣祠街	sanshengcijie
三圣街	sanshengjie
三坑	sankeng
三坑村	sankengcun
三块田	sankuaitian
三坝纳西族乡	sanbanaxizuxiang
三坨	santuo
三坪	sanping
三坪农场	sanpingnongchang
三垟	sanyang
三埠	sanbu
三埠街道办事处	sanbujiedaobanshichu
三堡公寓	sanbaogongyu
三堡社区	sanbaoshequ
三堤口街道	sandikoujiedao
三塔寺	santasi
三塘公寓	santanggongyu
三塘兰园	santanglanyuan
三塘南村	santangnancun
三塘小区	santangxiaoqu
三塘桂园	santangguiyuan
三塘樱园	santangyingyuan
三塘汶苑	santangwenyuan
三塘竹苑	santangzhuyuan
三墩	sandun
三墩村	sanduncun
三墩镇政府	sandunzhenzhengfu
三多桥	sanduoqiao
三多路	sanduolu
三大队	sandadui
三天竺	santianzhu
三天门	santianmen
三天门村	santianmencun
三好街	sanhaojie
三姓街	sanxingjie
三娘湾	sanniangwan
三孔	sankong
三孔桥	sankongqiao
三官堂街	sanguantangjie
三官塘	sanguantang
三官庙村	sanguanmiaocun
三官庙村委会	sanguanmiaocunweihui
三官村	sanguancun
三官殿	sanguandian
三官洞林区	sanguandonglinqu
三宫回族乡	sangonghuizuxiang
三宫殿	sangongdian
三家庄	sanjiazhuang
三家店后街	sanjiadianhoujie
三家店火车站	sanjiadianhuochezhan
三家店街道	sanjiadianjiedao
三家馆乡	sanjiaguanxiang
三将军	sanjiangjun
三屯碑	santunbei
三山园社区	sanshanyuanshequ
三山岛	sanshandao
三山新新家园	sanshanxinxinjiayuan
三山村	sanshancun
三山矶	sanshanji
三山街	sanshanjie
三山门	sanshanmen
三山陵园	sanshanlingyuan
三岔子	sanchazi
三岔沟	sanchagou
三岔河南站	sanchahenanzhan
三岔港	sanchagang
三岭	sanling
三岭村	sanlingcun
三岸	sanan
三峡人才市场	sanxiarencaishichang
三峡农行	sanxianonghang
三峡医院	sanxiayiyuan
三峡卷烟厂	sanxiajuanyanchang
三峡坝区	sanxiabaqu
三峡大学	sanxiadaxue
三峡宾馆	sanxiabinguan
三峡广场	sanxiaguangchang
三峡镇	sanxiazhen
三工街道	sangongjiedao
三市	sanshi
三市立交桥	sanshilijiaoqiao
三平镇街道	sanpingzhenjiedao
三广村	sanguangcun
三庙	sanmiao
三庙乡	sanmiaoxiang
三府湾	sanfuwan
三府湾西口	sanfuwanxikou
三座坟	sanzuofen
三座桥	sanzuoqiao
三座桥胡同	sanzuoqiaohutong
三廊庙	sanlangmiao
三建中学	sanjianzhongxue
三建学校	sanjianxuexiao
三弄乡	sannongxiang
三弄瑶族乡	sannongyaozuxiang
三张镇	sanzhangzhen
三德大酒店	sandedajiudian
三思乡	sansixiang
三成局村	sanchengjucun
三支队	sanzhidui
三教堂	sanjiaotang
三新	sanxin
三新村	sanxincun
三新路	sanxinlu
三星大厦	sanxingdasha
三星庄	sanxingzhuang
三星庄南口	sanxingzhuangnankou
三星庄村	sanxingzhuangcun
三星桥	sanxingqiao
三星酒店	sanxingjiudian
三望坡	sanwangpo
三木小区	sanmuxiaoqu
三朱	sanzhu
三朱村	sanzhucun
三村村	sancuncun
三条墩	santiaodun
三条巷	santiaoxiang
三条石大街	santiaoshidajie
三条营	santiaoying
三板小学	sanbanxiaoxue
三板市场	sanbanshichang
三板桥	sanbanqiao
三林	sanlin
三林中学	sanlinzhongxue
三林城	sanlincheng
三林塘	sanlintang
三林村	sanlincun
三栋屋	sandongwu
三栋楼	sandonglou
三桂	sangui
三桂村	sanguicun
三桥东	sanqiaodong
三桥交易市场	sanqiaojiaoyishichang
三桥农贸市场	sanqiaonongmaoshichang
三桥南岸	sanqiaonanan
三梅	sanmei
三梅村	sanmeicun
三森国际家居	sansenguojijiaju
三森建材城	sansenjiancaicheng
三槐堂	sanhuaitang
三欧	sanou
三欧村	sanoucun
三步两桥	sanbuliangqiao
三殿村	sandiancun
三民村	sanmincun
三民街	sanminjie
三水厂	sanshuichang
三水湾小区	sanshuiwanxiaoqu
