# 泰深输入法专业词库 — 成语
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
奔腾澎湃	bentengpengpai
好学深思	haoxueshensi
如临深渊如履薄冰	rulinshenyuanrulvbobing
如人饮水冷暖自知	rurenyinshuilengnuanzizhi
如椽之笔	ruchuanzhibi
如烹小鲜	rupengxiaoxian
姜是老的辣	jiangshilaodela
威武不能屈	weiwubunengqu
嫁鸡随鸡嫁狗随狗	jiajisuijijiagousuigou
嬉笑怒骂皆成文章	xixiaonumajiechengwenzhang
孜孜矻矻	zizikuku
孟母择邻	mengmuzelin
学而时习之	xueershixizhi
宁为玉碎不为瓦全	ningweiyusuibuweiwaquan
它山之石可以攻玉	tashanzhishikeyigongyu
宏图大略	hongtudalve
家书抵万金	jiashudiwanjin
家人父子	jiarenfuzi
家有儿女	jiayouernv
富贵吉祥	fuguijixiang
对症用药	duizhengyongyao
封疆大吏	fengjiangdali
将熊熊一窝	jiangxiongxiongyiwo
少年夫妻老来伴	shaonianfuqilaolaiban
尔俸尔禄	erfengerlu
尽信书不如无书	jinxinshuburuwushu
山乡巨变	shanxiangjubian
岁寒知松柏	suihanzhisongbai
岁岁平安	suisuipingan
差之毫厘谬以千里	chazhihaolimiuyiqianli
己所不欲勿施于人	jisuobuyuwushiyuren
干打雷不下雨	gandaleibuxiayu
平时不烧香	pingshibushaoxiang
年逾不惑	nianyubuhuo
广征博引	guangzhengboyin
广袤无垠	guangmaowuyin
开弓没有回头箭	kaigongmeiyouhuitoujian
当替罪羊	dangtizuiyang
当面锣对面鼓	dangmianluoduimiangu
形只影单	xingzhiyingdan
徘徊观望	paihuaiguanwang
心动不如行动	xindongburuxingdong
心心相通	xinxinxiangtong
心急吃不了热豆腐	xinjichibuliaoredoufu
念念不舍	niannianbushe
怀忧丧志	huaiyousangzhi
怒火攻心	nuhuogongxin
恩威并重	enweibingzhong
患难相恤	huannanxiangxu
惊疑不定	jingyibuding
惊诧莫名	jingchamoming
惊魂不定	jinghunbuding
愁眉紧锁	choumeijinsuo
慌张失措	huangzhangshicuo
慢声细语	manshengxiyu
成也萧何败也萧何	chengyexiaohebaiyexiaohe
成事不足败事有余	chengshibuzubaishiyouyu
成由勤俭败由奢	chengyouqinjianbaiyoushe
成败在此一举	chengbaizaiciyiju
成败萧何	chengbaixiaohe
所答非所问	suodafeisuowen
扇枕温衾	shanzhenwenqin
手无缚鸡之力	shouwufujizhili
才情横溢	caiqinghengyi
打个照面	dagezhaomian
打入另册	darulingce
打铁先得自身硬	datiexiandezishenying
扶摇而上	fuyaoershang
投机钻营	toujizuanying
拍板定案	paibandingan
拒人千里之外	jurenqianlizhiwai
拔出萝卜带出泥	bachuluobodaichuni
拣了芝麻丢了西瓜	jianlezhimadiulexigua
择其善者而从之	zeqishanzheercongzhi
挂免战牌	guamianzhanpai
挈妇将雏	qiefujiangchu
挨打受气	aidashouqi
捉刀代笔	zhuodaodaibi
掰开揉碎	baikairousui
攻其一点不及其余	gongqiyidianbujiqiyu
放下屠刀立地成佛	fangxiatudaolidichengfo
救急不救穷	jiujibujiuqiong
斩关夺隘	zhanguanduoai
无可估量	wukeguliang
无可匹敌	wukepidi
无所不晓	wusuobuxiao
无所措手足	wusuocuoshouzu
无源之水无本之木	wuyuanzhishuiwubenzhimu
无立足之地	wulizuzhidi
既来之则安之	jilaizhizeanzhi
日久弥新	rijiumixin
日出而作日入而息	richuerzuoriruerxi
日思夜盼	risiyepan
旧瓶装新酒	jiupingzhuangxinjiu
早知今日何必当初	zaozhijinrihebidangchu
明修栈道暗度陈仓	mingxiuzhandaoanduchencang
明枪易躲暗箭难防	mingqiangyiduoanjiannanfang
明白如话	mingbairuhua
明眸善睐	mingmoushanlai
星星之火可以燎原	xingxingzhihuokeyiliaoyuan
春宵一刻值千金	chunxiaoyikezhiqianjin
春捂秋冻	chunwuqiudong
春生夏长秋收冬藏	chunshengxiazhangqiushoudongcang
春风浩荡	chunfenghaodang
是可忍孰不可忍	shikerenshubukeren
有一搭没一搭	youyidameiyida
有则改之无则加勉	youzegaizhiwuzejiamian
有所顾忌	yousuoguji
有福同享有难同当	youfutongxiangyounantongdang
有缘千里来相会	youyuanqianlilaixianghui
有贼心没贼胆	youzeixinmeizeidan
朋友妻不可欺	pengyouqibukeqi
本小利薄	benxiaolibao
机不可失时不再来	jibukeshishibuzailai
杀伐决断	shafajueduan
杀父之仇	shafuzhichou
松鹤延年	songheyannian
枝节横生	zhijiehengsheng
枯瘦如柴	kushouruchai
桃李不言下自成蹊	taolibuyanxiazichengqi
桃李遍天下	taolibiantianxia
横平竖直	hengpingshuzhi
欢呼雷动	huanhuleidong
欲加之罪何患无辞	yujiazhizuihehuanwuci
此风不可长	cifengbukezhang
步履矫健	bulvjiaojian
步履艰辛	bulvjianxin
残破不堪	canpobukan
比上不足比下有余	bishangbuzubixiayouyu
毫不利己专门利人	haobulijizhuanmenliren
毫无所知	haowusuozhi
水可载舟亦可覆舟	shuikezaizhouyikefuzhou
水能载舟亦能覆舟	shuinengzaizhouyinengfuzhou
水过地皮湿	shuiguodipishi
永矢弗谖	yongshifuxuan
求人不如求己	qiurenburuqiuji
求大同存小异	qiudatongcunxiaoyi
江山易改本性难移	jiangshanyigaibenxingnanyi
没有不透风的墙	meiyoubutoufengdeqiang
河海不择细流	hehaibuzexiliu
治丝益棼	zhisiyifen
波平浪静	bopinglangjing
波谲云诡	bojueyungui
泰山不让土壤	taishanburangturang
泰山压顶不弯腰	taishanyadingbuwanyao
洪钟大吕	hongzhongdalv
活到老学到老	huodaolaoxuedaolao
流言止于智者	liuyanzhiyuzhizhe
浩若烟海	haoruoyanhai
浴火凤凰	yuhuofenghuang
淡泊以明志	danboyimingzhi
清华东门	qinghuadongmen
清官难断家务事	qingguannanduanjiawushi
满目琳琅	manmulinlang
满目青山	manmuqingshan
火力集中	huolijizhong
烂熟于心	lanshuyuxin
烈火见真金	liehuojianzhenjin
热锅上蚂蚁	reguoshangmayi
焕发青春	huanfaqingchun
焦灼不安	jiaozhuobuan
焦躁不安	jiaozaobuan
牢骚太盛防肠断	laosaotaishengfangchangduan
物以类聚人以群分	wuyileijurenyiqunfen
