# 泰深输入法专业词库 — literature
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
大和物語	dahewuyu
利贝拉里塔斯	libeilalitasi
藥	yao
真命天子	zhenmingtianzi
入蜀記	rushuji
蒙馬特遺書	mengmateyishu
羣鬼	qungui
教會史	jiaohuishi
报价函	baojiahan
越南作家协会	yuenanzuojiaxiehui
自治同盟	zizhitongmeng
打油詩	dayoushi
传记片	zhuanjipian
波士堪谷奇案	boshikanguqian
杞人忧天	qirenyoutian
桃花扇	taohuashan
卡夫卡博物馆	kafukabowuguan
但以理書	danyilishu
美丽线条	meilixiantiao
冰與火之歌	bingyuhuozhige
女儿冢	nverzhong
蔣中正日記	jiangzhongzhengriji
小說神髓	xiaoshuoshensui
中国寓言	zhongguoyuyan
多俾亞傳	duobiyachuan
大学问	daxuewen
文本批评	wenbenpiping
俗文學叢刊	suwenxuecongkan
白玉雕龍	baiyudiaolong
臺灣鄭氏始末	taiwanzhengshishimo
破罐子阿廖沙	poguanzialiaosha
語言保護	yuyanbaohu
士兵的故事	shibingdegushi
騶虞	zouyu
民族之歌	minzuzhige
明太祖实录	mingtaizushilu
国家原则	guojiayuanze
明書	mingshu
許淵冲	xuyuanchong
特雷庇姑娘	teleibiguniang
文學雜誌	wenxuezazhi
桃花與正果	taohuayuzhengguo
大眾文學	dazhongwenxue
平淮西碑	pinghuaixibei
明史講義	mingshijiangyi
頹廢主義運動	tuifeizhuyiyundong
時局圖	shijutu
博物學者	bowuxuezhe
傾國怨伶	qingguoyuanling
阿尔泰文学	aertaiwenxue
西部世界	xibushijie
反英雄	fanyingxiong
冷宮	lenggong
罗马史	luomashi
女誡	nvjie
勇氣之書	yongqizhishu
楊延輝	yangyanhui
世界境域志	shijiejingyuzhi
半韵	banyun
牛郎织女	niulangzhinv
羅洪特寫本	luohongtexieben
蛋蛋日記	dandanriji
媒體帝國主義	meitidiguozhuyi
前傳	qianchuan
失踪的上清寺	shizongdeshangqingsi
克蘇魯神話	kesulushenhua
奇幻馬和傳說	qihuanmahechuanshuo
波茨坦公告	bocitangonggao
纪伯伦博物馆	jibolunbowuguan
写作风格	xiezuofengge
東方少年	dongfangshaonian
不知之雲	buzhizhiyun
加州靡情	jiazhoumiqing
连载小说	lianzaixiaoshuo
佛提乌	futiwu
花边文学	huabianwenxue
清真言	qingzhenyan
議題設定	yitisheding
亡蜀鉴	wangshujian
程伟元	chengweiyuan
日用俗字	riyongsuzi
死亡诗社	siwangshishe
動漫	dongman
西西弗神话	xixifushenhua
楊延順	yangyanshun
文学性	wenxuexing
呼兰河传	hulanhechuan
古老者	gulaozhe
费振刚	feizhengang
勘误表	kanwubiao
后后现代主义	houhouxiandaizhuyi
特洛伊始末	teluoyishimo
唐歷	tangli
提升	tisheng
文字游戏	wenziyouxi
模式识别	moshishibie
瑪那	mana
小生也瘋狂	xiaoshengyefengkuang
小癞子	xiaolaizi
歌劇魅影	gejumeiying
聖誕驚奇夜	shengdanjingqiye
暮光之城系列	muguangzhichengxilie
驚魂六記	jinghunliuji
丹麦黄金时代	danmaihuangjinshidai
