# 泰深输入法专业词库 — law
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
自然人	ziranren
合力追踪	helizhuizong
掌隷院	zhangliyuan
和解	hejie
卡尔多改进	kaerduogaijin
弁言	bianyan
国际法学理论	guojifaxuelilun
无责赔偿	wuzepeichang
法律咨询	falvzixun
美国司法会议	meiguosifahuiyi
国家原则	guojiayuanze
獨立媒體	dulimeiti
媒體存取權	meiticunququan
紅頭文件	hongtouwenjian
定点清除	dingdianqingchu
非法所得	feifasuode
里斯本条约	lisibentiaoyue
英联邦宪章	yinglianbangxianzhang
动物产品	dongwuchanpin
法律認識錯誤	falvrenshicuowu
波茨坦公告	bocitangonggao
弹劾	tanhe
社会群体	shehuiqunti
少年法庭	shaonianfating
宗教誓言	zongjiaoshiyan
性別平等	xingbiepingdeng
数罪并罚	shuzuibingfa
立法程序	lifachengxu
拦路强盗	lanluqiangdao
馬克曼聽證會	makemantingzhenghui
牛津条例	niujintiaoli
清真言	qingzhenyan
立法院	lifayuan
過失	guoshi
義興會	yixinghui
软法	ruanfa
波羅提木叉	boluotimucha
轻罪	qingzui
奉上级命令	fengshangjimingling
官僚制	guanliaozhi
委任立法	weirenlifa
炸彈威脅	zhadanweixie
有限公司	youxiangongsi
執達吏	zhidali
使用武力	shiyongwuli
陪審團	peishentuan
統一軍法典	tongyijunfadian
司法精神医学	sifajingshenyixue
神圣的人	shenshengderen
企业工程	qiyegongcheng
普遍法律	pubianfalv
誘導性提問	youdaoxingtiwen
权利外观理论	quanliwaiguanlilun
危险物质指令	weixianwuzhizhiling
獨裁政體	ducaizhengti
行政罰法	xingzhengfafa
毒气室	duqishi
立法局	lifaju
魔鬼的訟辯人	moguidesongbianren
無國籍	wuguoji
古代法	gudaifa
扣押	kouya
證人	zhengren
委托保护国	weituobaohuguo
四健會	sijianhui
間接正犯	jianjiezhengfan
兵刑合一	bingxingheyi
技術中立原則	jishuzhongliyuanze
保持佔有	baochizhanyou
麥誹謗案	maifeibangan
托拉斯	tuolasi
犯罪事實	fanzuishishi
有限合伙	youxianhehuo
動產	dongchan
帕累托效率	paleituoxiaolv
憤怒旅	fennulv
法学期刊列表	faxueqikanliebiao
原典主义	yuandianzhuyi
宣誓书	xuanshishu
领海基线法	linghaijixianfa
麦诺森法案	mainuosenfaan
不動產	budongchan
寄留	jiliu
指定暴力團	zhidingbaolituan
举证责任倒置	juzhengzerendaozhi
七大恨	qidahen
動物權利	dongwuquanli
杀人	sharen
消費物	xiaofeiwu
阻卻違法事由	zuqueweifashiyou
蒙特利尔公约	mengteliergongyue
