# 泰深输入法专业词库 — art
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
红叶小巨人	hongyexiaojuren
合成照片	hechengzhaopian
宮調	gongdiao
拼裝	pinzhuang
海貓悲鳴時	haimaobeimingshi
加德纳色度	jiadenasedu
栅格设计	zhagesheji
瘟疫	wenyi
絲網印刷	siwangyinshua
獵獸神兵	lieshoushenbing
树轮年代学	shulunniandaixue
情色	qingse
武夷派	wuyipai
木管号	muguanhao
美术学校	meishuxuexiao
雙年展	shuangnianzhan
音乐哲学	yinlezhexue
陶艺	taoyi
紙黏土	zhiniantu
鬼畜英雄	guichuyingxiong
全力兔	quanlitu
大橋安宅驟雨	daqiaoanzhaizhouyu
时间	shijian
围炉夜话	weiluyehua
描漆	miaoqi
追憶似水年華	zhuiyishishuinianhua
學姐與我	xuejieyuwo
一杯酒	yibeijiu
火星異種	huoxingyizhong
滿洲鴉片小隊	manzhouyapianxiaodui
混合曲	hunhequ
中萊茵博物館	zhonglaiyinbowuguan
聲優公主	shengyougongzhu
人文主义	renwenzhuyi
非洲之窗	feizhouzhichuang
精卫填海	jingweitianhai
聖維克多山	shengweikeduoshan
珠寶匯	zhubaohui
油網包	youwangbao
威尼斯双年展	weinisishuangnianzhan
新國立劇場	xinguolijuchang
神鬼大盜	shenguidadao
無臉人	wulianren
女拓	nvtuo
通靈王	tonglingwang
绵竹木版年画	mianzhumubannianhua
慕尼黑艺术区	muniheiyishuqu
黑暗的左手	heiandezuoshou
中世紀美學	zhongshijimeixue
谷垣健治	guyuanjianzhi
遊唱詩人	youchangshiren
賣花姑娘	maihuaguniang
猎鲨记	lieshaji
张家港博物馆	zhangjiagangbowuguan
全面回忆	quanmianhuiyi
閃電陣	shandianzhen
白领公寓	bailinggongyu
十六分音符	shiliufenyinfu
具象藝術	juxiangyishu
價值論	jiazhilun
阿富汗女孩	afuhannvhai
动画单本剧	donghuadanbenju
皇太子的王子	huangtaizidewangzi
變種軍團	bianzhongjuntuan
金玉观世音	jinyuguanshiyin
帕列赫彩画	paliehecaihua
洞房夜新娘	dongfangyexinniang
双簧	shuanghuang
英雄	yingxiong
缩略图	suolvetu
藝術類型列表	yishuleixingliebiao
媚俗	meisu
左利手	zuolishou
丟勒的犀牛	diuleidexiniu
中国	zhongguo
鈷藍色	gulanse
戰火烈愛	zhanhuolieai
佐佐木與宮野	zuozuomuyugongye
關山月美術館	guanshanyuemeishuguan
抓贼高手	zhuazeigaoshou
大同影片公司	datongyingpiangongsi
學園奇諾	xueyuanqinuo
失落的朋友	shiluodepengyou
四神云气图	sishenyunqitu
酷日本	kuriben
死神魔菇	sishenmogu
魔法使的新娘	mofashidexinniang
高雅文化	gaoyawenhua
佈局	buju
音源	yinyuan
表演必须继续	biaoyanbixujixu
英雄教室	yingxiongjiaoshi
约瑟之书	yuesezhishu
安奈利	annaili
口罩	kouzhao
火焰之舞	huoyanzhiwu
水晶宫恐龙	shuijinggongkonglong
漫畫圖書館	manhuatushuguan
春浪音樂節	chunlangyinlejie
提瓦莫伊太嵩	tiwamoyitaisong
服務設計	fuwusheji
街頭電視	jietoudianshi
火把節戀歌	huobajieliange
魔之系列	mozhixilie
阿拉伯書法	alaboshufa
藝術管理	yishuguanli
甬剧	yongju
撒旦的情與慾	sadandeqingyuyu
吸血鬼馬上死	xixueguimashangsi
普韦布洛陶器	puweibuluotaoqi
藝術觀察	yishuguancha
小面	xiaomian
時光代理人	shiguangdailiren
全明星	quanmingxing
舞蹈研究	wudaoyanjiu
電波系彼女	dianboxibinv
再婚皇后	zaihunhuanghou
動物橫町	dongwuhengting
