# 泰深输入法专业词库 — military
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
復員	fuyuan
监狱船	jianyuchuan
沙赫德无人机	shahedewurenji
全國獨裁	quanguoducai
守城錄	shouchenglu
達希耶主義	daxiyezhuyi
预警卫星	yujingweixing
快速反應部隊	kuaisufanyingbudui
佯动	yangdong
师	shi
俄罗斯铁道军	eluositiedaojun
錯誤資訊	cuowuzixun
陶瓷装甲	taocizhuangjia
征服	zhengfu
飽和攻擊	baohegongji
步兵支援武器	bubingzhiyuanwuqi
许洞	xudong
側翼機動	ceyijidong
武经总要	wujingzongyao
孙膑兵法	sunbinbingfa
要塞舰队	yaosaijiandui
戰象	zhanxiang
握奇经	woqijing
軍事間諜	junshijiandie
斜線陣	xiexianzhen
第一島鏈	diyidaolian
军事网格系统	junshiwanggexitong
连队	liandui
班	ban
总体战	zongtizhan
战略火箭军	zhanlvehuojianjun
中国锁子甲	zhongguosuozijia
千碼凝視	qianmaningshi
戈登堡	gedengbao
国际制裁	guojizhicai
河川炮舰	hechuanpaojian
诸葛亮	zhugeliang
輪役制度	lunyizhidu
人海战术	renhaizhanshu
札甲	zhajia
玄甲	xuanjia
合成	hecheng
拒馬	juma
参孙选项	cansunxuanxiang
波士顿机械狗	boshidunjixiegou
纠支地道	jiuzhididao
神通系列卫星	shentongxilieweixing
卫公兵法辑本	weigongbingfajiben
兵法	bingfa
軍事	junshi
期數列外	qishuliewai
八角大楼	bajiaodalou
桥头堡	qiaotoubao
波拿巴主义	bonabazhuyi
新秩序	xinzhixu
战争迷雾	zhanzhengmiwu
動力服	donglifu
侦察机	zhenchaji
火龍神器陣法	huolongshenqizhenfa
美軍慰安婦	meijunweianfu
戰利艦	zhanlijian
火箭	huojian
飛行戰艦	feixingzhanjian
軍隊國家化	junduiguojiahua
戰時標準船	zhanshibiaozhunchuan
鱼雷巡洋舰	yuleixunyangjian
防疫给水部	fangyigeishuibu
兀鷹行動	wuyingxingdong
劍翔無人機	jianxiangwurenji
總軍	zongjun
冷兵器	lengbingqi
军阀	junfa
散兵坑	sanbingkeng
軍事優勢	junshiyoushi
宪兵	xianbing
帝國之弧	diguozhihu
越後流	yuehouliu
倍力橋	beiliqiao
火箭弹发射器	huojiandanfasheqi
框架	kuangjia
哈比无人机	habiwurenji
電磁超表面	diancichaobiaomian
工兵	gongbing
戰爭兒童	zhanzhengertong
吴起	wuqi
军事占领	junshizhanling
蝙蝠炸弹	bianfuzhadan
信息战	xinxizhan
战略	zhanlve
電子偵察艦	dianzizhenchajian
貿易戰	maoyizhan
集團軍	jituanjun
國防外交	guofangwaijiao
運動戰	yundongzhan
回纹针行动	huiwenzhenxingdong
国家重组进程	guojiazhongzujincheng
無殼彈	wukedan
動員	dongyuan
美軍福利社	meijunfulishe
勤務兵	qinwubing
火力支援	huolizhiyuan
曾胡治兵語錄	cenghuzhibingyulu
戰鬥機黑手黨	zhandoujiheishoudang
煙幕	yanmu
飞行甲板	feixingjiaban
仁慈犬	renciquan
转移注意力	zhuanyizhuyili
舉事	jushi
弹幕	danmu
迪金勳章	dijinxunzhang
帶鏈甲	dailianjia
戰鬥工兵	zhandougongbing
舟山撤退	zhoushanchetui
木牛流马	muniuliuma
戰鬥空中巡邏	zhandoukongzhongxunluo
步兵夥友	bubinghuoyou
军事理论	junshililun
环境战	huanjingzhan
母衣	muyi
附员	fuyuan
兵錄	binglu
狩猎武器	shouliewuqi
苏军总政治部	sujunzongzhengzhibu
军事管治	junshiguanzhi
敦刻尔克战役	dunkeerkezhanyi
口令	kouling
蓝色家园	lansejiayuan
格瓦拉主義	gewalazhuyi
脛甲	jingjia
縱深作戰	zongshenzuozhan
戒严	jieyan
論持久戰	lunchijiuzhan
國民警衛隊	guominjingweidui
斩首视频	zhanshoushipin
鎖子甲	suozijia
速不台	subutai
三打三防	sandasanfang
側掃聲納	cesaoshengna
前線	qianxian
野外戰	yewaizhan
希臘輕裝部隊	xilaqingzhuangbudui
全民動員	quanmindongyuan
封鎖比亞法拉	fengsuobiyafala
反攻	fangong
殲滅戰理論	jianmiezhanlilun
并进	bingjin
解放者革命	jiefangzhegeming
戴維森窗口	daiweisenchuangkou
五輪書	wulunshu
火力	huoli
戰場照明	zhanchangzhaoming
登壇必究	dengtanbijiu
布雷艇	buleiting
軼事證據	yishizhengju
閃舞雷達	shanwuleida
非致命性武器	feizhimingxingwuqi
心理創傷	xinlichuangshang
運星艦	yunxingjian
钳形攻势	qianxinggongshi
铸剑为犁	zhujianweili
佤邦	wabang
分段甲	fenduanjia
大日本帝国	daribendiguo
后勤保障	houqinbaozhang
火力支援基地	huolizhiyuanjidi
大队	dadui
陆地測量总局	ludiceliangzongju
雷管	leiguan
莫斯科大火	mosikedahuo
加萊賽戰船	jialaisaizhanchuan
亞麻胸甲	yamaxiongjia
軍事演習	junshiyanxi
徐光启	xuguangqi
軍事戰術	junshizhanshu
治平專案	zhipingzhuanan
埃及共和国	aijigongheguo
退伍	tuiwu
乘波導引	chengbodaoyin
军服	junfu
反影偽裝	fanyingweizhuang
化学武器	huaxuewuqi
大道寺友山	dadaosiyoushan
斡兒答	woerda
方面军	fangmianjun
獨裁官	ducaiguan
倾斜装甲	qingxiezhuangjia
魚雷艇	yuleiting
钢铁少女	gangtieshaonv
詭雷	guilei
西拉諾雷達	xilanuoleida
小米加步槍	xiaomijiabuqiang
人造山	renzaoshan
面罩	mianzhao
防衛白書	fangweibaishu
臺屋	taiwu
灰色宣传	huisexuanchuan
青年學派	qingnianxuepai
国会纵火法令	guohuizonghuofaling
猶太戰史	youtaizhanshi
空地整體戰	kongdizhengtizhan
鄧垂簪	dengchuizan
軍事事務變革	junshishiwubiange
豪豬戰略	haozhuzhanlve
安全檢查站	anquanjianchazhan
僚機	liaoji
聰明的漢斯	congmingdehansi
控制室	kongzhishi
中部公約組織	zhongbugongyuezuzhi
投射機	tousheji
抗輻射強化	kangfusheqianghua
樂山雷達站	leshanleidazhan
混合战争	hunhezhanzheng
反坦克犬	fantankequan
信号情报	xinhaoqingbao
火器	huoqi
胜利花园	shenglihuayuan
孙膑	sunbin
预警即发射	yujingjifashe
重机枪	zhongjiqiang
編裝	bianzhuang
子彈	zidan
拆彈機械人	chaidanjixieren
地方分权	difangfenquan
尉缭	weiliao
机器狼	jiqilang
認知作戰	renzhizuozhan
先军政治	xianjunzhengzhi
哈基里亞	hajiliya
棧道行動	zhandaoxingdong
围点打援	weidiandayuan
整编军	zhengbianjun
倫敦衛隊	lundunweidui
华沙条约组织	huashatiaoyuezuzhi
軍用機器人	junyongjiqiren
不率先使用	bulvxianshiyong
战争游戏	zhanzhengyouxi
大军区	dajunqu
军志	junzhi
野戰炮	yezhanpao
偽裝巡洋艦	weizhuangxunyangjian
五国联防	wuguolianfang
條板甲	tiaobanjia
空海一体战	konghaiyitizhan
等离子隐形	dengliziyinxing
核足球	hezuqiu
戰地政務	zhandizhengwu
濒海战斗舰	binhaizhandoujian
全球定位系统	quanqiudingweixitong
步兵炮	bubingpao
短甲	duanjia
搭枪卡	daqiangka
力量投射	liliangtoushe
闪电战	shandianzhan
近身護衛官	jinshenhuweiguan
國家勞役團	guojialaoyituan
六韬	liutao
殿軍	dianjun
紅球快遞計畫	hongqiukuaidijihua
火牛阵	huoniuzhen
戰區	zhanqu
腹張弩	fuzhangnu
建制派	jianzhipai
炸弹	zhadan
庫爾特氣象站	kuerteqixiangzhan
声响诱饵	shengxiangyouer
對敵防空壓制	duidifangkongyazhi
战备	zhanbei
提歐多洛一世	tiouduoluoyishi
火药	huoyao
蒙衝	mengchong
薩爾溫江戰役	saerwenjiangzhanyi
希臘軍政府	xilajunzhengfu
臺南大空襲	tainandakongxi
板甲	banjia
防弹玻璃	fangdanboli
聚旗效应	juqixiaoying
巴拉斯行動	balasixingdong
空中爆炸	kongzhongbaozha
大藍毯	dalantan
例外状态	liwaizhuangtai
低強度戰爭	diqiangduzhanzheng
火星雷達	huoxingleida
沃罗涅日雷达	woluonierileida
龍齒	longchi
軍中教長區	junzhongjiaozhangqu
喀拉喀托	kalakatuo
戰利品	zhanlipin
游荡弹药	youdangdanyao
兵棋推演	bingqituiyan
防御工事	fangyugongshi
創傷後壓力症	chuangshanghouyalizheng
城塞	chengsai
空降部隊	kongjiangbudui
水雷	shuilei
列奥尼达中队	lieaonidazhongdui
橫田飛行場	hengtianfeixingchang
飞火枪	feihuoqiang
常規武器	changguiwuqi
毀滅性武器	huimiexingwuqi
母舰	mujian
龟甲形连环盾	guijiaxinglianhuandun
主动防护系统	zhudongfanghuxitong
銀盾兵	yindunbing
一心會	yixinhui
十八般兵器	shibabanbingqi
珍珠链战略	zhenzhulianzhanlve
美國藍卡制度	meiguolankazhidu
國防部軍醫局	guofangbujunyiju
爆炸性武器	baozhaxingwuqi
軍事偽裝	junshiweizhuang
军事科技史	junshikejishi
過度警覺	guodujingjue
滑跳起飛甲板	huatiaoqifeijiaban
尉缭子	weiliaozi
戰鬥群	zhandouqun
海上運輸線	haishangyunshuxian
空中突擊	kongzhongtuji
精确制导武器	jingquezhidaowuqi
通信系统	tongxinxitong
联队	liandui
軍用動物	junyongdongwu
兇器	xiongqi
神盾戰鬥系統	shendunzhandouxitong
国际军事比赛	guojijunshibisai
潘氏金福	panshijinfu
盔甲	kuijia
路軍	lujun
紅隊	hongdui
衛兵交接	weibingjiaojie
军国主义	junguozhuyi
在乡军人会	zaixiangjunrenhui
鉻穹頂行動	geqiongdingxingdong
