# 泰深输入法专业词库 — geography
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
草原退化	caoyuantuihua
柱狀節理	zhuzhuangjieli
透輝石	touhuishi
终碛	zhongqi
擦痕面	cahenmian
隐晶岩	yinjingyan
砾屑灰岩	lixiehuiyan
酸性火成岩	suanxinghuochengyan
斯图尔特冰期	situertebingqi
地幔过渡带	dimanguodudai
粒徑	lijing
紅湖	honghu
馬亨蓋尖晶	mahenggaijianjing
陆地測量总局	ludiceliangzongju
唐家山堰塞湖	tangjiashanyansaihu
火積雲	huojiyun
矿物列表	kuangwuliebiao
非金屬礦產	feijinshukuangchan
巴林石	balinshi
棘龍屬	jilongshu
乌兰苏海组	wulansuhaizu
大陸邊緣	dalubianyuan
城子河组	chengzihezu
主教坑隕石	zhujiaokengyunshi
原始全球化	yuanshiquanqiuhua
羊城三石	yangchengsanshi
中国火山列表	zhongguohuoshanliebiao
堅硬度	jianyingdu
洞穴殘餘物	dongxuecanyuwu
等靜壓凹陷	dengjingyaaoxian
太平林场组	taipinglinchangzu
区域科学	quyukexue
超基性岩	chaojixingyan
桌山	zhuoshan
弧后區域	huhouquyu
砷铁镍	shentienie
根尾谷斷層	genweiguduanceng
地质工程	dizhigongcheng
掉落石	diaoluoshi
鎂菱鐵閃石	meilingtieshanshi
挑战者深渊	tiaozhanzheshenyuan
桑托期	sangtuoqi
明礬石	mingfanshi
老然组	laoranzu
植物地理学	zhiwudilixue
紫铁矾	zitiefan
湖泊沉積物	hupochenjiwu
国家组合列表	guojiazuheliebiao
淘金	taojin
镜泊湖	jingpohu
批判地理學	pipandilixue
历史地理学	lishidilixue
波特兰石	botelanshi
斜長輝長岩	xiezhanghuizhangyan
岙	ao
硫锑铅矿	liutiqiankuang
集水区	jishuiqu
奧萬大溫泉	aowandawenquan
城市规划区	chengshiguihuaqu
努比亚板块	nubiyabankuai
理论地理学	lilundilixue
岩浆房	yanjiangfang
威爾遜循環	weierxunxunhuan
化石层序律	huashicengxulv
中崙溫泉	zhonglunwenquan
馬克士威山脈	makeshiweishanmai
平原	pingyuan
側向連續律	cexianglianxulv
矩震級	juzhenji
西伯利亞大陸	xiboliyadalu
冰长石晕彩	bingzhangshiyuncai
人口地理学	renkoudilixue
環境決定論	huanjingjuedinglun
水草酸鈣石	shuicaosuangaishi
毛里塔尼带	maolitanidai
虎眼石	huyanshi
系	xi
碳質球粒隕石	tanzhiqiuliyunshi
瓊山地震	qiongshandizhen
硫铜银矿	liutongyinkuang
攀岩	panyan
水口	shuikou
岩性	yanxing
煤	mei
南北分歧	nanbeifenqi
熔岩台地	rongyantaidi
老普林尼	laopulinni
羅丁石	luodingshi
国家中心城市	guojiazhongxinchengshi
阿普第期	apudiqi
地圖集	dituji
北极冰盖	beijibinggai
逆衝構造	nichonggouzao
轉換區	zhuanhuanqu
海上運輸線	haishangyunshuxian
三桥组	sanqiaozu
震積岩	zhenjiyan
固结纪	gujieji
潟湖	xihu
城市整合	chengshizhenghe
行為地理學	xingweidilixue
冲积平原	chongjipingyuan
岩浆作用	yanjiangzuoyong
飞拉达	feilada
醫學地理學	yixuedilixue
龍泉溪堰塞湖	longquanxiyansaihu
古元古代	guyuangudai
碧山溫泉	bishanwenquan
峭壁	qiaobi
沖積扇	chongjishan
路特期	luteqi
肯尼山地质	kennishandizhi
橙汞矿	chenggongkuang
贡卡湖	gongkahu
水文模型	shuiwenmoxing
農業地質學	nongyedizhixue
硫钌矿	liuliaokuang
磨刀石	modaoshi
板间地震	banjiandizhen
大陸碎片	dalusuipian
晶体结构	jingtijiegou
都市峽谷	doushixiagu
玛纳斯地震	manasidizhen
脆韧转换带	cuirenzhuanhuandai
栗松溫泉	lisongwenquan
地形软化	dixingruanhua
食品地理学	shipindilixue
成岩作用	chengyanzuoyong
黄土地貌	huangtudimao
基底	jidi
迷喙翼龙属	mihuiyilongshu
地溫梯度	diwentidu
善光寺地震	shanguangsidizhen
砂金效應	shajinxiaoying
农村聚落	nongcunjuluo
库嘎造山运动	kugazaoshanyundong
美狄亚假说	meidiyajiashuo
小錦屏溫泉	xiaojinpingwenquan
群测群防	quncequnfang
世	shi
末次冰盛期	mocibingshengqi
鬥石	doushi
深源地震	shenyuandizhen
黃銻華	huangtihua
也門火山列表	yemenhuoshanliebiao
白鈹石	baipishi
暗沙	ansha
旱季	hanji
三宅事件	sanzhaishijian
黑土	heitu
曼寧公式	manninggongshi
砷锌钙石	shenxingaishi
南田石	nantianshi
中三叠世	zhongsandieshi
蘇打石	sudashi
同心圓模式	tongxinyuanmoshi
帝汶板塊	diwenbankuai
康威礁板塊	kangweijiaobankuai
温带沙漠	wendaishamo
梅加拉亚期	meijialayaqi
寺沟组	sigouzu
流纹英安岩	liuwenyinganyan
火山礫	huoshanli
隕石學	yunshixue
底座形撞击坑	dizuoxingzhuangjikeng
火山碎屑流	huoshansuixieliu
大都市帶	dadoushidai
电子地图	dianziditu
鼓丘地	guqiudi
太古宙	taiguzhou
金田一温泉	jintianyiwenquan
地质学家	dizhixuejia
地理知识学	dilizhishixue
貫入體	guanruti
平洲組	pingzhouzu
閃長岩	shanzhangyan
地幔楔	dimanxie
匈奴超地体	xiongnuchaoditi
历史地震	lishidizhen
碳矽鹼鈣石	tanxijiangaishi
族群地質學	zuqundizhixue
龜山冷泉	guishanlengquan
地理学	dilixue
城镇化水平	chengzhenhuashuiping
产业集群	chanyejiqun
層序地層學	cengxudicengxue
熔岩渠道	rongyanqudao
方志学	fangzhixue
勒夫波	leifubo
城市形态学	chengshixingtaixue
鵝卵石	eluanshi
胜金口组	shengjinkouzu
碲铅矿	diqiankuang
北洋	beiyang
歐亞板塊	ouyabankuai
地理擴散	dilikuosan
城市化	chengshihua
揮發成份	huifachengfen
淡水湖	danshuihu
人口转型	renkouzhuanxing
三峡石	sanxiashi
寶石	baoshi
红井哨组	hongjingshaozu
凝缩层	ningsuoceng
牧地	mudi
歪長粗面岩	waizhangcumianyan
帶狀湖	daizhuanghu
滑火山	huahuoshan
氣栓	qishuan
層狀侵入岩	cengzhuangqinruyan
城市地理学	chengshidilixue
泥屑灰岩	nixiehuiyan
生物浸出	shengwujinchu
似大地水准面	shidadishuizhunmian
全新世紀年	quanxinshijinian
班尼奧夫帶	banniaofudai
羽合溫泉	yuhewenquan
造山帶	zaoshandai
地獄溪層	diyuxiceng
聚集經濟	jujijingji
花岗变晶状	huagangbianjingzhuang
均質區	junzhiqu
巴斯泰	basitai
铝土矿	lvtukuang
酈學	lixue
片岩	pianyan
波羅的大陸	boluodedalu
巨型都市	juxingdoushi
铌包头矿	nibaotoukuang
角峰	jiaofeng
岩磐	yanpan
阿廬古洞	alugudong
交代作用	jiaodaizuoyong
彩霞石	caixiashi
矽卡岩	xikayan
中间圈	zhongjianquan
粒级层理	lijicengli
油田	youtian
造山運動	zaoshanyundong
人頭稅石	rentoushuishi
海蝕洞	haishidong
欽明海底山	qinminghaidishan
地陷	dixian
藩市杂岩	fanshizayan
外商直接投資	waishangzhijietouzi
大陆地壳	daludike
山丘	shanqiu
雪松山層	xuesongshanceng
反距离加权	fanjulijiaquan
透长岩	touzhangyan
喷发柱	penfazhu
华北构造期	huabeigouzaoqi
沥青湖	liqinghu
曼宽河组	mankuanhezu
深海钻探计划	shenhaizuantanjihua
坡地蠕动	podirudong
雨海代	yuhaidai
古生代	gushengdai
火山穹丘	huoshanqiongqiu
红铬铅矿	honggeqiankuang
岩石圈	yanshiquan
日本溫泉列表	ribenwenquanliebiao
里瓦	liwa
自然堆积层	ziranduijiceng
慶長伏見地震	qingzhangfujiandizhen
冰川锅穴	bingchuanguoxue
滯洪池	zhihongchi
純橄欖岩	chunganlanyan
火山帶	huoshandai
湖沼學	huzhaoxue
鈉紅沸石	nahongfeishi
马家村组	majiacunzu
矽藻土	xizaotu
雪丘島組	xueqiudaozu
黏土岩	niantuyan
浮岩	fuyan
莫里遜層	molixunceng
库克拜组	kukebaizu
盤古大陸	pangudalu
尼欧可木阶	nioukemujie
五水錳礬	wushuimengfan
海平面	haipingmian
四方台组	sifangtaizu
指準化石	zhizhunhuashi
紅香溫泉	hongxiangwenquan
輝錸礦	huilaikuang
赣南矿	gannankuang
旋回地層學	xuanhuidicengxue
黄石火山	huangshihuoshan
石英闪长岩	shiyingshanzhangyan
岩株	yanzhu
岩漿	yanjiang
云母片岩	yunmupianyan
同沉积断层	tongchenjiduanceng
混沌地形	hundundixing
南極洲板塊	nanjizhoubankuai
菲律宾海板块	feilvbinhaibankuai
陆相沉积	luxiangchenji
带状聚落	daizhuangjuluo
設得蘭板塊	shedelanbankuai
山崩	shanbeng
紅砷鎳礦	hongshenniekuang
格碳鈉石	getannashi
辉岩	huiyan
卡因迪湖	kayindihu
板岩	banyan
磨損作用	mosunzuoyong
庙山湖组	miaoshanhuzu
鳩之澤溫泉	jiuzhizewenquan
沖決	chongjue
英云闪长岩	yingyunshanzhangyan
索倫眼龍屬	suolunyanlongshu
過鹼性岩石	guojianxingyanshi
造岩矿物	zaoyankuangwu
碱玄质响岩	jianxuanzhixiangyan
永福磁石	yongfucishi
火流星	huoliuxing
夏庄组	xiazhuangzu
冰島石	bingdaoshi
季候泥	jihouni
土侖期	tulunqi
祖玛岩	zumayan
吕梁构造期	lvlianggouzaoqi
早三叠世	zaosandieshi
刃脊	renji
藍絲黛爾石	lansidaiershi
硫镁矿	liumeikuang
区域地质	quyudizhi
法國火山列表	faguohuoshanliebiao
康納馬拉混沌	kangnamalahundun
社会地理学	shehuidilixue
皂石	zaoshi
交錯層理	jiaocuocengli
残疾人攀岩	canjirenpanyan
四重溪溫泉	sizhongxiwenquan
古地理学	gudilixue
西半球	xibanqiu
似曜岩	shiyaoyan
孔賽石	kongsaishi
千岛海沟	qiandaohaigou
石灰阱	shihuijing
雜砂岩	zashayan
榴輝岩	liuhuiyan
馬里亞納板塊	maliyanabankuai
水半球	shuibanqiu
弧後盆地	huhoupendi
地震灾害	dizhenzaihai
石榴石	shiliushi
砾石	lishi
地理编码	dilibianma
走滑構造	zouhuagouzao
黄土湿陷性	huangtushixianxing
剪切	jianqie
拉伸纪	lashenji
双龙潭组	shuanglongtanzu
透闪石	toushanshi
火山碎屑岩筒	huoshansuixieyantong
清水河组	qingshuihezu
縱谷	zonggu
馬林諾冰期	malinnuobingqi
景點分享	jingdianfenxiang
小門地質館	xiaomendizhiguan
回剝	huibo
地质作用	dizhizuoyong
温盐深仪	wenyanshenyi
杭灰大理石	hanghuidalishi
冰河時期年表	bingheshiqinianbiao
马氏体	mashiti
積冰	jibing
铁石	tieshi
山间板块	shanjianbankuai
