# 泰深输入法专业词库 — history
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
匈人的起源	xiongrendeqiyuan
軍事史	junshishi
宇文所安	yuwensuoan
撒馬利亞	samaliya
人類學史	renleixueshi
贝克奖	beikejiang
未来简史	weilaijianshi
蒙古黄金史纲	mengguhuangjinshigang
雅各布	yagebu
守護代	shouhudai
封建社会	fengjianshehui
一騎當千	yiqidangqian
天文計年	tianwenjinian
语料库语言学	yuliaokuyuyanxue
歷史主義	lishizhuyi
風之塔	fengzhita
魏氏春秋	weishichunqiu
千纪	qianji
醜的歷史	choudelishi
納巴泰人	nabatairen
安祚	anzuo
娥	e
時代	shidai
強盗騎士	qiangdaoqishi
政道與治道	zhengdaoyuzhidao
鍾無艷	zhongwuyan
达尔里阿达	daerliada
人性論	renxinglun
嘉德阿威亞	jiadeaweiya
我的名字叫紅	wodemingzijiaohong
意志	yizhi
春秋大事表	chunqiudashibiao
觀念論	guannianlun
大北极探险	dabeijitanxian
南門公園碑林	nanmengongyuanbeilin
空投柏林	kongtoubailin
人事档案	renshidangan
历史社会学	lishishehuixue
百載鑪峰	baizailufeng
猶太區	youtaiqu
杜鲁门主义	dulumenzhuyi
以眼还眼	yiyanhuanyan
玫瑰之名	meiguizhiming
科学史	kexueshi
原始藝術	yuanshiyishu
乌干达计划	wugandajihua
巴納姆效應	banamuxiaoying
行銷科技	xingxiaokeji
近代史	jindaishi
龟兹回鹘	guizihuigu
女王制造者	nvwangzhizaozhe
骠国	biaoguo
歷史畫	lishihua
碟式底片	dieshidipian
黎初朝	lichuchao
海洋怪聲	haiyangguaisheng
文化圈	wenhuaquan
史籀	shizhou
丝绸历史	sichoulishi
浪漫主义	langmanzhuyi
宗教年表	zongjiaonianbiao
中國圖說	zhongguotushuo
萨朗波	salangbo
東鄰西廂	donglinxixiang
中国史学史	zhongguoshixueshi
王者天下	wangzhetianxia
旋回地層學	xuanhuidicengxue
象年	xiangnian
瓦莱共和国	walaigongheguo
後現代性	houxiandaixing
共治国王列表	gongzhiguowangliebiao
东方专制主义	dongfangzhuanzhizhuyi
世界語歷史	shijieyulishi
更路簿	genglubu
歷史重演	lishizhongyan
古钱学	guqianxue
龍	long
失竊的一代	shiqiedeyidai
太陽符號	taiyangfuhao
新闻学史	xinwenxueshi
中体西用	zhongtixiyong
阿史德氏	ashideshi
有肩石斧	youjianshifu
歷史之眼	lishizhiyan
防御使	fangyushi
罗森汉恩实验	luosenhanenshiyan
殖民政策學	zhiminzhengcexue
常州戰鬥	changzhouzhandou
卡佩家族	kapeijiazu
西洋占星術	xiyangzhanxingshu
最后的夫人	zuihoudefuren
张伯驹	zhangboju
克勒什文化	keleishenwenhua
老字號	laozihao
野史	yeshi
明朝藩王列表	mingchaofanwangliebiao
銅锈	tongxiu
邗国	hanguo
美國獨立宣言	meiguodulixuanyan
歷史人類學	lishirenleixue
卡斯特罗公国	kasiteluogongguo
宣言	xuanyan
生态系统	shengtaixitong
青年风格	qingnianfengge
哲學分析	zhexuefenxi
幼子繼承制	youzijichengzhi
美的歷史	meidelishi
跨太平洋飛行	kuataipingyangfeixing
能量守恒定律	nengliangshouhengdinglv
社畜	shechu
西洋穴怪圖像	xiyangxueguaituxiang
香江歲月	xiangjiangsuiyue
原物归位	yuanwuguiwei
莱赫帝国	laihediguo
儒略日	rulveri
紀法	jifa
民族历史学	minzulishixue
阿兒渾	aerhun
十善福經白史	shishanfujingbaishi
史前战争	shiqianzhanzheng
認知革命	renzhigeming
军备竞赛	junbeijingsai
安布罗内人	anbuluoneiren
加利奇公國	jialiqigongguo
夏连特拉王国	xialiantelawangguo
剑桥学派	jianqiaoxuepai
江西省舆图	jiangxishengyutu
阿拉是月神論	alashiyueshenlun
公理	gongli
山间板块	shanjianbankuai
四大文明古国	sidawenmingguguo
天竺	tianzhu
历史小说	lishixiaoshuo
實証史學	shizhengshixue
超验主义	chaoyanzhuyi
聖顯	shengxian
金石学	jinshixue
都密	doumi
圖像誌	tuxiangzhi
公社	gongshe
检疫站	jianyizhan
音乐工艺	yinlegongyi
佐领	zuoling
维京传奇	weijingchuanqi
天轴	tianzhou
羅茲猶太區	luoziyoutaiqu
儒莲奖	rulianjiang
銀河英雄傳說	yinheyingxiongchuanshuo
苏维汇王国	suweihuiwangguo
历史	lishi
军事文学	junshiwenxue
塞迦	saijia
基督神话论	jidushenhualun
二十史朔闰表	ershishishuorunbiao
土地兼并	tudijianbing
希伯來人	xibolairen
篡位	cuanwei
代爾麥地那	daiermaidina
索彭苏丹国	suopengsudanguo
結構主義	jiegouzhuyi
那海	nahai
柏林行動	bailinxingdong
華夷變態	huayibiantai
门毒国	menduguo
晋阳秋	jinyangqiu
任那日本府	rennaribenfu
內布拉星象盤	neibulaxingxiangpan
水手纹身	shuishouwenshen
金句	jinju
大帝	dadi
历史群像	lishiqunxiang
陶學	taoxue
何新	hexin
華倫委員會	hualunweiyuanhui
兒童權利宣言	ertongquanlixuanyan
日记	riji
反革命	fangeming
友弟德传	youdidechuan
亞歷山大戰記	yalishandazhanji
臣民	chenmin
艳娃传	yanwachuan
全球通史	quanqiutongshi
寒柳堂集	hanliutangji
生物多樣性	shengwuduoyangxing
史官	shiguan
门罗主义	menluozhuyi
石蜜	shimi
考察	kaocha
楚格尼尼	chugenini
汉学音标	hanxueyinbiao
大酺	dapu
重骑兵	zhongqibing
大洋洲历史	dayangzhoulishi
邮包	youbao
探索	tansuo
美國內戰重演	meiguoneizhanzhongyan
前卫摄影	qianweisheying
博物志	bowuzhi
耶路撒冷被毀	yelusalengbeihui
全球帝国	quanqiudiguo
王城區	wangchengqu
台灣文學史	taiwanwenxueshi
歷史教育	lishijiaoyu
斯托雷加滑坡	situoleijiahuapo
掸泰地体	dantaiditi
奴隸解放	nulijiefang
輿圖	yutu
數位史學	shuweishixue
越绝书	yuejueshu
韦廷王朝	weitingwangchao
遺囑	yizhu
黑色戰爭	heisezhanzheng
丁亥之役	dinghaizhiyi
快速轟炸機	kuaisuhongzhaji
藝穗會	yisuihui
美第奇家族	meidiqijiazu
令状	lingzhuang
热室	reshi
微觀歷史	weiguanlishi
非斯条约	feisitiaoyue
莱特飞行器	laitefeixingqi
沙里湾泥	shaliwanni
輪迴的花瓣	lunhuidehuaban
魁北克老城	kuibeikelaocheng
镜与光	jingyuguang
最高權力	zuigaoquanli
传播史	chuanboshi
德里	deli
納粹飛碟	nacuifeidie
妾願為君亡	qieyuanweijunwang
丝阵	sizhen
医学史	yixueshi
太史	taishi
注释法学派	zhushifaxuepai
汉学丛书	hanxuecongshu
中蘇聯合公報	zhongsulianhegongbao
耶路撒冷聖殿	yelusalengshengdian
比较史学	bijiaoshixue
性別分工	xingbiefengong
人类学	renleixue
宣誓	xuanshi
乞丐王子	qigaiwangzi
政治驚悚片	zhengzhijingsongpian
光绪演讲	guangxuyanjiang
紀念物保存	jinianwubaocun
十三刺客	shisancike
格度干武吉碑	geduganwujibei
海盜戰記	haidaozhanji
船夫号子	chuanfuhaozi
烬余录	jinyulu
生物学史	shengwuxueshi
童生	tongsheng
雅典憲章	yadianxianzhang
蝙蝠比利	bianfubili
亚洲萨迦	yazhousajia
猶他州巨碑	youtazhoujubei
地球歷史	diqiulishi
歷史也瘋狂	lishiyefengkuang
埃尔丁沼泽	aierdingzhaoze
地方志	difangzhi
沁源围困战	qinyuanweikunzhan
新歷史主義	xinlishizhuyi
伟大领袖旧居	weidalingxiujiuju
奥塔里	aotali
小河文化	xiaohewenhua
子女顶替制	zinvdingtizhi
當紅女人	danghongnvren
少女胸像	shaonvxiongxiang
努比亚	nubiya
地方色彩	difangsecai
腓尼基	feiniji
史記地名考	shijidimingkao
董衡巽	donghengxun
柏拉圖實在論	bailatushizailun
社会主义竞赛	shehuizhuyijingsai
姆大陆	mudalu
總觀效應	zongguanxiaoying
托什倫達銅板	tuoshenlundatongban
牛頓書信	niudunshuxin
操作制約	caozuozhiyue
古代航海史	gudaihanghaishi
费东叛乱	feidongpanluan
罗马数字	luomashuzi
不许犯我	buxufanwo
帝国轶闻	diguoyiwen
雷姆利亞大陸	leimuliyadalu
阿史那俀子	ashinatuizi
阳历	yangli
通航一覽	tonghangyilan
反精神醫學	fanjingshenyixue
思想史	sixiangshi
斯巴达克斯	sibadakesi
臺灣關地界碑	taiwanguandijiebei
城市史	chengshishi
中國軍用票	zhongguojunyongpiao
有色人种联盟	youserenzhonglianmeng
全球史	quanqiushi
满者伯夷	manzheboyi
古典元素	gudianyuansu
伊德里斯王朝	yidelisiwangchao
架空歷史	jiakonglishi
地豆于	didouyu
马赛公社	masaigongshe
大瞿越	daquyue
農民	nongmin
苏巴卡卡	subakaka
时空特工队	shikongtegongdui
瓦萨甫史	wasafushi
社会分工论	shehuifengonglun
割據	geju
剌撒	lasa
历法列表	lifaliebiao
粒線體夏娃	lixiantixiawa
普罗泰戈拉	puluotaigela
年鑑學派	nianjianxuepai
物种形成	wuzhongxingcheng
加州学派	jiazhouxuepai
瑟索克購地	sesuokegoudi
火焰戰鬥機	huoyanzhandouji
物种起源	wuzhongqiyuan
政治小說	zhengzhixiaoshuo
巴克特里亞	baketeliya
烏拉爾圖	wulaertu
大夏	daxia
氧气地质历史	yangqidizhilishi
訛答剌	edala
臺形遺址	taixingyizhi
神圣简约主义	shenshengjianyuezhuyi
昭妃	zhaofei
甘地傳	gandichuan
美拉德反应	meiladefanying
戈林電報	gelindianbao
史前音乐	shiqianyinle
現代史	xiandaishi
非轉向長期囚	feizhuanxiangzhangqiqiu
活字印刷术	huoziyinshuashu
西方哲学史	xifangzhexueshi
世界大戰	shijiedazhan
团结史观	tuanjieshiguan
时代错误遗物	shidaicuowuyiwu
戰國鬼才傳	zhanguoguicaichuan
主體史學	zhutishixue
使节	shijie
海事史	haishishi
殘存國家	cancunguojia
終極三國	zhongjisanguo
佛陀	fotuo
军事封土制	junshifengtuzhi
罗曼式建筑	luomanshijianzhu
革命浪潮	geminglangchao
理性主义	lixingzhuyi
大惡司	daesi
德赫巴思	dehebasi
时代错置	shidaicuozhi
河北起事	hebeiqishi
故居	guju
舒特拉猶太人	shutelayoutairen
非利士人	feilishiren
加利利海	jialilihai
光之採石場	guangzhicaishichang
政治思想史	zhengzhisixiangshi
知识分子	zhishifenzi
飛行動物	feixingdongwu
塔西文化	taxiwenhua
潘德克顿学派	pandekedunxuepai
基督纪年	jidujinian
迷宮中的將軍	migongzhongdejiangjun
生物学	shengwuxue
月亮和六便士	yueliangheliubianshi
八旗都统衙门	baqidoutongyamen
歷女	linv
开国大典	kaiguodadian
孔蒂蘇尤	kongdisuyou
張弼士故居	zhangbishiguju
犹太自治主义	youtaizizhizhuyi
東華漢學	donghuahanxue
经济社会化	jingjishehuihua
孙文斌	sunwenbin
牦牛羌	maoniuqiang
织田肉桂信长	zhitianrouguixinzhang
历史议题	lishiyiti
人類演化	renleiyanhua
新加坡古石	xinjiapogushi
越南五年計劃	yuenanwunianjihua
公历日期列表	gongliriqiliebiao
史學方法	shixuefangfa
计量经济史	jiliangjingjishi
时区列表	shiquliebiao
美洲历史	meizhoulishi
萤火之爱	yinghuozhiai
古典哲学	gudianzhexue
都靈裹屍布	doulingguoshibu
信鸽	xinge
数学史	shuxueshi
货币学	huobixue
折毛事件	zhemaoshijian
历史的教训	lishidejiaoxun
設計史	shejishi
阿吉洛夫	ajiluofu
旋風計算機	xuanfengjisuanji
幽灵宇航员	youlingyuhangyuan
安汶大屠杀	anwendatusha
超越快樂原則	chaoyuekuaileyuanze
怪盜	guaidao
肯迪	kendi
人类简史	renleijianshi
卡普阿义肢	kapuayizhi
五印度	wuyindu
沙桌	shazhuo
大臺北古地圖	dataibeiguditu
歷史批判	lishipipan
梅明根之戰	meiminggenzhizhan
植物考察	zhiwukaocha
西喀喇汗国	xikalahanguo
傑克	jieke
塞夸尼人	saikuaniren
乾隆臺灣地圖	qianlongtaiwanditu
自由意志主義	ziyouyizhizhuyi
沃平	woping
新闻思想史	xinwensixiangshi
信史	xinshi
普遍歷史	pubianlishi
猶大王國	youdawangguo
黎代	lidai
瓦斯孔人	wasikongren
垃圾電郵	lajidianyou
接受理論	jieshoulilun
政治史	zhengzhishi
五代史補	wudaishibu
邦联条例	bangliantiaoli
植物学	zhiwuxue
生物分類法	shengwufenleifa
达山村屠杀	dashancuntusha
文物	wenwu
塞提一世石棺	saitiyishishiguan
蒙古征服中国	mengguzhengfuzhongguo
航天史	hangtianshi
金冊	jince
英國戰後時期	yingguozhanhoushiqi
考古学	kaoguxue
前亞當假說	qianyadangjiashuo
自我意識	ziwoyishi
八小时工作制	baxiaoshigongzuozhi
堕落之海	duoluozhihai
文化遗产	wenhuayichan
匋伻	taobeng
鸦片灯	yapiandeng
兵农合一	bingnongheyi
情色描绘	qingsemiaohui
三族	sanzu
姊嫁物語	zijiawuyu
巴比倫諾基亞	babilunnuojiya
曼坤天克朗寺	mankuntiankelangsi
李暠	ligao
九伟人	jiuweiren
古戰場傳奇	guzhanchangchuanqi
世界历史	shijielishi
閩南海商	minnanhaishang
王冠	wangguan
毒梟	duxiao
热释光测年法	reshiguangcenianfa
夷	yi
坪林虎字碑	pinglinhuzibei
帝国列表	diguoliebiao
交广春秋	jiaoguangchunqiu
生物	shengwu
冥想	mingxiang
歷史研究	lishiyanjiu
中華民國國寶	zhonghuaminguoguobao
神明裁判	shenmingcaipan
新印加国	xinyinjiaguo
边际主义	bianjizhuyi
中古波斯文學	zhonggubosiwenxue
弓騎兵	gongqibing
加斯科涅	jiasikenie
社会历史学	shehuilishixue
倫理學歷史	lunlixuelishi
黃坤堯	huangkunyao
大西洋革命	daxiyanggeming
科普特人	keputeren
皇室风流史	huangshifengliushi
卡米	kami
心物問題	xinwuwenti
農業社會	nongyeshehui
拉失德史	lashideshi
無夏之年	wuxiazhinian
进步与贫困	jinbuyupinkun
色诺芬尼	senuofenni
胡人	huren
古裝劇	guzhuangju
古代史	gudaishi
九十六號公路	jiushiliuhaogonglu
世界观	shijieguan
傳播論	chuanbolun
聖冠傳說	shengguanchuanshuo
科穆宁王朝	kemuningwangchao
中國猶太人	zhongguoyoutairen
稽察覺羅學	jichajueluoxue
鏢人	biaoren
植物	zhiwu
世纪	shiji
本位主义	benweizhuyi
盐业专卖	yanyezhuanmai
伪考古学	weikaoguxue
庄西言	zhuangxiyan
蔡斯墓穴	caisimuxue
本月文化人物	benyuewenhuarenwu
哨兵	shaobing
青邱圖	qingqiutu
年	nian
思悼	sidao
身着獅皮	shenzheshipi
黃金神威	huangjinshenwei
江表傳	jiangbiaochuan
欽察	qincha
秦土协定	qintuxieding
法国历史遗迹	faguolishiyiji
製飾頭骨	zhishitougu
第三羅馬	disanluoma
飞鸽传书	feigechuanshu
植物史	zhiwushi
親軍	qinjun
烈火中的考验	liehuozhongdekaoyan
塞法迪犹太人	saifadiyoutairen
章和	zhanghe
苏吉丹	sujidan
斯佩耶爾報告	sipeiyeerbaogao
百年翻譯運動	bainianfanyiyundong
鄂圖曼細密畫	etumanximihua
归纳推理	guinatuili
古美术大师	gumeishudashi
经院哲学	jingyuanzhexue
索爾威太空人	suoerweitaikongren
自由民	ziyoumin
正義即公平	zhengyijigongping
