# 泰深输入法专业词库 — math
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
可展曲面	kezhanqumian
积分方程	jifenfangcheng
算法	suanfa
巴苏定理	basudingli
城市广场	chengshiguangchang
离散对数	lisanduishu
數學謎題	shuxuemiti
平均曲率	pingjunqulv
代數組合學	daishuzuhexue
半偏方面體錐	banpianfangmiantizhui
背包问题	beibaowenti
约瑟夫斯问题	yuesefusiwenti
绝对值不等式	jueduizhibudengshi
数学符号表	shuxuefuhaobiao
信賴區間	xinlaiqujian
互相矛盾	huxiangmaodun
多元变量统计	duoyuanbianliangtongji
希洛西七面體	xiluoxiqimianti
參數	canshu
欧几里得几何	oujilidejihe
半群	banqun
现金价值	xianjinjiazhi
弦理論	xianlilun
自然密度	ziranmidu
上校賽局	shangxiaosaiju
二項式係數	erxiangshixishu
精算學	jingsuanxue
九引理	jiuyinli
長直線	zhangzhixian
统计学	tongjixue
闵嗣鹤	minsihe
八次方程	bacifangcheng
帕累托效率	paleituoxiaolv
元素	yuansu
低基定理	dijidingli
密码学	mimaxue
擬柱體	nizhuti
描述统计学	miaoshutongjixue
豪斯多夫维数	haosiduofuweishu
数列极限	shuliejixian
迭代函数	diedaihanshu
有界	youjie
獵鹿賽局	lielusaiju
最小上界性	zuixiaoshangjiexing
平均绝对误差	pingjunjueduiwucha
幺半群	yaobanqun
欧拉计划	oulajihua
四平方和定理	sipingfanghedingli
矩阵分解	juzhenfenjie
欧拉乘积	oulachengji
海盗博弈	haidaoboyi
不连续点	bulianxudian
五次方程	wucifangcheng
微积分学	weijifenxue
最後通牒賽局	zuihoutongdiesaiju
系统尺度展开	xitongchiduzhankai
指长比	zhizhangbi
連鎖蝶變	liansuodiebian
運算數	yunsuanshu
立体几何	litijihe
智猪博弈	zhizhuboyi
切空间	qiekongjian
弯曲空间	wanqukongjian
演绎定理	yanyidingli
范德華方程式	fandehuafangchengshi
曲率张量	qulvzhangliang
双射法	shuangshefa
类型论	leixinglun
极值	jizhi
蘭道函數	landaohanshu
围棋与数学	weiqiyushuxue
凱萊表	kailaibiao
阿基米德公理	ajimidegongli
世界數學日	shijieshuxueri
出入相补	churuxiangbu
仰角	yangjiao
随机博弈	suijiboyi
四则运算	sizeyunsuan
平面	pingmian
分角定理	fenjiaodingli
數值進位	shuzhijinwei
涵道比	handaobi
柱面	zhumian
圆排列	yuanpailie
中心极限定理	zhongxinjixiandingli
波函数	bohanshu
冈布茨	gangbuci
逐点	zhudian
狄利克雷问题	dilikeleiwenti
度规	dugui
增失根	zengshigen
概率质量函数	gailvzhilianghanshu
齐性空间	qixingkongjian
十邊形數	shibianxingshu
莱邦博骨	laibangbogu
同旁外角	tongpangwaijiao
潜空间	qiankongjian
上界和下界	shangjiehexiajie
连续优化	lianxuyouhua
正切定理	zhengqiedingli
整方根函数	zhengfanggenhanshu
尺度分析	chidufenxi
磁感应方程	ciganyingfangcheng
神探伽利略	shentangalilve
華林問題	hualinwenti
公理模式	gonglimoshi
