# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

上皮附着	shangpifuzhuo
上睑下垂	shangjianxiachui
上睑提肌缩短术	shangjiantijisuoduanshu
上睫鳞	shangjielin
上石炭纪	shangshitanji
上神经骨	shangshenjinggu
上第二尖	shangdierjian
上系带	shangjidai
上翼状骨	shangyizhuanggu
上耳骨	shangergu
上耻骨	shangchigu
上肋凹	shangleiao
上肋骨	shangleigu
上肛附器	shanggangfuqi
上肢长	shangzhichang
上肩胛骨	shangjianjiagu
上背板	shangbeiban
上胚层	shangpeiceng
上胚层原肠	shangpeicengyuanchang
上胚层原肠胚形成	shangpeicengyuanchangpeixingcheng
上胚轴	shangpeizhou
上胸骨	shangxionggu
上腋瓣	shangyeban
上腔静脉	shangqiangjingmai
上腔静脉梗阻	shangqiangjingmaigengzu
上腔静脉综合征	shangqiangjingmaizonghezheng
上腹板	shangfuban
上腹甲	shangfujia
上腹部	shangfubu
上膊骨	shangbogu
上臀板	shangtunban
上舌骨	shangshegu
上菌环	shangjunhuan
上行层析	shangxingcengxi
上行色谱法	shangxingsepufa
上表皮	shangbiaopi
上角层	shangjiaoceng
上近中颊尖	shangjinzhongjiajian
上锁骨	shangsuogu
上隅骨	shangyugu
上颌体	shangheti
上颌侧位体层片	shangheceweiticengpian
上颌前突	shangheqiantu
上颌前部截骨术	shangheqianbujiegushu
上颌后前体层片	shanghehouqianticengpian
上颌后缩	shanghehousuo
上颌横行截骨术	shanghehengxingjiegushu
上颌横行骨折	shanghehengxingguzhe
上颌水平截骨术	shangheshuipingjiegushu
上颌水平骨折	shangheshuipingguzhe
上颌牙	shangheya
上颌牙槽座点	shangheyacaozuodian
上颌突	shanghetu
上颌窦	shanghedou
上颌结节注射法	shanghejiejiezhushefa
上颌锥形截骨术	shanghezhuixingjiegushu
上颌锥形骨折	shanghezhuixingguzhe
上颌骨	shanghegu
上颌骨炎	shangheguyan
上颌骨齿槽突	shangheguchicaotu
上颚内突	shangeneitu
上颚基	shangeji
上颚片	shangepian
上颚齿	shangechi
上骨凸	shanggutu
上髁	shangke
上髁炎	shangkeyan
上髓帆	shangsuifan
上鳃骨	shangsaigu
上鼻鳞	shangbilin
下丘脑	xiaqiunao
下丘脑促垂体激素	xiaqiunaocuchuitijisu
下丘脑激素	xiaqiunaojisu
下丘脑释放因子	xiaqiunaoshifangyinzi
下丘脑释放激素	xiaqiunaoshifangjisu
下丘臂	xiaqiubi
下主静脉	xiazhujingmai
下产孢组织	xiachanbaozuzhi
下伞面	xiasanmian
下位基因	xiaweijiyin
下位子房	xiaweizifang
下位式	xiaweishi
下位瘦果	xiaweishouguo
下关节	xiaguanjie
下内尖	xianeijian
下前侧片	xiaqiancepian
下原尖	xiayuanjian
下口板	xiakouban
下后侧板	xiahouceban
下后侧片	xiahoucepian
下后尖	xiahoujian
下咽头	xiayantou
下唇上叶	xiachunshangye
