# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

游离基因	youlijiyin
游离核	youlihe
游离皮瓣	youlipiban
游离皮肤移植	youlipifuyizhi
游离皮肤移植术	youlipifuyizhishu
游离碱	youlijian
游离端固定桥	youliduangudingqiao
游离组织移植术	youlizuzhiyizhishu
游离组织移植物	youlizuzhiyizhiwu
游离细菌	youlixijun
游离缘	youliyuan
游离肌皮瓣	youlijipiban
游离胰岛素	youliyidaosu
游离脂肪酸	youlizhifangsuan
游离酸	youlisuan
游离颊	youlijia
游离龈	youliyin
游离龈沟	youliyingou
游走性舌炎	youzouxingsheyan
游走细胞	youzouxibao
游走肾	youzoushen
游走肾危象	youzoushenweixiang
游隼	yousun
湖上层	hushangceng
湖下层	huxiaceng
湖底近岸带	hudijinandai
湖底静水层	hudijingshuiceng
湖水浅到可以长植物	hushuiqiandaokeyichangzhiwu
湖沼浮游生物	huzhaofuyoushengwu
湖沼群落	huzhaoqunluo
湖边沙滩	hubianshatan
湖面动荡层	humiandongdangceng
湿动态	shidongtai
湿包裹	shibaoguo
湿地群落	shidiqunluo
湿地草本群落	shidicaobenqunluo
湿室	shishi
湿度测定法	shiducedingfa
湿性坏疽	shixinghuaiju
湿敷	shifu
湿旱生植物	shihanshengzhiwu
湿沼泽地	shizhaozedi
湿热作用	shirezuoyong
湿生动物	shishengdongwu
湿生型	shishengxing
湿生植物	shishengzhiwu
湿疹样癌	shizhenyangai
湿裂	shilie
湿重	shizhong
溃疡形成	kuiyangxingcheng
溃疡性口炎	kuiyangxingkouyan
溃疡性扁平苔藓	kuiyangxingbianpingtaixian
溃疡性皮肤结核	kuiyangxingpifujiehe
源株	yuanzhu
溞状幼体	saozhuangyouti
溢出型连续发酵	yichuxinglianxufajiao
溢泌	yimi
溢泌作用	yimizuoyong
溢泌物	yimiwu
溢流生产	yiliushengchan
溢液	yiye
溪河群落	xihequnluo
溪流群落	xiliuqunluo
溪生藻类	xishengzaolei
溴乙锭	xiuyiding
溴代琥珀酰亚胺	xiudaihupoxianyaan
溴化乙锭	xiuhuayiding
溴化已烷双胺	xiuhuayiwanshuangan
溴化氰	xiuhuaqing
溴尿嘧啶	xiuniaomiding
溴疹	xiuzhen
溴胞嘧啶	xiubaomiding
溴苄铵	xiubianan
溴酚蓝	xiufenlan
溶剂传送系统	rongjichuansongxitong
溶剂合离子	rongjihelizi
溶剂吸附作用	rongjixifuzuoyong
溶剂处理器	rongjichuliqi
溶剂用量	rongjiyongliang
溶剂致液晶	rongjizhiyejing
溶剂萃取	rongjicuiqu
溶剂解作用	rongjijiezuoyong
溶剂解离	rongjijieli
溶化作用	ronghuazuoyong
溶原化	rongyuanhua
溶原化作用	rongyuanhuazuoyong
溶原化状态	rongyuanhuazhuangtai
溶原性	rongyuanxing
溶原性噬菌体	rongyuanxingshijunti
溶原性细菌	rongyuanxingxijun
溶原株	rongyuanzhu
溶原现象	rongyuanxianxiang
溶原病毒	rongyuanbingdu
溶原细菌	rongyuanxijun
溶原菌	rongyuanjun
溶原转化	rongyuanzhuanhua
溶原转变	rongyuanzhuanbian
溶原途径	rongyuantujing
溶合作用	ronghezuoyong
溶合胞体素	ronghebaotisu
溶噬菌体素	rongshijuntisu
溶媒	rongmei
溶杆菌素	rongganjunsu
溶栓	rongshuan
溶氧浓度	rongyangnongdu
溶泡作用	rongpaozuoyong
溶洗	rongxi
溶液培养	rongyepeiyang
溶淋巴细胞剂	ronglinbaxibaoji
溶清蛋白素	rongqingdanbaisu
溶源性	rongyuanxing
溶源性细菌	rongyuanxingxijun
溶源菌	rongyuanjun
溶癌作用	rongaizuoyong
溶癌素	rongaisu
溶皮素	rongpisu
溶真菌作用	rongzhenjunzuoyong
溶神经素	rongshenjingsu
溶精于素	rongjingyusu
溶素	rongsu
溶素原	rongsuyuan
溶素生成	rongsushengcheng
溶纤剂纤溶剂	rongxianjixianrongji
溶细胞性	rongxibaoxing
溶细胞毒素	rongxibaodusu
溶细胞素	rongxibaosu
溶肉瘤素	rongrouliusu
溶肉细胞	rongrouxibao
溶肾素	rongshensu
溶胞	rongbao
溶胞产物	rongbaochanwu
溶胞作用	rongbaozuoyong
溶胞抑制	rongbaoyizhi
溶胞现象	rongbaoxianxiang
溶胞酶	rongbaomei
溶胶团聚体	rongjiaotuanjuti
溶脂素	rongzhisu
溶苗酶	rongmiaomei
溶药剂	rongyaoji
溶菌	rongjun
溶菌产物	rongjunchanwu
溶菌作用	rongjunzuoyong
溶菌原	rongjunyuan
溶菌周期	rongjunzhouqi
溶菌抑制	rongjunyizhi
溶菌液	rongjunye
溶菌现象	rongjunxianxiang
溶菌素	rongjunsu
溶菌酶	rongjunmei
溶葡球菌酶	rongpuqiujunmei
溶血产物	rongxuechanwu
溶血作用	rongxuezuoyong
溶血卵磷脂	rongxueluanlinzhi
溶血因子	rongxueyinzi
溶血性抗体	rongxuexingkangti
溶血性链球菌性坏疽	rongxuexinglianqiujunxinghuaiju
溶血性黄疸	rongxuexinghuangdan
溶血指数	rongxuezhishu
溶血毒素	rongxuedusu
溶血液	rongxueye
溶血磷脂	rongxuelinzhi
溶血磷脂酰胆碱	rongxuelinzhixiandanjian
溶血磷脂酶	rongxuelinzhimei
溶血磷脂酸	rongxuelinzhisuan
溶血磷酸甘油酯	rongxuelinsuanganyouzhi
溶血神经节苷脂	rongxueshenjingjieganzhi
溶血精脂	rongxuejingzhi
溶血糖脂	rongxuetangzhi
溶血素	rongxuesu
溶血脑硫脂	rongxuenaoliuzhi
溶血脑磷脂	rongxuenaolinzhi
溶血蚀斑试验	rongxueshibanshiyan
溶血补体量	rongxuebutiliang
溶血链球菌	rongxuelianqiujun
溶解产物	rongjiechanwu
溶解性坏死	rongjiexinghuaisi
溶质性利尿	rongzhixingliniao
溶软组织细胞	rongruanzuzhixibao
溶酶	rongmei
溶酶体	rongmeiti
溶酶体病	rongmeitibing
溶酶体的酸性磷酸酶	rongmeitidesuanxinglinsuanmei
溶酶体缺陷症	rongmeitiquexianzheng
溶酶体贮积症	rongmeitizhujizheng
溶酶体酶	rongmeitimei
溶酶原	rongmeiyuan
溶髓鞘质素	rongsuiqiaozhisu
滋养体	ziyangti
滋养外胚层	ziyangwaipeiceng
滋养子	ziyangzi
滋养层	ziyangceng
滋养层细胞	ziyangcengxibao
滋养核	ziyanghe
滋养海绵层	ziyanghaimianceng
滋养细胞	ziyangxibao
滋养羊膜	ziyangyangmo
滋养袋	ziyangdai
滋养质	ziyangzhi
滋养质溶解	ziyangzhirongjie
滋卵细胞	ziluanxibao
滑动关节	huadongguanjie
滑动器械台	huadongqixietai
滑动性食管裂孔疝	huadongxingshiguanliekongshan
滑液	huaye
滑液囊	huayenang
滑液蛋白	huayedanbai
滑液鞘	huayeqiao
滑疝	huashan
滑膜	huamo
滑膜切除术	huamoqiechushu
滑膜层	huamoceng
滑膜瘤	huamoliu
滑膜绒毛	huamorongmao
滑膜肉瘤	huamorouliu
滑菌醌	huajunkun
滑行截骨术	huaxingjiegushu
滑车神经	huacheshenjing
滑过生长	huaguoshengzhang
滑齿龙	huachilong
滗析	bixi
滚子泵	gunzibeng
滚环	gunhuan
滚环复制	gunhuanfuzhi
滚环模型	gunhuanmoxing
滚瓶	gunping
滚瓶培养	gunpingpeiyang
滚翻机制	gunfanjizhi
滚轴取皮刀	gunzhouqupidao
滞后酶	zhihoumei
滞留发生	zhiliufasheng
滞缓现象	zhihuanxianxiang
滞育	zhiyu
滞育时间	zhiyushijian
滞育期	zhiyuqi
滞育激素	zhiyujisu
滤光作用	lvguangzuoyong
滤光器	lvguangqi
滤出液	lvchuye
滤器架	lvqijia
滤泡	lvpao
滤泡周围区带	lvpaozhouweiqudai
滤泡型成釉细胞瘤	lvpaoxingchengyouxibaoliu
滤泡性膀胱炎	lvpaoxingpangguangyan
滤泡激素	lvpaojisu
滤泡生成	lvpaoshengcheng
滤泡细胞	lvpaoxibao
滤泡腺	lvpaoxian
滤泡黄体细胞	lvpaohuangtixibao
滤液	lvye
滤纸商品名称	lvzhishangpinmingcheng
滤膜	lvmo
滤膜杂交	lvmozajiao
滤过	lvguo
滤过分数	lvguofenshu
滤过性	lvguoxing
滤过性病毒	lvguoxingbingdu
滤食性动物	lvshixingdongwu
滥交质粒	lanjiaozhili
滴入法	dirufa
滴加	dijia
滴定度	didingdu
滴定曲线	didingquxian
滴注	dizhu
滴注法	dizhufa
滴液培养	diyepeiyang
滴液漏斗	diyeloudou
滴滤膜	dilvmo
滴漏细胞	dilouxibao
滴点形	didianxing
滴状副银屑病	dizhuangfuyinxiebing
滴状扁平苔藓	dizhuangbianpingtaixian
滴状硬斑病	dizhuangyingbanbing
滴状银屑病	dizhuangyinxiebing
滴虫形幼虫	dichongxingyouchong
滴虫形幼虫原体	dichongxingyouchongyuanti
滴虫性前列腺炎	dichongxingqianliexianyan
滴虫性包皮阴茎头炎	dichongxingbaopiyinjingtouyan
滴虫性尿道膀胱炎	dichongxingniaodaopangguangyan
漂变	piaobian
漂浮植物	piaofuzhiwu
漂浮植物群落	piaofuzhiwuqunluo
漂浮植被	piaofuzhibei
漂浮毛茛	piaofumaogen
漂浮生物	piaofushengwu
漂浮系数	piaofuxishu
漂浮组织	piaofuzuzhi
漆儿茶酚	qierchafen
漆树属植物	qishushuzhiwu
漆树皮炎	qishupiyan
漆树酸	qishusuan
漆树黄酮	qishuhuangtong
漆酶	qimei
漏出液	louchuye
漏出物	louchuwu
漏尿	louniao
漏损量	lousunliang
漏斗胸	loudouxiong
漏斗胸矫正术	loudouxiongjiaozhengshu
漏斗腺	loudouxian
漏斗部闭锁	loudoububisuo
演替	yanti
演替系列	yantixilie
演替系列单优种群落	yantixiliedanyouzhongqunluo
演替系列变群丛	yantixiliebianquncong
演替系列组合	yantixiliezuhe
演替系列顶极植物群落	yantixiliedingjizhiwuqunluo
演替群丛	yantiquncong
演替顶极	yantidingji
演进变形	yanjinbianxing
漩涡浴	xuanwoyu
漫反射系数	manfanshexishu
漫游生物	manyoushengwu
漳州水仙碱	zhangzhoushuixianjian
潘帕斯群落	panpasiqunluo
潜伏噬菌体	qianfushijunti
潜伏型病毒	qianfuxingbingdu
潜伏性感染	qianfuxingganran
潜伏梅毒	qianfumeidu
潜伏病毒	qianfubingdu
潜伏的变异性	qianfudebianyixing
潜伏芽	qianfuya
潜函	qianhan
潜叶虫	qianyechong
潜在差异	qianzaichayi
潜在病毒	qianzaibingdu
潜在结合位点	qianzaijieheweidian
潜在酶	qianzaimei
潜底性动物	qiandixingdongwu
潜育	qianyu
潜蚤	qianzao
潜蚤病	qianzaobing
潜行剥离	qianxingboli
潜行性龋	qianxingxingqu
潜隐体	qianyinti
潮气末	chaoqimo
潮汐海岸	chaoxihaian
潮沼	chaozhao
潮流气	chaoliuqi
潮湿的土壤	chaoshideturang
潮线下群落	chaoxianxiaqunluo
潮群	chaoqun
潮间岩生境	chaojianyanshengjing
潴泡	zhupao
潴留	zhuliu
潴留囊肿	zhuliunangzhong
澄清裂解液	chengqingliejieye
澄清过滤	chengqingguolv
澄解酶	chengjiemei
澳大利亚抗原	aodaliyakangyuan
澳洲茄碱	aozhouqiejian
澳洲茄边碱	aozhouqiebianjian
澳洲蛙皮肽	aozhouwapitai
激光伤	jiguangshang
激光光解	jiguangguangjie
激光切割手术	jiguangqiegeshoushu
激光外科	jiguangwaike
激光心肌血运重建术	jiguangxinjixueyunchongjianshu
激光扫描	jiguangsaomiao
激光扫描共焦显微镜	jiguangsaomiaogongjiaoxianweijing
激光毛发移植	jiguangmaofayizhi
激光生物学	jiguangshengwuxue
激光皮肤磨削术	jiguangpifumoxueshu
激光育种	jiguangyuzhong
激光荧光诊断技术	jiguangyingguangzhenduanjishu
激动剂	jidongji
激动素	jidongsu
激发光谱	jifaguangpu
激发因子	jifayinzi
激发子	jifazi
激发排卵	jifapailuan
激发期	jifaqi
激发波长	jifabochang
激感	jigan
激感性	jiganxing
激感现象	jiganxianxiang
激活中心	jihuozhongxin
激活因子	jihuoyinzi
激活子	jihuozi
激活态	jihuotai
激活活化	jihuohuohua
激活物	jihuowu
激活蛋白	jihuodanbai
激活酶	jihuomei
激活阈	jihuoyu
激糖素	jitangsu
激素依赖性皮炎	jisuyilaixingpiyan
激素免疫测定	jisumianyiceding
激素原	jisuyuan
激素受体	jisushouti
激素生成	jisushengcheng
激肽	jitai
激肽原	jitaiyuan
激肽原酶	jitaiyuanmei
激肽酶	jitaimei
激肽释放酶	jitaishifangmei
激肽释放酶原	jitaishifangmeiyuan
激酶	jimei
激酶原	jimeiyuan
濒死心律	binsixinlv
灌木状生长	guanmuzhuangshengzhang
灌注不足	guanzhubuzu
灌注充分	guanzhuchongfen
灌注压	guanzhuya
灌注后综合征	guanzhuhouzonghezheng
灌注损伤	guanzhusunshang
灌注液	guanzhuye
灌注肺	guanzhufei
灌洗	guanxi
灌流培养系统	guanliupeiyangxitong
灌肠剂	guanchangji
灌肠法	guanchangfa
火器伤	huoqishang
火棉胶	huomianjiao
火烧演替顶极	huoshaoyantidingji
火焰光谱测定法	huoyanguangpucedingfa
火焰分光光度计	huoyanfenguangguangduji
火焰烧伤	huoyanshaoshang
火箭免疫电泳	huojianmianyidianyong
火箭电泳	huojiandianyong
火绒状质地	huorongzhuangzhidi
火花幻视	huohuahuanshi
灭害剂	miehaiji
灭活因子	miehuoyinzi
灭活疫苗	miehuoyimiao
灭病媒	miebingmei
灭病菌素	miebingjunsu
灭菌	miejun
灭菌溶液	miejunrongye
灭鼠剂	mieshuji
灯刷	dengshua
灯刷染色体	dengshuaranseti
灯心草沼泽	dengxincaozhaoze
灰分分析	huifenfenxi
灰化作用	huihuazuoyong
灰壤	huirang
灰新月区	huixinyuequ
灰毛紫穗槐	huimaozisuihuai
灰泥角化病	huinijiaohuabing
灰结节	huijiejie
灰绿曲霉素	huilvqumeisu
灰绿霉素	huilvmeisu
灰绿青霉	huilvqingmei
灰胡桃	huihutao
灰色新月	huisexinyue
灰色链霉菌	huiselianmeijun
灰蝶科	huidieke
灰质	huizhi
灰质体	huizhiti
灰质簇	huizhicu
灰钙土	huigaitu
灰链菌素	huilianjunsu
灰霉素	huimeisu
灰霉胺	huimeian
灰鹅膏	huiegao
灰黄霉素	huihuangmeisu
灵猫酮	lingmaotong
灵菌红素	lingjunhongsu
灵长目动物学	lingzhangmudongwuxue
灵长类动物	lingzhangleidongwu
灶性皮肤发育不全	zaoxingpifufayubuquan
灼性神经痛	zhuoxingshenjingtong
灾前期	zaiqianqi
灾后期	zaihouqi
灾害医学	zaihaiyixue
灾害期	zaihaiqi
灾害防备	zaihaifangbei
灾情监测	zaiqingjiance
炎性假瘤	yanxingjialiu
炎性充血	yanxingchongxue
炎性息肉	yanxingxirou
炎性根旁囊肿	yanxinggenpangnangzhong
炎性水肿	yanxingshuizhong
炎性线状疣状表皮痣	yanxingxianzhuangyouzhuangbiaopizhi
炎性肠疾病	yanxingchangjibing
炎症致热素	yanzhengzhiresu
炔基	queji
炔还原试法	quehuanyuanshifa
炔酸	quesuan
炭末沉着	tanmochenzhuo
炭疽菌素	tanjujunsu
炭疽霉素	tanjumeisu
炭粒凝集试验	tanliningjishiyan
炮骨	paogu
点凹甲	dianaojia
点接受突变	dianjieshoutubian
点状掌跖角化病	dianzhuangzhangzhijiaohuabing
点状桥粒	dianzhuangqiaoli
点状皮片	dianzhuangpipian
点突变	diantubian
点隙	dianxi
烈性噬菌体	liexingshijunti
烈性病毒	liexingbingdu
烛罐	zhuguan
烟卷式引流	yanjuanshiyinliu
烟尿酸	yanniaosuan
烟斑	yanban
烟曲霉	yanqumei
烟曲霉素	yanqumeisu
烟曲霉酸	yanqumeisuan
烟曲霉醌	yanqumeikun
烟碱中毒	yanjianzhongdu
烟碱性口炎	yanjianxingkouyan
烟草天蛾	yancaotiane
烟草碱	yancaojian
烟草胺	yancaoan
烟草脆裂病毒	yancaocuiliebingdu
烟草花叶病毒	yancaohuayebingdu
烟草香素	yancaoxiangsu
烟褐色	yanhese
烟酰	yanxian
烟酰甘氨酸	yanxianganansuan
烟酰胺	yanxianan
烟酰胺单核苷酸	yanxianandanhegansuan
烟酰胺核苷酸	yanxiananhegansuan
烟酰胺甲基激酶	yanxiananjiajijimei
烟酰胺甲基转移酶	yanxiananjiajizhuanyimei
烟酰胺的总称	yanxianandezongcheng
烟酰胺腺	yanxiananxian
烟酰胺腺嘌呤二核苷	yanxiananxianpiaolingerhegan
烟酰胺腺嘌呤二核苷酸	yanxiananxianpiaolingerhegansuan
烟酰胺腺嘌呤二核苷酸磷	yanxiananxianpiaolingerhegansuanlin
烟酰胺腺嘌呤二核苷酸磷酸	yanxiananxianpiaolingerhegansuanlinsuan
烟酰胺酶	yanxiananmei
烟酸	yansuan
烟酸内盐	yansuanneiyan
烟酸单核苷酸焦磷酸化酶	yansuandanhegansuanjiaolinsuanhuamei
烟酸盐	yansuanyan
烟酸磷酸核糖基转移酶	yansuanlinsuanhetangjizhuanyimei
烟酸脱氢酶	yansuantuoqingmei
烟雾吸入损伤	yanwuxirusunshang
烟雾病	yanwubing
烤瓷熔附金属修复体	kaocirongfujinshuxiufuti
烧伤中心	shaoshangzhongxin
烧伤创面	shaoshangchuangmian
烧伤创面愈合	shaoshangchuangmianyuhe
烧伤创面脓毒症	shaoshangchuangmiannongduzheng
烧伤合并中毒	shaoshanghebingzhongdu
烧伤合并脊髓损伤	shaoshanghebingjisuisunshang
烧伤后假性糖尿病	shaoshanghoujiaxingtangniaobing
烧伤后病毒感染	shaoshanghoubingduganran
烧伤后精神紊乱	shaoshanghoujingshenwenluan
烧伤后肾上腺出血	shaoshanghoushenshangxianchuxie
烧伤处理	shaoshangchuli
烧伤学	shaoshangxue
烧伤并发症	shaoshangbingfazheng
烧伤性休克	shaoshangxingxiuke
烧伤感染	shaoshangganran
烧伤指数	shaoshangzhishu
烧伤敷料	shaoshangfuliao
烧伤残余创面	shaoshangcanyuchuangmian
烧伤毒素	shaoshangdusu
烧伤深度	shaoshangshendu
烧伤灾难	shaoshangzainan
烧伤病人后送	shaoshangbingrenhousong
烧伤病人转送	shaoshangbingrenzhuansong
烧伤病房	shaoshangbingfang
烧伤瘢痕恶性变	shaoshangbanhenexingbian
烧伤瘢痕挛缩	shaoshangbanhenluansuo
烧伤脑病	shaoshangnaobing
烧伤面积	shaoshangmianji
烧伤面积手掌估算法	shaoshangmianjishouzhanggusuanfa
烧冲复合伤	shaochongfuheshang
烧放复合伤	shaofangfuheshang
烧焦臭	shaojiaochou
烧焦臭味	shaojiaochouwei
烧结作用	shaojiezuoyong
烬灰红菌素	jinhuihongjunsu
热不稳定抗体	rebuwendingkangti
热休克	rexiuke
热休克蛋白	rexiukedanbai
热伤	reshang
热凝固术	reninggushu
热凝固疗法	reningguliaofa
热力学参数	relixuecanshu
热卡摄取量	rekashequliang
热压伤	reyashang
热压杀菌	reyashajun
热原	reyuan
热原效应	reyuanxiaoying
热变性	rebianxing
热变性曲线图	rebianxingquxiantu
热带念珠菌	redainianzhujun
热带旱生林	redaihanshenglin
热带植丛	redaizhicong
热带沼泽草原	redaizhaozecaoyuan
热带溃疡	redaikuiyang
热带生物	redaishengwu
热性荨麻疹	rexingxunmazhen
热扩散时间	rekuosanshijian
热抗体	rekangti
热按摩疗法	reanmoliaofa
热损伤区	resunshangqu
热毒素	redusu
热汽浴	reqiyu
热汽疗法	reqiliaofa
热滚筒挤压场	reguntongjiyachang
热滚筒烧伤	reguntongshaoshang
热激活蛋白	rejihuodanbai
热激红斑	rejihongban
热灭活	remiehuo
热烙器	relaoqi
热烙术	relaoshu
热烧伤	reshaoshang
热球蛋白	reqiudanbai
热电学	redianxue
热疗学	reliaoxue
热硫化型硅橡胶	reliuhuaxingguixiangjiao
热稳定性	rewendingxing
热穿通伤	rechuantongshang
热缺血时间	requexueshijian
热融解	rerongjie
热诱导溶源体	reyoudaorongyuanti
热辐射烧伤	refusheshaoshang
热退期	retuiqi
烯丙吗啡	xibingmafei
烯丙基	xibingji
烯丙基半胱氨酸	xibingjibanguangansuan
烯丙巯基半胱氨酸	xibingqiujibanguangansuan
烯丙醇脱氢酶	xibingchuntuoqingmei
烯二醇	xierchun
烯毒芹碱	xiduqinjian
烯番茄碱	xifanqiejian
烯胆甾烷醇	xidanzaiwanchun
烯胺互变异构现象	xianhubianyigouxianxiang
烯脑苷脂	xinaoganzhi
烯酮类	xitonglei
烯酰	xixian
烯酰基	xixianji
烯酰水合酶	xixianshuihemei
烯酸	xisuan
烯醇	xichun
烯醇丙酮酸磷酸	xichunbingtongsuanlinsuan
烯醇化作用	xichunhuazuoyong
烯醇化酶	xichunhuamei
烯醇磷酸丙酮酸	xichunlinsuanbingtongsuan
烯醇酮	xichuntong
烯醛	xiquan
烯雌酚	xicifen
烷化剂烷基化炔	wanhuajiwanjihuaque
烷基	wanji
烷基二羟丙酮激酶	wanjierqiangbingtongjimei
烷基化	wanjihua
烷基半胱氨酸裂合酶	wanjibanguangansuanliehemei
烷基卤	wanjilu
烷基巯基醛糖苷	wanjiqiujiquantanggan
烷基甘油激酶	wanjiganyoujimei
烷基酰基甘油	wanjixianjiganyou
烷基酰胺酶	wanjixiananmei
烷烯烷基	wanxiwanji
烷酸	wansuan
焦儿茶酚	jiaoerchafen
焦儿茶酸	jiaoerchasuan
焦土霉素	jiaotumeisu
焦土霉索	jiaotumeisuo
焦性没食子酸盐	jiaoxingmeishizisuanyan
焦性沥青	jiaoxingliqing
焦性酸	jiaoxingsuan
焦棒麦角碱	jiaobangmaijiaojian
焦棓酸盐	jiaobeisuanyan
焦痂	jiaojia
焦痂下细菌计数	jiaojiaxiaxijunjishu
焦痂切开术	jiaojiaqiekaishu
焦痂切除术	jiaojiaqiechushu
焦痂自溶	jiaojiazirong
焦碳酸酯	jiaotansuanzhi
焦磷酸	jiaolinsuan
焦磷酸交换反应	jiaolinsuanjiaohuanfanying
焦磷酸化酶	jiaolinsuanhuamei
焦磷酸法呢酯	jiaolinsuanfanezhi
焦磷酸盐	jiaolinsuanyan
焦磷酸硫胺素	jiaolinsuanliuansu
焦磷酸解作用	jiaolinsuanjiezuoyong
焦磷酸酶	jiaolinsuanmei
焦糖化	jiaotanghua
焦谷氨肽酶	jiaoguantaimei
焰细胞	yanxibao
焰色痣	yansezhi
煤层石球	meicengshiqiu
煤焦油烧伤	meijiaoyoushaoshang
煤结核	meijiehe
煤酚	meifen
煤酚皂溶液	meifenzaorongye
照叶林	zhaoyelin
照射剂量	zhaoshejiliang
照射剂量单位	zhaoshejiliangdanwei
照片判读	zhaopianpandu
照膜	zhaomo
熊果苷	xiongguogan
熊果酸	xiongguosuan
熊蜂毒	xiongfengdu
熏等	xundeng
熏衣草	xunyicao
熏衣草色	xunyicaose
熏衣草醇	xunyicaochun
熔解曲线	rongjiequxian
熟材	shucai
熵效应	shangxiaoying
熵温图	shangwentu
熵补偿	shangbuchang
燃烧弹烧伤	ranshaodanshaoshang
燕麦硫蛋白	yanmailiudanbai
燕麦脂硫蛋白	yanmaizhiliudanbai
爆发集落可爆发个子集落	baofajiluokebaofagezijiluo
爆发集落形成单位	baofajiluoxingchengdanwei
爆裂性骨折	baoliexingguzhe
爆裂骨折	baolieguzhe
爪下体	zhaoxiati
爪下片	zhaoxiapian
爪哇镰菌素	zhaowalianjunsu
爪垫	zhaodian
爪垫叶	zhaodianye
爪基片	zhaojipian
爪形手	zhaoxingshou
爪形突	zhaoxingtu
爪形足	zhaoxingzu
爪蟾	zhaochan
爪蟾降压肽	zhaochanjiangyatai
爪间垫	zhaojiandian
爪间突	zhaojiantu
爪骨	zhaogu
爬虫学	pachongxue
爬行纲	paxinggang
爬行虫	paxingchong
爬行运动	paxingyundong
爱德华兹心脏瓣膜	aidehuazixinzangbanmo
爱德生试验	aideshengshiyan
爱德蒙托龙	aidemengtuolong
爱滋病	aizibing
爱滋病毒	aizibingdu
爵床科	juechuangke
父亲年龄效应	fuqinnianlingxiaoying
父子群聚	fuziqunju
父子鉴别	fuzijianbie
父性遗传	fuxingyichuan
父本	fuben
父本类型	fubenleixing
父系遗传	fuxiyichuan
片层	pianceng
片段化蛋白	pianduanhuadanbai
片段大小	pianduandaxiao
片段抗体结合	pianduankangtijiehe
片段突变	pianduantubian
片段迁移率	pianduanqianyilv
片段长度	pianduanchangdu
片段长度多态性	pianduanchangduduotaixing
片清蛋白	pianqingdanbai
片状沉淀物	pianzhuangchendianwu
片状虫胶	pianzhuangchongjiao
片胶	pianjiao
牙下沉	yaxiachen
牙中牙	yazhongya
牙中线	yazhongxian
牙乳头	yarutou
牙体发育异常	yatifayuyichang
牙体外科学	yatiwaikexue
牙体解剖学	yatijiepouxue
牙体预备	yatiyubei
牙侵蚀症	yaqinshizheng
牙关紧闭	yaguanjinbi
牙内	yanei
牙内吸收	yaneixishou
牙内钉	yaneiding
牙内陷	yaneixian
牙列	yalie
牙医学	yayixue
牙及牙槽外科学	yajiyacaowaikexue
牙发生	yafasheng
牙发育	yafayu
牙周上皮剩余	yazhoushangpishengyu
牙周再附着	yazhouzaifuzhuo
牙周创伤	yazhouchuangshang
牙周协同破坏区	yazhouxietongpohuaiqu
牙周变性	yazhoubianxing
牙周塞治剂	yazhousaizhiji
牙周塞治术	yazhousaizhishu
牙周指数	yazhouzhishu
牙周新附着	yazhouxinfuzhuo
牙周牙髓联合治疗	yazhouyasuilianhezhiliao
牙周病学	yazhoubingxue
牙周病指数	yazhoubingzhishu
牙周组织	yazhouzuzhi
牙周组织激惹区	yazhouzuzhijirequ
牙周美学	yazhoumeixue
牙周翻瓣术	yazhoufanbanshu
牙周脓肿	yazhounongzhong
牙周膜	yazhoumo
牙周膜浸润麻醉	yazhoumojinrunmazui
牙周萎缩	yazhouweisuo
牙周袋	yazhoudai
牙周袋探针	yazhoudaitanzhen
牙周袋标记镊	yazhoudaibiaojinie
牙周记录表	yazhoujilubiao
牙周锉	yazhoucuo
牙周韧带	yazhourendai
牙囊	yanang
牙因概念	yayingainian
牙型	yaxing
牙垫	yadian
牙始基	yashiji
牙小皮	yaxiaopi
牙尖交错位	yajianjiaocuowei
牙尖斜度	yajianxiedu
牙尖高度	yajiangaodu
牙式	yashi
牙形成	yaxingcheng
牙形石	yaxingshi
牙成釉细胞瘤	yachengyouxibaoliu
牙挺	yating
牙排列	yapailie
牙排列不齐	yapailiebuqi
牙支持	yazhichi
牙支持式	yazhichishi
牙旁囊肿	yapangnangzhong
牙本质	yabenzhi
牙本质发生	yabenzhifasheng
牙本质发生不全	yabenzhifashengbuquan
牙本质小管	yabenzhixiaoguan
牙本质牙骨质界	yabenzhiyaguzhijie
牙本质生长线	yabenzhishengzhangxian
牙本质瘤	yabenzhiliu
牙本质过敏	yabenzhiguomin
牙本质釉质膜	yabenzhiyouzhimo
牙本质钙化不全	yabenzhigaihuabuquan
牙根拔除术	yagenbachushu
牙根挺	yagenting
牙根融合	yagenronghe
牙根覆盖	yagenfugai
牙槽基骨	yacaojigu
牙槽嵴延展术	yacaojiyanzhanshu
牙槽嵴形态学	yacaojixingtaixue
牙槽嵴纤维	yacaojixianwei
牙槽嵴顶	yacaojiding
牙槽正中囊肿	yacaozhengzhongnangzhong
牙槽粘膜	yacaonianmo
牙槽脓肿	yacaonongzhong
牙槽裂	yacaolie
牙槽骨切除术	yacaoguqiechushu
牙槽骨膜	yacaogumo
牙槽龈纤维	yacaoyinxianwei
牙模型	yamoxing
牙比色系统	yabisexitong
牙清洁剂	yaqingjieji
牙源性上皮性肿瘤	yayuanxingshangpixingzhongliu
牙源性囊肿	yayuanxingnangzhong
牙源性粘液瘤	yayuanxingnianyeliu
牙源性纤维瘤	yayuanxingxianweiliu
