# 泰深输入法专业词库 — astronomy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
鲁伊尔陨击坑	luyieryunjikeng
堪德峽谷	kandexiagu
月球車	yueqiuche
章動	zhangdong
阿尔卑斯谷	aerbeisigu
千帆星座	qianfanxingzuo
托林	tuolin
斗宿一	dousuyi
昴宿增十二	maosuzengshier
天紀增十一	tianjizengshiyi
玫瑰星雲	meiguixingyun
天江一	tianjiangyi
阙丘增七	queqiuzengqi
奎宿四	kuisusi
地球同步卫星	diqiutongbuweixing
螣蛇增五	teshezengwu
佛曆	fuli
帛度增三	boduzengsan
視位置	shiweizhi
星族	xingzu
郎位十一	langweishiyi
火星人	huoxingren
恆星密度	hengxingmidu
天牢二	tianlaoer
尾宿一	weisuyi
天囷三	tianqunsan
奎宿增三	kuisuzengsan
巨星	juxing
星宿增十五	xingsuzengshiwu
螣蛇十一	tesheshiyi
影响球体	yingxiangqiuti
天市左垣一	tianshizuoyuanyi
紅月亮	hongyueliang
仙女座星系	xiannvzuoxingxi
外屏二	waipinger
航海十二星座	hanghaishierxingzuo
天廄增一	tianjiuzengyi
洛东谷	luodonggu
大明曆	damingli
羽林軍三	yulinjunsan
黑洞宇宙观	heidongyuzhouguan
列肆增三	liesizengsan
高能天文學	gaonengtianwenxue
愛丁頓獎章	aidingdunjiangzhang
奚仲增四	xizhongzengsi
座旗八	zuoqiba
珍妮撞击坑	zhennizhuangjikeng
木卫二十九	muweiershijiu
伐一	fayi
瑞威谷	ruiweigu
木衛五十三	muweiwushisan
沙佩陨击坑	shapeiyunjikeng
敗瓜增二	baiguazenger
状态方程	zhuangtaifangcheng
異雀一	yiqueyi
下台一	xiataiyi
蒭藁一	chugaoyi
大爆炸	dabaozha
螣蛇二	tesheer
天高增四	tiangaozengsi
安大略湖	andalvehu
宇宙年表	yuzhounianbiao
西西里島星	xixilidaoxing
贞后星	zhenhouxing
五帝內座增二	wudineizuozenger
代增二	daizenger
杠三	gangsan
德利爾山	deliershan
天壘城三	tianleichengsan
天體	tianti
獵戶之劍	liehuzhijian
柯西月溪	kexiyuexi
太空法	taikongfa
太陽路徑	taiyanglujing
天社二	tiansheer
東上相	dongshangxiang
狗国二	gouguoer
瓠瓜增六	huguazengliu
附耳	fuer
輦道二	niandaoer
空间科学	kongjiankexue
右更增三	yougengzengsan
羽林軍三十六	yulinjunsanshiliu
天文年鑒	tianwennianjian
海石一	haishiyi
公转	gongzhuan
異雀六	yiqueliu
奎宿二	kuisuer
天囷增九	tianqunzengjiu
巴拉那谷	balanagu
喬伊定律	qiaoyidinglv
星系動物園	xingxidongwuyuan
巨石阵	jushizhen
超離子水	chaolizishui
高見澤彗星	gaojianzehuixing
霹雳增五	pilizengwu
周定一	zhoudingyi
王者之星	wangzhezhixing
狐狸座	hulizuo
球面天文学	qiumiantianwenxue
庫樓二	kulouer
外屏七	waipingqi
異雀七	yiqueqi
右旗增一	youqizengyi
光年	guangnian
內廚二	neichuer
天津增八	tianjinzengba
星宿一	xingsuyi
泰德天文台	taidetianwentai
辇道增九	niandaozengjiu
郎位四	langweisi
天阴增三	tianyinzengsan
天社增一	tianshezengyi
勾陳三	gouchensan
鳥喙三	niaohuisan
矩尺座星系团	juchizuoxingxituan
真實質量	zhenshizhiliang
斛三	husan
吉尔陨击坑	jieryunjikeng
天籥六	tianyueliu
月球瞬变现象	yueqiushunbianxianxiang
天权增一	tianquanzengyi
胃宿增一	weisuzengyi
霹雳增三	pilizengsan
極限星等	jixianxingdeng
