# 泰深输入法专业词库 — chemistry
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
羟基替勃龙	qiangjitibolong
硒化鋰	xihuali
四碘化钍	sidianhuatu
电子亲合能	dianziqinheneng
碘化亚金	dianhuayajin
羧化作用	suohuazuoyong
焦磷酸酶	jiaolinsuanmei
林励吾	linliwu
鸦胆亭	yadanting
催化三联体	cuihuasanlianti
超重元素	chaozhongyuansu
放能反應	fangnengfanying
乙基沙林	yijishalin
溶剂化电子	rongjihuadianzi
氯苯甲酸	lvbenjiasuan
水合焓	shuihehan
螯合效应	aohexiaoying
背面进攻	beimianjingong
砷化物	shenhuawu
田禾	tianhe
基	ji
转移氢化	zhuanyiqinghua
內切酶	neiqiemei
张玉奎	zhangyukui
羊齿烯	yangchixi
氨基甲醇	anjijiachun
氟化钯	fuhuaba
氟苯甲醇	fubenjiachun
标准电极电势	biaozhundianjidianshi
三溴苯酚	sanxiubenfen
脱水乙酸钠	tuoshuiyisuanna
一級反應	yijifanying
高氯酸铜	gaolvsuantong
化學能	huaxueneng
十一烷醇	shiyiwanchun
再結晶	zaijiejing
有机化学	youjihuaxue
成键轨道	chengjianguidao
立体选择性	litixuanzexing
戊二酮	wuertong
吡啶甲酸苯酯	bidingjiasuanbenzhi
氯丙烷	lvbingwan
原甲酸三甲酯	yuanjiasuansanjiazhi
三溴化钼	sanxiuhuamu
硝基氟苯	xiaojifuben
柠檬菌素	ningmengjunsu
碘	dian
血浆蛋白结合	xuejiangdanbaijiehe
沉降系数	chenjiangxishu
夏至草素	xiazhicaosu
銻化鎵	tihuajia
苯甲酸乙烯酯	benjiasuanyixizhi
氟苯甲醚	fubenjiami
克里格反应	keligefanying
空間時間	kongjianshijian
单重态	danzhongtai
化学结构	huaxuejiegou
丁二醇	dingerchun
钋化镁	pohuamei
芳香族氨基酸	fangxiangzuanjisuan
四氯化氙	silvhuaxian
稀有元素	xiyouyuansu
分子探针	fenzitanzhen
超镄元素争议	chaofeiyuansuzhengyi
银杏酚	yinxingfen
正缬氨酸	zhengxieansuan
二硫化锆	erliuhuagao
琼斯还原器	qiongsihaiyuanqi
铋化物	bihuawu
一氧化铝	yiyanghualv
特魯頓規則	teludunguize
同离子效应	tonglizixiaoying
重铬酸吡啶盐	zhonggesuanbidingyan
李洪钟	lihongzhong
福山吲哚合成	fushanyinduohecheng
铅室法	qianshifa
竹荪乙素	zhusunyisu
氖二聚体	naierjuti
压致变色	yazhibianse
有机铀化合物	youjiyouhuahewu
分子筛	fenzishai
轴手性	zhoushouxing
福山还原反应	fushanhaiyuanfanying
细胞计数法	xibaojishufa
费歇尔糖苷化	feixieertangganhua
木香烃内酯	muxiangtingneizhi
透磁合金	toucihejin
劳厄法	laoefa
山梨酸钠	shanlisuanna
月桂酸甲酯	yueguisuanjiazhi
雙醣	shuangtang
二苯基乙烯	erbenjiyixi
爆炸	baozha
巴布勒氧化	babuleiyanghua
三氟化镍	sanfuhuanie
氘	dao
菊粉	jufen
邓颂九	dengsongjiu
硫化罐	liuhuaguan
原子核	yuanzihe
超微量元素	chaoweiliangyuansu
二氧化钍	eryanghuatu
钛酸	taisuan
联苯酚	lianbenfen
类金属	leijinshu
碱土金属	jiantujinshu
莫尔斯势	moersishi
化学史	huaxueshi
發射光譜	fasheguangpu
分子結	fenzijie
苄甲醚	bianjiami
硒化鉀	xihuajia
有機地球化學	youjidiqiuhuaxue
苯四甲酸	bensijiasuan
巯基丙酮酸	qiujibingtongsuan
惰性金屬	duoxingjinshu
三碘化锎	sandianhuakai
胺乙基哌嗪	anyijipaiqin
万立骏	wanlijun
酵素誘導物	jiaosuyoudaowu
硝酸钪	xiaosuankang
捏合机	nieheji
镱	yi
高铼酸铷	gaolaisuanru
硝基碘苯	xiaojidianben
珠蛋白	zhudanbai
己糖胺	jitangan
應變	yingbian
球蛋白	qiudanbai
晶体取向	jingtiquxiang
拉曼冷却	lamanlengque
碱金属	jianjinshu
镥	lu
成鏈	chenglian
丁酮酸	dingtongsuan
六氟化镅	liufuhuamei
氮化钾	danhuajia
化学年表	huaxuenianbiao
人工光合作用	rengongguanghezuoyong
篷布	pengbu
異質同形	yizhitongxing
茉莉内酯	molineizhi
氯酸镨	lvsuanpu
二溴蒽	erxiuen
雷諾傳輸定理	leinuochuanshudingli
超原子	chaoyuanzi
美国化学学会	meiguohuaxuexuehui
醇合物	chunhewu
亮氨酸	liangansuan
铌	ni
卜显和	boxianhe
康普頓散射	kangpudunsanshe
岩藻糖醇	yanzaotangchun
甲氧基雌酮	jiayangjicitong
药物筛选	yaowushaixuan
二氯苯甲腈	erlvbenjiajing
苊醌	ekun
盐析	yanxi
环戊二酮	huanwuertong
溴碘苯	xiudianben
萘锂	naili
根岸偶联反应	genanoulianfanying
同系列	tongxilie
核化学	hehuaxue
高锰酸镉	gaomengsuange
氟溴苯	fuxiuben
半胱胺	banguangan
达姆科勒数	damukeleishu
戊醇	wuchun
本地空洞	bendikongdong
苯基二氯化膦	benjierlvhualin
三氧化二氯	sanyanghuaerlv
布莱特规则	bulaiteguize
沸点升高	feidianshenggao
麦克马考反应	maikemakaofanying
辛醣	xintang
刘恒椽	liuhengchuan
有机锶化学	youjisihuaxue
赫士定律	heshidinglv
真空蒸馏	zhenkongzhengliu
势能面	shinengmian
甘羟铝	ganqianglv
加特曼反应	jiatemanfanying
甲基鸟嘌呤	jiajiniaopiaoling
硫酸三	liusuansan
密勒法	mileifa
芒柄花醇	mangbinghuachun
芳基	fangji
李静海	lijinghai
李廉凤	lilianfeng
甲基苯甲醇	jiajibenjiachun
二十一酸	ershiyisuan
微型共價結構	weixinggongjiajiegou
夺氢反应	duoqingfanying
非那米丁	feinamiding
甲氧基苯乙胺	jiayangjibenyian
吉布斯相律	jibusixianglv
鴻翊化學品	hongyihuaxuepin
二氧化锇	eryanghuae
支志明	zhizhiming
四氟化铂	sifuhuabo
无机酸	wujisuan
西草净	xicaojing
庚醇	gengchun
水的颜色	shuideyanse
硫代硫酸钡	liudailiusuanbei
普林斯反应	pulinsifanying
伊万诺夫反应	yiwannuofufanying
何国钟	heguozhong
傾析	qingxi
稀释定律	xishidinglv
三键	sanjian
含氧阳离子	hanyangyanglizi
分子挖掘	fenziwajue
协同反应	xietongfanying
反應進度	fanyingjindu
光的微粒理论	guangdeweilililun
稳定岛	wendingdao
王积涛	wangjitao
羟基联苯	qiangjilianben
氟苯酚	fubenfen
物理化学	wulihuaxue
己醛糖	jiquantang
于天仁	yutianren
棕榈油酸	zonglvyousuan
二氢萘	erqingnai
热传导	rechuandao
四氟化镎	sifuhuana
异辛酸亚铊	yixinsuanyata
乙二酸二甲酯	yiersuanerjiazhi
辅酶	fumei
吡喃糖	binantang
苝四甲酸二酐	beisijiasuanergan
十八碳三烯酸	shibatansanxisuan
三氧化二釤	sanyanghuaershan
酒石酸铵	jiushisuanan
高锝酸铷	gaodesuanru
瓜拿纳酸	guananasuan
钴氰酸钾	guqingsuanjia
二溴化二硫	erxiuhuaerliu
星際分子列表	xingjifenziliebiao
