# 泰深输入法专业词库 — 法律
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一上班	yishangban
为权利而斗争	weiquanlierdouzheng
为权益而战	weiquanyierzhan
为第三人利益合同	weidisanrenliyihetong
主任裁判官	zhurencaipanguan
主体不符	zhutibufu
主审裁判官	zhushencaipanguan
主客观相统一	zhukeguanxiangtongyi
主权外债	zhuquanwaizhai
主营业地	zhuyingyedi
主要业务地点	zhuyaoyewudidian
主要债务人	zhuyaozhaiwuren
主要办事处	zhuyaobanshichu
主要民事赔偿责任	zhuyaominshipeichangzeren
主观恶性	zhuguanexing
举证责任倒置原则	juzhengzerendaozhiyuanze
乌尔纳木法典	wuernamufadian
乌鲁木齐县法院	wulumuqixianfayuan
乌鲁木齐市信访局	wulumuqishixinfangju
乐业县人民检察院	leyexianrenminjianchayuan
乐安县公安局	leanxiangonganju
乐都县司法局	leduxiansifaju
乙方受让	yifangshourang
九江市扶贫办	jiujiangshifupinban
乞丐罪	qigaizui
也许正在发生	yexuzhengzaifasheng
习惯国际法	xiguanguojifa
书记官专业	shujiguanzhuanye
买卖军用标志罪	maimaijunyongbiaozhizui
乱集资	luanjizi
乾理律师事务所	qianlilvshishiwusuo
事业单位养老保险	shiyedanweiyanglaobaoxian
事业单位工资制度	shiyedanweigongzizhidu
事业单位法人	shiyedanweifaren
事业单位法人证书	shiyedanweifarenzhengshu
事业单位聘用制	shiyedanweipinyongzhi
事件驱动型策略	shijianqudongxingcelve
事务性工作	shiwuxinggongzuo
事后不可罚行为	shihoubukefaxingwei
事后不能	shihoubuneng
事急从权	shijicongquan
事故发生制	shigufashengzhi
事故责任比例	shiguzerenbili
事断于法	shiduanyufa
二十种随烦恼	ershizhongsuifannao
二审判决书	ershenpanjueshu
二审法院	ershenfayuan
二审裁定书	ershencaidingshu
二种邪见	erzhongxiejian
二空观	erkongguan
二级谋杀罪	erjimoushazui
云法律	yunfalv
互免签证协议	humianqianzhengxieyi
互相印证	huxiangyinzheng
五不租	wubuzu
五城察院	wuchengchayuan
五定	wuding
五朝会典	wuzhaohuidian
五福牌	wufupai
五级三节制	wujisanjiezhi
五荒地	wuhuangdi
五险一金小全书	wuxianyijinxiaoquanshu
亚太贸易协定	yataimaoyixieding
亚硝酸盐中毒	yaxiaosuanyanzhongdu
交叉互换	jiaochahuhuan
交叉补贴	jiaochabutie
交强险赔偿范围	jiaoqiangxianpeichangfanwei
交投活跃	jiaotouhuoyue
交投清淡	jiaotouqingdan
交换配偶	jiaohuanpeiou
交通事故伤残鉴定	jiaotongshigushangcanjianding
交通事故处理	jiaotongshiguchuli
交通事故损害赔偿	jiaotongshigusunhaipeichang
交通事故认定书	jiaotongshigurendingshu
交通事故赔偿项目	jiaotongshigupeichangxiangmu
交通幽默	jiaotongyoumo
交通拥堵费	jiaotongyongdufei
交通行政执法实务	jiaotongxingzhengzhifashiwu
交通行政执法规范	jiaotongxingzhengzhifaguifan
交通违章违法行为	jiaotongweizhangweifaxingwei
交钥匙合同	jiaoyaoshihetong
交错要约	jiaocuoyaoyue
产业结构调整政策	chanyejiegoutiaozhengzhengce
产业结构调节法	chanyejiegoutiaojiefa
产供销一体化	changongxiaoyitihua
产品企业标准备案	chanpinqiyebiaozhunbeian
产品侵权行为	chanpinqinquanxingwei
产品侵权责任	chanpinqinquanzeren
产品创新法则	chanpinchuangxinfaze
产品及周期优化法	chanpinjizhouqiyouhuafa
产品局部欺诈	chanpinjubuqizha
产品开发建议书	chanpinkaifajianyishu
产品标识	chanpinbiaoshi
产品瑕疵	chanpinxiaci
产品瑕疵责任	chanpinxiacizeren
产品缺陷	chanpinquexian
产品缺陷责任	chanpinquexianzeren
产品设计图	chanpinshejitu
产品责任保险	chanpinzerenbaoxian
产品责任保险合同	chanpinzerenbaoxianhetong
产品责任保险条款	chanpinzerenbaoxiantiaokuan
产品责任法	chanpinzerenfa
产品质量标准	chanpinzhiliangbiaozhun
产品质量监督	chanpinzhiliangjiandu
产品质量监督管理	chanpinzhiliangjianduguanli
产品销售权	chanpinxiaoshouquan
产地标记权	chandibiaojiquan
