# 泰深输入法专业词库 — 法律
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一上班	yishangban
战役法	zhanyifa
战时临阵脱逃罪	zhanshilinzhentuotaozui
战时军律	zhanshijunlv
战时刑事特别法	zhanshixingshitebiefa
战时缓刑制度	zhanshihuanxingzhidu
战时自伤罪	zhanshizishangzui
战时违抗命令罪	zhanshiweikangminglingzui
战时造谣惑众罪	zhanshizaoyaohuozhongzui
截关	jieguan
户口挂靠	hukouguakao
房产保卫战	fangchanbaoweizhan
房产变更登记	fangchanbiangengdengji
房地产中介机构	fangdichanzhongjiejigou
房地产产权证书	fangdichanchanquanzhengshu
房地产典当	fangdichandiandang
房地产初始登记	fangdichanchushidengji
房地产制度	fangdichanzhidu
房地产前沿	fangdichanqianyan
房地产开发企业	fangdichankaifaqiye
房地产开发公司	fangdichankaifagongsi
房地产抵押	fangdichandiya
房地产抵押权	fangdichandiyaquan
房地产拆迁补偿	fangdichanchaiqianbuchang
房地产权初始登记	fangdichanquanchushidengji
房地产权利人	fangdichanquanliren
房地产权属	fangdichanquanshu
房地产权属档案	fangdichanquanshudangan
房地产权登记	fangdichanquandengji
房地产法前沿	fangdichanfaqianyan
房地产法律行为	fangdichanfalvxingwei
房地产注销登记	fangdichanzhuxiaodengji
房地产登记	fangdichandengji
房地产确权	fangdichanquequan
房地产税收制度	fangdichanshuishouzhidu
房地产转让	fangdichanzhuanrang
房地产转让合同	fangdichanzhuanranghetong
房地产销售策划	fangdichanxiaoshoucehua
房屋交割协议书	fangwujiaogexieyishu
房屋产权单位	fangwuchanquandanwei
房屋产权登记	fangwuchanquandengji
房屋产权继承	fangwuchanquanjicheng
房屋他项权利登记	fangwutaxiangquanlidengji
房屋共有产权	fangwugongyouchanquan
房屋征收与拆迁	fangwuzhengshouyuchaiqian
房屋征收决定	fangwuzhengshoujueding
房屋拆迁	fangwuchaiqian
房屋拆迁安置协议	fangwuchaiqiananzhixieyi
房屋拆迁当事人	fangwuchaiqiandangshiren
房屋拆迁案件	fangwuchaiqiananjian
房屋拆迁裁决	fangwuchaiqiancaijue
房屋拆迁资格证书	fangwuchaiqianzigezhengshu
房屋有限产权	fangwuyouxianchanquan
房屋权属	fangwuquanshu
房屋权属总登记	fangwuquanshuzongdengji
房屋泡沫	fangwupaomo
房屋登记办法	fangwudengjibanfa
房屋登记办法释义	fangwudengjibanfashiyi
房屋维修管理制度	fangwuweixiuguanlizhidu
房屋部分产权	fangwubufenchanquan
所有非法僭建物	suoyoufeifajianjianwu
手工业管理局	shougongyeguanliju
手按	shouan
手机辐射法	shoujifushefa
手段不能犯	shouduanbunengfan
手段错误	shouduancuowu
打击走私领导小组	dajizousilingdaoxiaozu
打经济官司	dajingjiguansi
托收承付	tuoshouchengfu
扛楼帮	kangloubang
扣押物品清单	kouyawupinqingdan
扣船	kouchuan
扣除法	kouchufa
扣除物价因素	kouchuwujiayinsu
扣额法	kouefa
执业医师法	zhiyeyishifa
执业登记	zhiyedengji
执业范围	zhiyefanwei
执业证	zhiyezheng
执业证年检	zhiyezhengnianjian
执法办案第一线	zhifabanandiyixian
执法效率原则	zhifaxiaolvyuanze
执法行为	zhifaxingwei
执行停止	zhixingtingzhi
执行刑	zhixingxing
执行判决	zhixingpanjue
执行变更	zhixingbiangeng
执行和解	zhixinghejie
执行回转	zhixinghuizhuan
执行客体	zhixingketi
执行工作指导	zhixinggongzuozhidao
执行承担	zhixingchengdan
执行担保	zhixingdanbao
执行拘传	zhixingjuchuan
执行救济	zhixingjiuji
执行机关	zhixingjiguan
执行根据	zhixinggenju
执行死刑命令	zhixingsixingmingling
执行监督	zhixingjiandu
执行程序文件	zhixingchengxuwenjian
执行笔录	zhixingbilu
执行终结	zhixingzhongjie
执行罚	zhixingfa
执行董事	zhixingdongshi
执行调查令	zhixingdiaochaling
执行费用	zhixingfeiyong
执行赔偿	zhixingpeichang
执行通知书	zhixingtongzhishu
扫除文盲工作条例	saochuwenmanggongzuotiaoli
扰乱公共秩序	raoluangonggongzhixu
扰乱办公秩序	raoluanbangongzhixu
扰乱市场秩序罪	raoluanshichangzhixuzui
扰乱法庭秩序罪	raoluanfatingzhixuzui
扶贫开发办	fupinkaifaban
批判法学	pipanfaxue
批租土地财产	pizutudicaichan
承兑票据	chengduipiaoju
承兑行	chengduixing
承包主体资格	chengbaozhutizige
承包人履约担保	chengbaorenlvyuedanbao
承包企业法人	chengbaoqiyefaren
承包商付款担保	chengbaoshangfukuandanbao
承包商违约	chengbaoshangweiyue
承包土地权	chengbaotudiquan
承包承租	chengbaochengzu
承包经营合同	chengbaojingyinghetong
承包经营权	chengbaojingyingquan
承包金	chengbaojin
承印验证制度	chengyinyanzhengzhidu
承担连带责任	chengdanliandaizeren
承诺转质	chengnuozhuanzhi
承购包销	chenggoubaoxiao
技术密集型产品	jishumijixingchanpin
技术止损法	jishuzhisunfa
技术转让合同	jishuzhuanranghetong
技术转让法律实务	jishuzhuanrangfalvshiwu
技术进出口合同	jishujinchukouhetong
抄袭剽窃	chaoxipiaoqie
抓捕器	zhuabuqi
投保险别	toubaoxianbie
投放危险物质罪	toufangweixianwuzhizui
投资银行家	touziyinhangjia
抗旱应急响应	kanghanyingjixiangying
折价补偿	zhejiabuchang
抚摩灵魂	fumolinghun
护理文件书写	huliwenjianshuxie
护肤护发品	hufuhufapin
报关注册登记制度	baoguanzhucedengjizhidu
报告及报表	baogaojibaobiao
报应刑主义	baoyingxingzhuyi
报纸管理暂行规定	baozhiguanlizanxingguiding
报警回差	baojinghuicha
报警回执制度	baojinghuizhizhidu
披露制度	piluzhidu
披露文件	piluwenjian
抵扣税款发票罪	dikoushuikuanfapiaozui
抵押式兼并	diyashijianbing
抵押担保债券	diyadanbaozhaiquan
抵押权人权利	diyaquanrenquanli
抵押权制度研究	diyaquanzhiduyanjiu
抵押权登记	diyaquandengji
抵押权登记制度	diyaquandengjizhidu
抵押物登记	diyawudengji
抵押转递证券	diyazhuandizhengquan
抵缴	dijiao
抽签审	chouqianshen
抽签轮次偿还法	chouqianluncichanghuanfa
抽象行政行为	chouxiangxingzhengxingwei
抽逃出资	choutaochuzi
抽逃出资罪	choutaochuzizui
担保企业会计制度	danbaoqiyekuaijizhidu
担保物权制度	danbaowuquanzhidu
拆迁主体资格	chaiqianzhutizige
拆迁安置费	chaiqiananzhifei
拆迁范围	chaiqianfanwei
拆迁补偿协议	chaiqianbuchangxieyi
拆迁补偿安置协议	chaiqianbuchanganzhixieyi
拍卖法案例指南	paimaifaanlizhinan
拍案说法	paianshuofa
拐卖妇女儿童	guaimaifunvertong
拐卖婴儿	guaimaiyinger
拒绝商业贿赂	jujueshangyehuilu
拒绝承付	jujuechengfu
拓展期权	tuozhanqiquan
拖欠工程款	tuoqiangongchengkuan
拘传票	juchuanpiao
招摇撞骗罪	zhaoyaozhuangpianzui
招标投标	zhaobiaotoubiao
招标投标买卖	zhaobiaotoubiaomaimai
招标投标法	zhaobiaotoubiaofa
招标投标法律实务	zhaobiaotoubiaofalvshiwu
招股章程	zhaoguzhangcheng
拟中标单位	nizhongbiaodanwei
拟建规模	nijianguimo
拨改贷	bogaidai
择业派遣期	zeyepaiqianqi
拿破仑法典	napolunfadian
持有假币罪	chiyoujiabizui
持有犯罪研究	chiyoufanzuiyanjiu
持枪令	chiqiangling
持械聚众叛乱罪	chixiejuzhongpanluanzui
持续性要约	chixuxingyaoyue
持股公司	chigugongsi
挂失止付	guashizhifu
挂靠经营	guakaojingying
指令回避	zhilinghuibi
指令性措施	zhilingxingcuoshi
指定人员	zhidingrenyuan
指定代理人	zhidingdailiren
指定仲裁员	zhidingzhongcaiyuan
指定仲裁员函	zhidingzhongcaiyuanhan
指定承接	zhidingchengjie
指定管辖	zhidingguanxia
指定辩护	zhidingbianhu
指定辩护人	zhidingbianhuren
指定辩护制度	zhidingbianhuzhidu
指定部位	zhidingbuwei
指定金钱信托	zhidingjinqianxintuo
指导性计划	zhidaoxingjihua
指示收货人	zhishishouhuoren
指纹断案	zhiwenduanan
指纹破案	zhiwenpoan
按份债权人	anfenzhaiquanren
按揭抵押债券	anjiediyazhaiquan
按揭贷款	anjiedaikuan
按揭贷款保证金	anjiedaikuanbaozhengjin
按摩治疗常见病	anmozhiliaochangjianbing
按摩疗法治百病	anmoliaofazhibaibing
挑战知识产权	tiaozhanzhishichanquan
挤占挪用	jizhannuoyong
挪威成人教育法	nuoweichengrenjiaoyufa
挪用公款罪	nuoyonggongkuanzui
挪用公款罪主体	nuoyonggongkuanzuizhuti
挪用公款行为	nuoyonggongkuanxingwei
挪用特定款物罪	nuoyongtedingkuanwuzui
挪用资金罪	nuoyongzijinzui
捍卫国家法律尊严	hanweiguojiafalvzunyan
损余处理	sunyuchuli
损失分担	sunshifendan
损害赔偿裁决	sunhaipeichangcaijue
损益相抵规则	sunyixiangdiguize
换证签发手续	huanzhengqianfashouxu
授信合同	shouxinhetong
授权委托书	shouquanweituoshu
授权性规则	shouquanxingguize
授权性规范	shouquanxingguifan
授权文件	shouquanwenjian
授权立法研究	shouquanlifayanjiu
授权签字人	shouquanqianziren
授权经营	shouquanjingying
授权规范	shouquanguifan
授权许可证	shouquanxukezheng
掉期合同法	diaoqihetongfa
掉期合约	diaoqiheyue
掌控合同运作	zhangkonghetongyunzuo
排放标准	paifangbiaozhun
排污收费制度	paiwushoufeizhidu
排除危害	paichuweihai
排除妨害请求权	paichufanghaiqingqiuquan
排除妨碍	paichufangai
排除责任条款	paichuzerentiaokuan
接触说	jiechushuo
接送不合格兵员罪	jiesongbuhegebingyuanzui
控制现金投放	kongzhixianjintoufang
控告式诉讼	konggaoshisusong
控告申述部门	konggaoshenshubumen
控诉职能	kongsuzhineng
控辩平等对抗	kongbianpingdengduikang
推勘院	tuikanyuan
推定交货	tuidingjiaohuo
推定全损	tuidingquansun
推定占有	tuidingzhanyou
推定行为	tuidingxingwei
推定过失责任	tuidingguoshizeren
推拿功法学	tuinagongfaxue
措施控制法	cuoshikongzhifa
提篮桥监狱	tilanqiaojianyu
揭开公司面纱	jiekaigongsimiansha
搁置否决权	gezhifoujuequan
搬迁合同	banqianhetong
搬迁补助款	banqianbuzhukuan
携款潜逃	xiekuanqiantao
携款潜逃罪	xiekuanqiantaozui
摄影合同	sheyinghetong
摊丁入亩	tandingrumu
摘抄本	zhaichaoben
摩奴法典	monufadian
摩西律法	moxilvfa
撤销判决	chexiaopanjue
撤销权法律关系	chexiaoquanfalvguanxi
撰写法律文章	zhuanxiefalvwenzhang
擅自采矿	shanzicaikuang
操纵市场	caozongshichang
操纵证券市场	caozongzhengquanshichang
支农惠农政策	zhinonghuinongzhengce
收养登记工作规范	shouyangdengjigongzuoguifan
收回土地使用权	shouhuitudishiyongquan
收回权	shouhuiquan
收当	shoudang
收支平衡定价法	shouzhipinghengdingjiafa
收案	shouan
收款凭证	shoukuanpingzheng
收款银行协议	shoukuanyinhangxieyi
收汇风险	shouhuifengxian
收监执行	shoujianzhixing
收继婚	shoujihun
收购兼并	shougoujianbing
收购单位	shougoudanwei
收购土地	shougoutudi
收费公路管理条例	shoufeigongluguanlitiaoli
收集刑事证据实务	shoujixingshizhengjushiwu
改低档	gaididang
改制分流一百问	gaizhifenliuyibaiwen
改法为律	gaifaweilv
改编作品	gaibianzuopin
改编播放	gaibianbofang
改订商律草案	gaidingshanglvcaoan
改进劳动组织	gaijinlaodongzuzhi
改革企业体制	gaigeqiyetizhi
改革试点	gaigeshidian
放射性污染防治法	fangshexingwuranfangzhifa
放射诊疗管理规定	fangshezhenliaoguanliguiding
放弃承包权	fangqichengbaoquan
放弃重复侵害行为	fangqichongfuqinhaixingwei
放火罪	fanghuozui
政务院财经委员会	zhengwuyuancaijingweiyuanhui
政府信息公开条例	zhengfuxinxigongkaitiaoli
政府市场营销	zhengfushichangyingxiao
政治协商会议章程	zhengzhixieshanghuiyizhangcheng
政治参与权	zhengzhicanyuquan
政治成本	zhengzhichengben
政治排斥	zhengzhipaichi
政治法律制度	zhengzhifalvzhidu
政治犯不引渡原则	zhengzhifanbuyinduyuanze
政策与模式	zhengceyumoshi
政策性关闭破产	zhengcexingguanbipochan
政策性税收筹划	zhengcexingshuishouchouhua
效力待定法律行为	xiaolidaidingfalvxingwei
效力未定合同	xiaoliweidinghetong
效力未定民事行为	xiaoliweidingminshixingwei
效力终止	xiaolizhongzhi
效律	xiaolv
效果意思	xiaoguoyisi
效率违约	xiaolvweiyue
救灾捐赠管理办法	jiuzaijuanzengguanlibanfa
教会法大全	jiaohuifadaquan
教你不花冤枉钱	jiaonibuhuayuanwangqian
教务专约	jiaowuzhuanyue
教师法治教育读本	jiaoshifazhijiaoyuduben
教师职称评定制度	jiaoshizhichengpingdingzhidu
教育收费公示制度	jiaoyushoufeigongshizhidu
教育用房	jiaoyuyongfang
教育附加费	jiaoyufujiafei
数字千年版权法	shuziqiannianbanquanfa
数钱费	shuqianfei
敲诈罪	qiaozhazui
文义证券	wenyizhengquan
文书定制	wenshudingzhi
文件处置办法	wenjianchuzhibanfa
文件清单	wenjianqingdan
文件证物	wenjianzhengwu
文件透露	wenjiantoulu
文剑南	wenjiannan
文化主权	wenhuazhuquan
文化事业费	wenhuashiyefei
文化产业促进法	wenhuachanyecujinfa
文化全球化	wenhuaquanqiuhua
文化创新思考	wenhuachuangxinsikao
文化暴力	wenhuabaoli
文化遗产报告	wenhuayichanbaogao
文化遗产法	wenhuayichanfa
文官统治制度	wenguantongzhizhidu
文康律师事务所	wenkanglvshishiwusuo
文本与实践之间	wenbenyushijianzhijian
文秘写作学	wenmixiezuoxue
文秘写作指南	wenmixiezuozhinan
文稿竞价	wengaojingjia
文职干部制度	wenzhiganbuzhidu
文艺复兴时期法律	wenyifuxingshiqifalv
斩绞监候	zhanjiaojianhou
断事官	duanshiguan
斯瓦尔巴德条约	siwaerbadetiaoyue
新丰县公安局	xinfengxiangonganju
新估价法规	xingujiafagui
新保险法	xinbaoxianfa
新出口商复审	xinchukoushangfushen
新分析法学	xinfenxifaxue
新分析法学派	xinfenxifaxuepai
新刑法研究与适用	xinxingfayanjiuyushiyong
新加坡刑法	xinjiapoxingfa
新加坡工作准证	xinjiapogongzuozhunzheng
新加坡最高法院	xinjiapozuigaofayuan
新华区人民检察院	xinhuaqurenminjianchayuan
新古典契约	xingudianqiyue
新台州律师事务所	xintaizhoulvshishiwusuo
新合伙人入伙	xinhehuorenruhuo
新合伙企业法	xinhehuoqiyefa
新员工指导人制度	xinyuangongzhidaorenzhidu
新媒体百科全书	xinmeitibaikequanshu
新安县检察院	xinanxianjianchayuan
新安县法院	xinanxianfayuan
新巴赛尔协议	xinbasaierxieyi
新康德主义法学	xinkangdezhuyifaxue
新康德主义法学派	xinkangdezhuyifaxuepai
新开工项目	xinkaigongxiangmu
新拆迁条例	xinchaiqiantiaoli
新昌县司法局	xinchangxiansifaju
新材料	xincailiao
新杰逊条款	xinjiexuntiaokuan
新汉英法学词典	xinhanyingfaxuecidian
新法规月刊	xinfaguiyuekan
新疆产权交易所	xinjiangchanquanjiaoyisuo
新经济体制	xinjingjitizhi
新经济增长点	xinjingjizengzhangdian
新编中国刑法学	xinbianzhongguoxingfaxue
新编司法文书教程	xinbiansifawenshujiaocheng
新编司法文书范本	xinbiansifawenshufanben
新编合同法	xinbianhetongfa
新编国际经济法	xinbianguojijingjifa
新编房地产法学	xinbianfangdichanfaxue
新编新闻编辑学	xinbianxinwenbianjixue
新编法律文书写作	xinbianfalvwenshuxiezuo
新编物权法小全书	xinbianwuquanfaxiaoquanshu
新编经济法	xinbianjingjifa
新编经济法概论	xinbianjingjifagailun
新莽钱	xinmangqian
新西兰探亲签证	xinxilantanqinqianzheng
新证券法条文解析	xinzhengquanfatiaowenjiexi
新译日本法规大全	xinyiribenfaguidaquan
新郑市财政局	xinzhengshicaizhengju
新门监狱	xinmenjianyu
新闻出版保密规定	xinwenchubanbaomiguiding
新闻出版自由法	xinwenchubanziyoufa
新闻办公室	xinwenbangongshi
新闻发布制度	xinwenfabuzhidu
新闻工作者协会	xinwengongzuozhexiehui
新闻报道失实	xinwenbaodaoshishi
新闻监督	xinwenjiandu
新闻舆论监督权	xinwenyulunjianduquan
新闻记者法	xinwenjizhefa
新闻记者登记法	xinwenjizhedengjifa
新闻道德与法规	xinwendaodeyufagui
新黑格尔主义法学	xinheigeerzhuyifaxue
方刚成	fanggangcheng
方圆法治	fangyuanfazhi
施塔姆勒	shitamulei
施米特与政治法学	shimiteyuzhengzhifaxue
施行后	shixinghou
旅客运输合同	lvkeyunshuhetong
旅游可持续发展	lvyoukechixufazhan
旅游合同	lvyouhetong
旅游法	lvyoufa
旅游法学	lvyoufaxue
旅游法研究	lvyoufayanjiu
旅游法论丛	lvyoufaluncong
旅游经济政策	lvyoujingjizhengce
旅行社公告制度	lvxingshegonggaozhidu
无人继承遗产	wurenjichengyichan
无对价抗辩	wuduijiakangbian
无形财产	wuxingcaichan
无抵押债券	wudiyazhaiquan
无担保债权	wudanbaozhaiquan
无担保债权人	wudanbaozhaiquanren
无效保险合同	wuxiaobaoxianhetong
无效判决	wuxiaopanjue
无效协议	wuxiaoxieyi
无效房屋买卖合同	wuxiaofangwumaimaihetong
无效民事行为	wuxiaominshixingwei
无效约定	wuxiaoyueding
无效经济合同	wuxiaojingjihetong
无效行为	wuxiaoxingwei
无权代理行为	wuquandailixingwei
无权占有	wuquanzhanyou
无正本提单放货	wuzhengbentidanfanghuo
无民事行为能力	wuminshixingweinengli
无民事行为能力人	wuminshixingweinengliren
无法廻避	wufahuibi
无现金行权	wuxianjinxingquan
无纸交易	wuzhijiaoyi
无行为能力	wuxingweinengli
无行为能力人	wuxingweinengliren
无记名公司债	wujiminggongsizhai
无记名有价证券	wujimingyoujiazhengquan
无责任底薪	wuzerendixin
无责底薪	wuzedixin
无过失责任保险	wuguoshizerenbaoxian
无遗嘱者遗产条例	wuyizhuzheyichantiaoli
既判案件	jipananjian
日元息差交易	riyuanxichajiaoyi
日内瓦公约	rineiwagongyue
日净值增长率	rijingzhizengzhanglv
日出条款	richutiaokuan
日尔曼法	riermanfa
日常家事代理权	richangjiashidailiquan
日志中国	rizhizhongguo
日本专利制度	ribenzhuanlizhidu
日本专利法	ribenzhuanlifa
日本公司法规范	ribengongsifaguifan
日本国家总动员法	ribenguojiazongdongyuanfa
日本国检察制度	ribenguojianchazhidu
日本庄园制度	ribenzhuangyuanzhidu
日本新防卫大纲	ribenxinfangweidagang
日本永驻权	ribenyongzhuquan
日本现代审判制度	ribenxiandaishenpanzhidu
日本禁止垄断法	ribenjinzhilongduanfa
日本行政诉讼法	ribenhangzhengsusongfa
日本近代刑法	ribenjindaixingfa
日本违宪审查制度	ribenweixianshenchazhidu
日落复审	riluofushen
时效中断	shixiaozhongduan
时效中止	shixiaozhongzhi
时效公约	shixiaogongyue
时效制度	shixiaozhidu
时效延长	shixiaoyanchang
昆仑法学论丛	kunlunfaxueluncong
明清法制初探	mingqingfazhichutan
昏墨贼杀	hunmozeisha
星空点灯	xingkongdiandeng
星级饭店访查规范	xingjifandianfangchaguifan
星野英一	xingyeyingyi
显性存款保险制度	xianxingcunkuanbaoxianzhidu
普及特惠税制度	pujitehuishuizhidu
普及破产主义	pujipochanzhuyi
普惠制待遇	puhuizhidaiyu
普法运动	pufayundong
普洱茶经	puerchajing
普衡律师事务所	puhenglvshishiwusuo
普通优惠制	putongyouhuizhi
普通刑事案件	putongxingshianjian
普遍优惠制	pubianyouhuizhi
普遍优惠制原则	pubianyouhuizhiyuanze
普遍优惠制税	pubianyouhuizhishui
普遍回升	pubianhuisheng
普遍国际法	pubianguojifa
普遍性管辖权	pubianxingguanxiaquan
普那卡条约	punakatiaoyue
普鲁士普通邦法	pulushiputongbangfa
暂予监外执行罪	zanyujianwaizhixingzui
暂住制度	zanzhuzhidu
曾代伟	cengdaiwei
替代市场法	tidaishichangfa
替代性市场法	tidaixingshichangfa
最初谈判权	zuichutanpanquan
最终产品法	zuizhongchanpinfa
最终控股公司	zuizhongkonggugongsi
最终解释权	zuizhongjieshiquan
最长诉讼时效	zuizhangsusongshixiao
最高人民法院公报	zuigaorenminfayuangongbao
月旦民商法研究	yuedanminshangfayanjiu
有产与无产	youchanyuwuchan
有价支付凭证	youjiazhifupingzheng
有价证券诈骗罪	youjiazhengquanzhapianzui
有偿占有	youchangzhanyou
有偿双务合同	youchangshuangwuhetong
有偿民事法律行为	youchangminshifalvxingwei
有偿法律行为	youchangfalvxingwei
有偿行为	youchangxingwei
有关刑事判决书	youguanxingshipanjueshu
有关部门	youguanbumen
有夫权婚姻	youfuquanhunyin
有奖征集活动	youjiangzhengjihuodong
有害食品罪	youhaishipinzui
有尘作业	youchenzuoye
有序用电管理办法	youxuyongdianguanlibanfa
有形资产净值	youxingzichanjingzhi
有抵押权证	youdiyaquanzheng
有担保债权人	youdanbaozhaiquanren
有效关税保护率	youxiaoguanshuibaohulv
有效文件	youxiaowenjian
有条件录取	youtiaojianluqu
有毒物质控制法	youduwuzhikongzhifa
有法律代表	youfalvdaibiao
有车	youche
有限责任公司	youxianzerengongsi
有限责任合伙	youxianzerenhehuo
服务协议谈判	fuwuxieyitanpan
服务对等	fuwuduideng
服务瑕疵	fuwuxiaci
服务贸易总协定	fuwumaoyizongxieding
期前追索权	qiqianzhuisuoquan
期后背书	qihoubeishu
期后追索权	qihouzhuisuoquan
期指合约	qizhiheyue
木桩刑	muzhuangxing
木腿正义	mutuizhengyi
未利用地	weiliyongdi
未成年人保护法	weichengnianrenbaohufa
未成年人权益保障	weichengnianrenquanyibaozhang
未成年人监护制度	weichengnianrenjianhuzhidu
未成年子女	weichengnianzinv
未成年罪犯	weichengnianzuifan
未有效	weiyouxiao
未注册商标权	weizhuceshangbiaoquan
未经许可使用	weijingxukeshiyong
未遂事故	weisuishigu
末永敏和	moyongminhe
本地法院	bendifayuan
本外币对冲操作	benwaibiduichongcaozuo
本顿维尔监狱	bendunweierjianyu
朱三太子案	zhusantaizian
朴茨茅斯条约	pucimaositiaoyue
机关单位	jiguandanwei
机关岗位责任制	jiguangangweizerenzhi
机关档案工作条例	jiguandangangongzuotiaoli
机关法人	jiguanfaren
机动车登记办法	jidongchedengjibanfa
机动车登记规定	jidongchedengjiguiding
机械复制权	jixiefuzhiquan
机械工业委员会	jixiegongyeweiyuanhui
机械工业局	jixiegongyeju
权利人	quanliren
权利冲突	quanlichongtu
权利和利益	quanliheliyi
权利失效原则	quanlishixiaoyuanze
权利文件	quanliwenjian
权利本位	quanlibenwei
权利滥用禁止原则	quanlilanyongjinzhiyuanze
权利瑕疵	quanlixiaci
权利瑕疵担保	quanlixiacidanbao
权利用尽	quanliyongjin
权利耗尽原则	quanlihaojinyuanze
权利范围	quanlifanwei
权利要求书	quanliyaoqiushu
权利质押合同	quanlizhiyahetong
权利质权	quanlizhiquan
权利贫困论	quanlipinkunlun
权力制约原则	quanlizhiyueyuanze
权力监督与制衡	quanlijianduyuzhiheng
权力结构	quanlijiegou
权属纠纷裁决	quanshujiufencaijue
权权交易	quanquanjiaoyi
权益回报率	quanyihuibaolv
权益披露	quanyipilu
权益转让书	quanyizhuanrangshu
权责统一	quanzetongyi
李浩培法学文集	lihaopeifaxuewenji
村上龙电影小说	cunshanglongdianyingxiaoshuo
村民委员会	cunminweiyuanhui
村民委员会组织法	cunminweiyuanhuizuzhifa
村民实用法律手册	cunminshiyongfalvshouce
村民自治法	cunminzizhifa
杜克大学法学院	dukedaxuefaxueyuan
杜集区人民法院	dujiqurenminfayuan
条件未完全的合约	tiaojianweiwanquandeheyue
杨兆全	yangzhaoquan
杭州市钱塘公证处	hangzhoushiqiantanggongzhengchu
构建和谐劳动关系	goujianhexielaodongguanxi
构成要件符合性	gouchengyaojianfuhexing
林地使用权	lindishiyongquan
林律师办案手记	linlvshibananshouji
林木承包合同	linmuchengbaohetong
林木采伐权	linmucaifaquan
林权纠纷法律指导	linquanjiufenfalvzhidao
林语堂在大陆	linyutangzaidalu
枪弹痕迹司法鉴定	qiangdanhenjisifajianding
枪支管理法	qiangzhiguanlifa
枪通条	qiangtongtiao
某甲	moujia
查封裁定	chafengcaiding
查缉走私	chajizousi
查阅法条	chayuefatiao
柬埔寨宪法	jianpuzhaixianfa
柯英	keying
栅栏理论	zhalanlilun
标书翻译	biaoshufanyi
栖霞市国土资源局	qixiashiguotuziyuanju
校园侵权	xiaoyuanqinquan
株连式拆迁	zhulianshichaiqian
核工业总公司	hegongyezonggongsi
核电站保险	hedianzhanbaoxian
根本扭转	genbenniuzhuan
根本违约	genbenweiyue
桃江县国土资源局	taojiangxianguotuziyuanju
案件接洽	anjianjieqia
案情复杂	anqingfuza
案情重大	anqingzhongda
桑植县人民法院	sangzhixianrenminfayuan
桓台县烟草专卖局	huantaixianyancaozhuanmaiju
桶抓	tongzhua
梁家杰	liangjiajie
梅县国税局	meixianguoshuiju
梅县审计局	meixianshenjiju
梅夏英	meixiaying
梅州市司法局	meizhoushisifaju
梅慎实	meishenshi
梅根法案	meigenfaan
梅汝璈法学文集	meiruaofaxuewenji
检察委员会检察员	jianchaweiyuanhuijianchayuan
检察官任职回避	jianchaguanrenzhihuibi
检察官手记	jianchaguanshouji
检察改革措施研究	jianchagaigecuoshiyanjiu
检察院法医	jianchayuanfayi
检察院派出机构	jianchayuanpaichujigou
棠景派出所	tangjingpaichusuo
森林法实施条例	senlinfashishitiaoli
森林法院	senlinfayuan
森林防火条例	senlinfanghuotiaoli
植物卷	zhiwujuan
植物新品种保护	zhiwuxinpinzhongbaohu
植物检疫条例	zhiwujianyitiaoli
楔形文字法	xiexingwenzifa
概括移转	gaikuoyizhuan
概然性教唆	gairanxingjiaosuo
模拟仲裁庭	monizhongcaiting
模拟民事审判庭	moniminshishenpanting
模拟法庭训练	monifatingxunlian
模范刑事诉讼法典	mofanxingshisusongfadian
横县国土资源局	hengxianguotuziyuanju
樱木建二	yingmujianer
欠妥之处	qiantuozhichu
欠款证明书	qiankuanzhengmingshu
欠税公告办法	qianshuigonggaobanfa
欠缺所有权	qianquesuoyouquan
欠缺真诚	qianquezhencheng
次代理	cidaili
次给付义务	cijifuyiwu
次要责任	ciyaozeren
欧共体竞争法	ougongtijingzhengfa
欧共体竞争法通论	ougongtijingzhengfatonglun
欧共体竞争立法	ougongtijingzhenglifa
欧式期权	oushiqiquan
欧洲专利制度	ouzhouzhuanlizhidu
欧洲专利局	ouzhouzhuanliju
欧洲人权法	ouzhourenquanfa
欧洲审计院	ouzhoushenjiyuan
欧洲市场一体化	ouzhoushichangyitihua
欧洲战史	ouzhouzhanshi
欧洲有机法案	ouzhouyoujifaan
欧洲民航会议	ouzhouminhanghuiyi
欧洲联盟国际私法	ouzhoulianmengguojisifa
欧盟普惠制	oumengpuhuizhi
欧盟知识产权法	oumengzhishichanquanfa
欧美史研究	oumeishiyanjiu
欧陆法系	oulufaxi
欧麦里	oumaili
欺诈例外	qizhaliwai
欺诈客户行为	qizhakehuxingwei
欺诈消费者行为	qizhaxiaofeizhexingwei
止赎	zhishu
止赎权	zhishuquan
正式谈判	zhengshitanpan
武凯	wukai
武器事典	wuqishidian
武城县人大常委会	wuchengxianrendachangweihui
武汉大学法学院	wuhandaxuefaxueyuan
武汉市工会条例	wuhanshigonghuitiaoli
武汉市旅游条例	wuhanshilvyoutiaoli
武汉法律咨询	wuhanfalvzixun
武警法	wujingfa
歪曲篡改他人作品	waiqucuangaitarenzuopin
死亡宣告撤销	siwangxuangaochexiao
死亡营	siwangying
死刑不引渡	sixingbuyindu
死刑制度比较研究	sixingzhidubijiaoyanjiu
死刑复奏制	sixingfuzouzhi
死刑复核	sixingfuhe
