# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
柯西应力张量	kexiyinglizhangliang
半經典物理學	banjingdianwulixue
柯普定律	kepudinglv
熱力學平衡	relixuepingheng
電漿炬	dianjiangju
電極化	dianjihua
熔点	rongdian
不变质量	bubianzhiliang
反射光學	fansheguangxue
表面光电压	biaomianguangdianya
汤姆森效应	tangmusenxiaoying
爱因斯坦模型	aiyinsitanmoxing
太阳物理学	taiyangwulixue
歐姆	oumu
梅子布丁模型	meizibudingmoxing
十億分比	shiyifenbi
对流传热	duiliuchuanre
介子列表	jieziliebiao
華人物理學刊	huarenwulixuekan
曼哈頓博士	manhadunboshi
哥伦布蛋	gelunbudan
刚度矩阵	gangdujuzhen
溫度測量	wenduceliang
标量玻色子	biaoliangbosezi
风月	fengyue
超對稱破缺	chaoduichengpoque
自避行走	zibixingzou
理想氣體	lixiangqiti
经典力学	jingdianlixue
三力平衡	sanlipingheng
固体物理学	gutiwulixue
互易定理	huyidingli
時	shi
體積	tiji
拉莫爾進動	lamoerjindong
陈龙庆	chenlongqing
柱密度	zhumidu
攝影星等	sheyingxingdeng
直流溅射	zhiliujianshe
标准状况	biaozhunzhuangkuang
过饱和	guobaohe
滲流力學	shenliulixue
能级	nengji
分离压	fenliya
天空亮度	tiankongliangdu
标量场论	biaoliangchanglun
重力子	zhonglizi
酯膜結構	zhimojiegou
辐射率	fushelv
物质状态	wuzhizhuangtai
安德森模型	andesenmoxing
欧姆定律	oumudinglv
實驗物理學	shiyanwulixue
絕對轉動	jueduizhuandong
统计场论	tongjichanglun
滞止压强	zhizhiyaqiang
相干长度	xiangganzhangdu
导带	daodai
负折射	fuzheshe
米耀荣	miyaorong
光度测定	guangduceding
键长	jianzhang
艾里斑	ailiban
維度減化	weidujianhua
量子成像	liangzichengxiang
量子热力学	liangzirelixue
休止角	xiuzhijiao
简并态物质	jianbingtaiwuzhi
奇異物質	qiyiwuzhi
弦理論	xianlilun
奈米光子學	naimiguangzixue
光深度	guangshendu
局部态密度	jubutaimidu
非计算	feijisuan
推遲時間	tuichishijian
靜電學	jingdianxue
