# 泰深输入法专业词库 — economics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
折扣	zhekou
土地管理	tudiguanli
軟著陸	ruanzhulu
鐵橋谷博物館	tieqiaogubowuguan
福利資本主義	fulizibenzhuyi
多角化投資	duojiaohuatouzi
消費財	xiaofeicai
免役法	mianyifa
瓦特蒸汽機	watezhengqiji
航海法案	hanghaifaan
散布矩阵	sanbujuzhen
发展中国家	fazhanzhongguojia
长安仁恒科技	zhanganrenhengkeji
汽车城	qichecheng
市场	shichang
經濟復甦	jingjifusu
普遍功利主義	pubiangonglizhuyi
三時估計法	sanshigujifa
存款	cunkuan
定居文化	dingjuwenhua
資料經濟	ziliaojingji
章程	zhangcheng
資本主義和平	zibenzhuyiheping
货币战争	huobizhanzheng
巴黎俱樂部	balijulebu
拳头产品	quantouchanpin
乡村人口	xiangcunrenkou
样本方差	yangbenfangcha
唱片排行榜	changpianpaixingbang
固定成本	gudingchengben
对称博弈	duichengboyi
假售回購	jiashouhuigou
無卡提款	wukatikuan
变异系数	bianyixishu
旗舰店	qijiandian
短倉	duancang
奶头乐	naitoule
無限制啟用權	wuxianzhiqiyongquan
夏菲尼高	xiafeinigao
性别鉴定	xingbiejianding
经济思想史	jingjisixiangshi
二手市場	ershoushichang
严格决定博弈	yangejuedingboyi
空投	kongtou
语言产业	yuyanchanye
经济研究评论	jingjiyanjiupinglun
独立理财顾问	dulilicaiguwen
承销商	chengxiaoshang
国际制裁	guojizhicai
世界體系理論	shijietixililun
碳金融	tanjinrong
皇冠上珠寶	huangguanshangzhubao
第二級資本	dierjiziben
金融中介	jinrongzhongjie
笨蛋定律	bendandinglv
美国货币	meiguohuobi
醫療核保	yiliaohebao
上海印刷集團	shanghaiyinshuajituan
三农问题	sannongwenti
生存分析	shengcunfenxi
流動性風險	liudongxingfengxian
贏者通吃市場	yingzhetongchishichang
出生率	chushenglv
政治经济学	zhengzhijingjixue
量化分析	lianghuafenxi
漣漪效應	lianyixiaoying
编程面试	bianchengmianshi
保本基金	baobenjijin
基本口粮	jibenkouliang
美世咨询	meishizixun
教育经济学	jiaoyujingjixue
鲁能集团	lunengjituan
森谷克己	sengukeji
匯率戰	huilvzhan
公社间主义	gongshejianzhuyi
常捷軍	changjiejun
市场出清	shichangchuqing
汽車型號	qichexinghao
市場趨勢	shichangqushi
香港版權保護	xianggangbanquanbaohu
大同影片公司	datongyingpiangongsi
揭穿经济学	jiechuanjingjixue
超現實數	chaoxianshishu
隔夜拆借利率	geyechaijielilv
阿连德主义	aliandezhuyi
專家派遣	zhuanjiapaiqian
农业地理学	nongyedilixue
二次抵押贷款	ercidiyadaikuan
份田制	fentianzhi
黄斯沉	huangsichen
同路人	tongluren
心理惯性	xinliguanxing
服務設計	fuwusheji
花呗	huabei
經濟人類學	jingjirenleixue
商业现货	shangyexianhuo
福斯特曼模型	fusitemanmoxing
保值储蓄	baozhichuxu
生態資本主義	shengtaizibenzhuyi
价格剪刀差	jiagejiandaocha
一通集團	yitongjituan
經濟自由主義	jingjiziyouzhuyi
蜜絲佛陀	misifutuo
珍妮纺纱机	zhennifangshaji
离岸金融中心	lianjinrongzhongxin
傾銷	qingxiao
銀團貸款	yintuandaikuan
開墾	kaiken
國際元	guojiyuan
铁饭碗	tiefanwan
斯特恩报告	siteenbaogao
库存损失	kucunsunshi
国际投资	guojitouzi
金融監理沙盒	jinrongjianlishahe
杀青	shaqing
分工	fengong
市场失灵	shichangshiling
宏觀管理	hongguanguanli
尼特族	nitezu
力士	lishi
現值	xianzhi
證券欺詐	zhengquanqizha
转售商	zhuanshoushang
增长的极限	zengzhangdejixian
船舶保险	chuanbobaoxian
精神资本	jingshenziben
以物易物	yiwuyiwu
文化多样性	wenhuaduoyangxing
百年洪水	bainianhongshui
殖民心态	zhiminxintai
去殖民化	quzhiminhua
價值區隔	jiazhiquge
財政保守主義	caizhengbaoshouzhuyi
李民骐	liminqi
累積量表	leijiliangbiao
計價標準	jijiabiaozhun
庫底商品	kudishangpin
红利	hongli
存款风险	cunkuanfengxian
邢慕寰	xingmuhuan
政治经济学刊	zhengzhijingjixuekan
投资外包	touziwaibao
网上拍卖	wangshangpaimai
现金流量	xianjinliuliang
贡萨罗思想	gongsaluosixiang
攤銷	tanxiao
參與式預算	canyushiyusuan
金融机构	jinrongjigou
细狗撵兔	xigouniantu
土地經濟	tudijingji
帝国烟草	diguoyancao
經濟安全	jingjianquan
怀孕母猪	huaiyunmuzhu
印度自然資源	yinduziranziyuan
官房学派	guanfangxuepai
投资银行	touziyinxing
市易法	shiyifa
粉笔科技	fenbikeji
經驗費率	jingyanfeilv
甲醇燃料	jiachunranliao
比特幣私密	bitebisimi
贌	pu
农村经济学	nongcunjingjixue
组织部	zuzhibu
周德宇	zhoudeyu
半成品	banchengpin
井口俊英	jingkoujunying
谢泼德引理	xiepodeyinli
內生成長理論	neishengchengzhanglilun
需求與供給	xuqiuyugonggei
铃村兴太郎	lingcunxingtailang
瓦格纳集团	wagenajituan
影子银行	yingziyinxing
赤貧	chipin
假裝上班公司	jiazhuangshangbangongsi
趙宏亮	zhaohongliang
国际货币体系	guojihuobitixi
走资派	zouzipai
相关均衡	xiangguanjunheng
第一級資本	diyijiziben
人力资本	renliziben
去增长	quzengzhang
中期借贷便利	zhongqijiedaibianli
广博集团	guangbojituan
廣達集團	guangdajituan
澳柯玛	aokema
公益创业	gongyichuangye
美国就业报告	meiguojiuyebaogao
基本分析	jibenfenxi
伊斯蘭債券	yisilanzhaiquan
川口大司	chuankoudasi
官商勾結	guanshanggoujie
海絲騰	haisiteng
圣彼得堡悖论	shengbidebaobeilun
政策性銀行	zhengcexingyinxing
重农主义	zhongnongzhuyi
拉丁货币同盟	ladinghuobitongmeng
养老保险合同	yanglaobaoxianhetong
世界經濟	shijiejingji
制度	zhidu
生产资料	shengchanziliao
國家主義	guojiazhuyi
獅門加拿大	shimenjianada
帕累托指数	paleituozhishu
新制度經濟學	xinzhidujingjixue
白雜訊	baizaxun
延長時段交易	yanzhangshiduanjiaoyi
市场形式	shichangxingshi
前進黨	qianjindang
零玩家遊戲	lingwanjiayouxi
越南基建股份	yuenanjijiangufen
雜賀眾	zahezhong
局部均衡	jubujunheng
無母數統計	wumushutongji
重商主义	zhongshangzhuyi
伯努利过程	bonuliguocheng
自营交易	ziyingjiaoyi
企业经济学	qiyejingjixue
教育产业化	jiaoyuchanyehua
經銷聯盟	jingxiaolianmeng
遠距工作	yuanjugongzuo
威廉指標	weilianzhibiao
重抽样	zhongchouyang
表外业务	biaowaiyewu
廖宜琨	liaoyikun
易安迪	yiandi
应届毕业生	yingjiebiyesheng
產品管理	chanpinguanli
工分制	gongfenzhi
银色风潮	yinsefengchao
调和平均数	diaohepingjunshu
挤出效应	jichuxiaoying
相关市场	xiangguanshichang
离散选择法	lisanxuanzefa
举牌	jupai
无损检测	wusunjiance
起刮刀	qiguadao
信汇	xinhui
希臘國債危機	xilaguozhaiweiji
无政府主义	wuzhengfuzhuyi
歐豬五國	ouzhuwuguo
怡安集团	yianjituan
生态狩猎	shengtaishoulie
禁運	jinyun
性别薪酬差距	xingbiexinchouchaju
穆迪	mudi
亞洲金融風暴	yazhoujinrongfengbao
三級市場	sanjishichang
股票上市	gupiaoshangshi
资产掉期	zichandiaoqi
服務商標	fuwushangbiao
城镇等级	chengzhendengji
正常報酬率	zhengchangbaochoulv
效用最大化	xiaoyongzuidahua
科斯定理	kesidingli
致命中国	zhimingzhongguo
殷拓集团	yintuojituan
漆多俊	qiduojun
商业经济学	shangyejingjixue
不断革命论	buduangeminglun
寶麗金	baolijin
出身成分	chushenchengfen
混合经济	hunhejingji
國民待遇	guomindaiyu
机动车辆保险	jidongcheliangbaoxian
心理彈性	xinlidanxing
用餐者困境	yongcanzhekunjing
猶太人稅	youtairenshui
工作面試	gongzuomianshi
庫恩定理	kuendingli
苏维埃民主	suweiaiminzhu
馬霍斯	mahuosi
任志剛	renzhigang
人氣指標	renqizhibiao
金融系統	jinrongxitong
大镰	dalian
主权财富基金	zhuquancaifujijin
欧盟关税同盟	oumengguanshuitongmeng
企業績效管理	qiyejixiaoguanli
宿根栽培	sugenzaipei
商业创意理论	shangyechuangyililun
財政預算案	caizhengyusuanan
龍舌蘭酒效應	longshelanjiuxiaoying
市销率	shixiaolv
賢能集團	xiannengjituan
碳信用	tanxinyong
高學歷難民	gaoxuelinanmin
张序九	zhangxujiu
南北分歧	nanbeifenqi
应援物	yingyuanwu
信用衍生工具	xinyongyanshenggongju
四个现代化	sigexiandaihua
鮑莫爾現象	baomoerxianxiang
多功能農業	duogongnengnongye
经济补偿	jingjibuchang
开放型经济	kaifangxingjingji
算力	suanli
千橡互动集团	qianxianghudongjituan
碳定價	tandingjia
俄罗斯村社	eluosicunshe
隨機漫步	suijimanbu
散财宴	sancaiyan
債務陷阱外交	zhaiwuxianjingwaijiao
生育獎勵	shengyujiangli
资产管理	zichanguanli
信貸掛鉤票據	xindaiguagoupiaoju
流動負債	liudongfuzhai
達力集團	dalijituan
硬资产	yingzichan
月球资源	yueqiuziyuan
活期存款	huoqicunkuan
贫穷经济学	pinqiongjingjixue
附庸	fuyong
星金融發展	xingjinrongfazhan
競賽樹	jingsaishu
股价	gujia
桑顿	sangdun
人工鱼礁	rengongyujiao
南益集团	nanyijituan
金融風險管理	jinrongfengxianguanli
茂业商业	maoyeshangye
人民幣國際化	renminbiguojihua
麥工作	maigongzuo
实际货币余额	shijihuobiyue
微觀基礎	weiguanjichu
陪睡	peishui
意外伤害	yiwaishanghai
負債	fuzhai
莫兰指数	molanzhishu
顧客價值	gukejiazhi
专辑等价单位	zhuanjidengjiadanwei
卡尔多改进	kaerduogaijin
家庭經濟學	jiatingjingjixue
工資基金說	gongzijijinshuo
報酬	baochou
韩国的失业率	hanguodeshiyelv
永安行	yonganxing
紫琅汽车	zilangqiche
振盪指標	zhendangzhibiao
欧洲共产主义	ouzhougongchanzhuyi
服务	fuwu
人口老龄化	renkoulaolinghua
通证经济学	tongzhengjingjixue
雇员基金	guyuanjijin
别无选择	biewuxuanze
新农村建设	xinnongcunjianshe
微型金融	weixingjinrong
每股盈餘	meiguyingyu
貴翔	guixiang
利特爾法則	liteerfaze
主鷹司	zhuyingsi
農業地質學	nongyedizhixue
共同保險	gongtongbaoxian
消费者理论	xiaofeizhelilun
贴现现金流法	tiexianxianjinliufa
速比涛	subitao
生涯規劃	shengyaguihua
非法所得	feifasuode
國土傭僕	guotuyongpu
组织	zuzhi
庄园	zhuangyuan
第五產業	diwuchanye
壓力線	yalixian
晚期资本主义	wanqizibenzhuyi
殖民战争	zhiminzhanzheng
強迫性壟斷	qiangpoxinglongduan
橡皮股票风潮	xiangpigupiaofengchao
永久作物	yongjiuzuowu
刘易斯拐点	liuyisiguaidian
樱屋酒类	yingwujiulei
自主地	zizhudi
工业复合体	gongyefuheti
政企合一	zhengqiheyi
財技	caiji
切割机	qiegeji
全職	quanzhi
史密森协定	shimisenxieding
法团	fatuan
投資策略	touzicelve
相关函数	xiangguanhanshu
年金	nianjin
进口贸易	jinkoumaoyi
網路招募	wangluzhaomu
同德	tongde
負所得稅	fusuodeshui
工人贵族	gongrenguizu
淺盤經濟	qianpanjingji
瓜地馬拉革命	guadimalageming
溫哥華造船廠	wengehuazaochuanchang
